Logged started on,24/07/2020 18:45:17
Feature,Magnetometer
Nodes,AM1V310 @305F47

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (mGa),Y (mGa),Z (mGa)
24/07/2020 19:20:28.577,2111501,AM1V310 @305F47,275734,410146FF1EFF,321,-186,-226
24/07/2020 19:20:28.607,2111520,AM1V310 @305F47,275740,3F014EFF1EFF,319,-178,-226
24/07/2020 19:20:28.668,2111581,AM1V310 @305F47,275746,3C0154FF18FF,316,-172,-232
24/07/2020 19:20:28.728,2111642,AM1V310 @305F47,275753,3F0157FF15FF,319,-169,-235
24/07/2020 19:20:28.758,2111671,AM1V310 @305F47,275759,3C0154FF12FF,316,-172,-238
24/07/2020 19:20:28.817,2111731,AM1V310 @305F47,275765,33014CFF07FF,307,-180,-249
24/07/2020 19:20:28.878,2111791,AM1V310 @305F47,275771,380149FF0DFF,312,-183,-243
24/07/2020 19:20:28.908,2111821,AM1V310 @305F47,275778,35014CFF0AFF,309,-180,-246
24/07/2020 19:20:28.968,2111881,AM1V310 @305F47,275784,23014CFFFEFE,291,-180,-258
24/07/2020 19:20:29.028,2111942,AM1V310 @305F47,275790,200143FFEEFE,288,-189,-274
24/07/2020 19:20:29.058,2111970,AM1V310 @305F47,275796,1A013CFFE3FE,282,-196,-285
24/07/2020 19:20:29.117,2112031,AM1V310 @305F47,275803,21012BFFD6FE,289,-213,-298
24/07/2020 19:20:29.178,2112091,AM1V310 @305F47,275809,110124FFCBFE,273,-220,-309
24/07/2020 19:20:29.208,2112121,AM1V310 @305F47,275815,170127FFCDFE,279,-217,-307
24/07/2020 19:20:29.267,2112181,AM1V310 @305F47,275821,0E0113FFBEFE,270,-237,-322
24/07/2020 19:20:29.341,2112254,AM1V310 @305F47,275828,08010DFFB3FE,264,-243,-333
24/07/2020 19:20:29.372,2112285,AM1V310 @305F47,275834,F70003FFB2FE,247,-253,-334
24/07/2020 19:20:29.417,2112330,AM1V310 @305F47,275840,090112FFB5FE,265,-238,-331
24/07/2020 19:20:29.478,2112391,AM1V310 @305F47,275846,0C0112FFBEFE,268,-238,-322
24/07/2020 19:20:29.507,2112420,AM1V310 @305F47,275853,12010CFFC2FE,274,-244,-318
24/07/2020 19:20:29.568,2112481,AM1V310 @305F47,275859,18010CFFCEFE,280,-244,-306
24/07/2020 19:20:29.628,2112541,AM1V310 @305F47,275865,11010DFFD0FE,273,-243,-304
24/07/2020 19:20:29.657,2112570,AM1V310 @305F47,275871,180107FFD0FE,280,-249,-304
24/07/2020 19:20:29.718,2112631,AM1V310 @305F47,275878,1A0109FFD4FE,282,-247,-300
24/07/2020 19:20:29.777,2112690,AM1V310 @305F47,275884,17010FFFD3FE,279,-241,-301
24/07/2020 19:20:29.807,2112720,AM1V310 @305F47,275890,14010CFFDCFE,276,-244,-292
24/07/2020 19:20:29.869,2112783,AM1V310 @305F47,275896,1A0112FFD3FE,282,-238,-301
24/07/2020 19:20:29.939,2112852,AM1V310 @305F47,275903,180112FFD4FE,280,-238,-300
24/07/2020 19:20:29.958,2112871,AM1V310 @305F47,275909,140109FFD4FE,276,-247,-300
24/07/2020 19:20:30.018,2112931,AM1V310 @305F47,275915,1A010AFFD1FE,282,-246,-303
24/07/2020 19:20:30.078,2112991,AM1V310 @305F47,275921,180101FFD7FE,280,-255,-297
24/07/2020 19:20:30.108,2113021,AM1V310 @305F47,275928,170106FFCEFE,279,-250,-306
24/07/2020 19:20:30.168,2113081,AM1V310 @305F47,275934,170107FFCBFE,279,-249,-309
24/07/2020 19:20:30.228,2113141,AM1V310 @305F47,275940,150100FFCAFE,277,-256,-310
24/07/2020 19:20:30.258,2113171,AM1V310 @305F47,275946,140100FFCDFE,276,-256,-307
24/07/2020 19:20:30.318,2113231,AM1V310 @305F47,275953,110106FFCAFE,273,-250,-310
