Logged started on,24/07/2020 18:45:17
Feature,Gyroscope
Nodes,AM1V310 @305F47

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (dps),Y (dps),Z (dps)
24/07/2020 19:20:57.467,2140387,AM1V310 @305F47,279346,090005000400,0.9,0.5,0.4
24/07/2020 19:20:57.497,2140410,AM1V310 @305F47,279353,0700FCFF0E00,0.7,-0.4,1.4
24/07/2020 19:20:57.557,2140471,AM1V310 @305F47,279359,F0FFD9FF3500,-1.6,-3.9,5.3
24/07/2020 19:20:57.617,2140531,AM1V310 @305F47,279365,0000FCFF3500,0,-0.4,5.3
24/07/2020 19:20:57.648,2140561,AM1V310 @305F47,279371,EAFFEAFF0000,-2.2,-2.2,0
24/07/2020 19:20:57.738,2140651,AM1V310 @305F47,279378,F9FFBBFFE8FF,-0.7,-6.9,-2.4
24/07/2020 19:20:57.768,2140681,AM1V310 @305F47,279384,E9FFCFFF1600,-2.3,-4.9,2.2
24/07/2020 19:20:57.797,2140711,AM1V310 @305F47,279390,F4FFBDFF0000,-1.2,-6.7,0
24/07/2020 19:20:57.858,2140771,AM1V310 @305F47,279396,1A00B3FF0200,2.6,-7.7,0.2
24/07/2020 19:20:57.918,2140831,AM1V310 @305F47,279403,3B000D002A00,5.9,1.3,4.2
24/07/2020 19:20:57.948,2140861,AM1V310 @305F47,279409,3B00D3FF1000,5.9,-4.5,1.6
24/07/2020 19:20:58.008,2140921,AM1V310 @305F47,279415,2700E0FF2C00,3.9,-3.2,4.4
24/07/2020 19:20:58.068,2140981,AM1V310 @305F47,279421,22000B004E00,3.4,1.1,7.8
24/07/2020 19:20:58.097,2141010,AM1V310 @305F47,279428,070003002000,0.7,0.3,3.2
24/07/2020 19:20:58.158,2141071,AM1V310 @305F47,279434,2B0029003000,4.3,4.1,4.8
24/07/2020 19:20:58.218,2141131,AM1V310 @305F47,279440,4C00C4FF0F00,7.6,-6,1.5
24/07/2020 19:20:58.248,2141161,AM1V310 @305F47,279446,1A0097FF3100,2.6,-10.5,4.9
24/07/2020 19:20:58.308,2141221,AM1V310 @305F47,279453,44009DFF2C00,6.8,-9.9,4.4
24/07/2020 19:20:58.368,2141281,AM1V310 @305F47,279459,1300EBFF5C00,1.9,-2.1,9.2
24/07/2020 19:20:58.397,2141311,AM1V310 @305F47,279465,E0FF12003900,-3.2,1.8,5.7
24/07/2020 19:20:58.458,2141371,AM1V310 @305F47,279471,2500B3FFDBFF,3.7,-7.7,-3.7
24/07/2020 19:20:58.518,2141431,AM1V310 @305F47,279478,3A001000F2FF,5.8,1.6,-1.4
