Logged started on,24/07/2020 18:45:17
Feature,Accelerometer
Nodes,AM1V310 @305F47

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (mg),Y (mg),Z (mg)
24/07/2020 19:23:46.906,2309825,AM1V310 @305F47,300528,A0FF71FC7EFF,-96,-911,-130
24/07/2020 19:23:46.936,2309849,AM1V310 @305F47,300534,95FFD4FC62FF,-107,-812,-158
24/07/2020 19:23:46.996,2309909,AM1V310 @305F47,300540,F2FFBBFD62FF,-14,-581,-158
24/07/2020 19:23:47.056,2309970,AM1V310 @305F47,300546,F4FF27FED0FE,-12,-473,-304
24/07/2020 19:23:47.086,2309999,AM1V310 @305F47,300553,0B005EFD0000,11,-674,0
24/07/2020 19:23:47.146,2310059,AM1V310 @305F47,300559,39FF99FCBAFF,-199,-871,-70
24/07/2020 19:23:47.206,2310119,AM1V310 @305F47,300565,FEFF5EFC9F00,-2,-930,159
24/07/2020 19:23:47.236,2310149,AM1V310 @305F47,300571,D3FF22FC9800,-45,-990,152
24/07/2020 19:23:47.296,2310209,AM1V310 @305F47,300578,5BFF08FC3200,-165,-1016,50
24/07/2020 19:23:47.356,2310270,AM1V310 @305F47,300584,4DFF85FBBA00,-179,-1147,186
24/07/2020 19:23:47.386,2310299,AM1V310 @305F47,300590,450013FC4C00,69,-1005,76
24/07/2020 19:23:47.446,2310359,AM1V310 @305F47,300596,37FFECFB6200,-201,-1044,98
24/07/2020 19:23:47.506,2310419,AM1V310 @305F47,300603,72FFA9FB9100,-142,-1111,145
24/07/2020 19:23:47.536,2310449,AM1V310 @305F47,300609,5AFF2BFB0C01,-166,-1237,268
24/07/2020 19:23:47.596,2310509,AM1V310 @305F47,300615,92FF63FB0101,-110,-1181,257
24/07/2020 19:23:47.656,2310569,AM1V310 @305F47,300621,3DFF25FBE200,-195,-1243,226
24/07/2020 19:23:47.686,2310599,AM1V310 @305F47,300628,8DFF5AFBE000,-115,-1190,224
24/07/2020 19:23:47.746,2310659,AM1V310 @305F47,300634,75FF5BFB8301,-139,-1189,387
24/07/2020 19:23:47.806,2310719,AM1V310 @305F47,300640,3F0032FC6100,63,-974,97
24/07/2020 19:23:47.836,2310749,AM1V310 @305F47,300646,000021FC5900,0,-991,89
24/07/2020 19:23:47.896,2310809,AM1V310 @305F47,300653,92FF25FCEAFF,-110,-987,-22
24/07/2020 19:23:47.956,2310869,AM1V310 @305F47,300659,160029FC5600,22,-983,86
24/07/2020 19:23:47.986,2310899,AM1V310 @305F47,300665,E1FFBBFBA700,-31,-1093,167
24/07/2020 19:23:48.046,2310959,AM1V310 @305F47,300671,1000FFFB6300,16,-1025,99
24/07/2020 19:23:48.106,2311019,AM1V310 @305F47,300678,2900F2FBCD00,41,-1038,205
24/07/2020 19:23:48.136,2311049,AM1V310 @305F47,300684,18001DFC8400,24,-995,132
24/07/2020 19:23:48.196,2311109,AM1V310 @305F47,300690,36002FFC6B00,54,-977,107
24/07/2020 19:23:48.256,2311169,AM1V310 @305F47,300696,660030FCA800,102,-976,168
24/07/2020 19:23:48.286,2311199,AM1V310 @305F47,300703,030030FC5B00,3,-976,91
24/07/2020 19:23:48.346,2311259,AM1V310 @305F47,300709,FDFF21FC6500,-3,-991,101
24/07/2020 19:23:48.406,2311319,AM1V310 @305F47,300715,2E0014FC9B00,46,-1004,155
24/07/2020 19:23:48.436,2311349,AM1V310 @305F47,300721,5200E3FB9400,82,-1053,148
24/07/2020 19:23:48.496,2311409,AM1V310 @305F47,300728,24000BFC9800,36,-1013,152
24/07/2020 19:23:48.556,2311469,AM1V310 @305F47,300734,300014FC9200,48,-1004,146
24/07/2020 19:23:48.586,2311499,AM1V310 @305F47,300740,4E0023FCA500,78,-989,165
24/07/2020 19:23:48.648,2311561,AM1V310 @305F47,300746,090023FC7200,9,-989,114
24/07/2020 19:23:48.706,2311619,AM1V310 @305F47,300753,1E001AFC7C00,30,-998,124
24/07/2020 19:23:48.736,2311649,AM1V310 @305F47,300759,38000BFCA600,56,-1013,166
24/07/2020 19:23:48.796,2311709,AM1V310 @305F47,300765,3E0035FC7D00,62,-971,125
24/07/2020 19:23:48.856,2311770,AM1V310 @305F47,300771,420065FC5800,66,-923,88
24/07/2020 19:23:48.886,2311799,AM1V310 @305F47,300778,3B0065FC6300,59,-923,99
24/07/2020 19:23:48.946,2311859,AM1V310 @305F47,300784,D3FFA2FC5800,-45,-862,88
24/07/2020 19:23:49.006,2311920,AM1V310 @305F47,300790,F7FF6EFC9103,-9,-914,913
24/07/2020 19:23:49.036,2311949,AM1V310 @305F47,300796,5E0089FDCC00,94,-631,204
