Logged started on,24/07/2020 14:33:27
Feature,Gyroscope
Nodes,AM1V310 @395930

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (dps),Y (dps),Z (dps)
24/07/2020 14:57:53.078,1465304,AM1V310 @395930,188266,D1FF07002801,-4.7,0.7,29.6
24/07/2020 14:57:53.107,1465322,AM1V310 @395930,188272,EAFFE2FF1101,-2.2,-3,27.3
24/07/2020 14:57:53.168,1465383,AM1V310 @395930,188278,A8FF89FFC000,-8.8,-11.9,19.2
24/07/2020 14:57:53.228,1465443,AM1V310 @395930,188285,EBFFB6FF5B00,-2.1,-7.4,9.1
24/07/2020 14:57:53.257,1465471,AM1V310 @395930,188291,F9FF02006500,-0.7,0.2,10.1
24/07/2020 14:57:53.318,1465533,AM1V310 @395930,188297,310018007000,4.9,2.4,11.2
24/07/2020 14:57:53.378,1465593,AM1V310 @395930,188303,090031004100,0.9,4.9,6.5
24/07/2020 14:57:53.407,1465622,AM1V310 @395930,188310,21003B004F00,3.3,5.9,7.9
24/07/2020 14:57:53.468,1465683,AM1V310 @395930,188316,19002E002F00,2.5,4.6,4.7
24/07/2020 14:57:53.528,1465743,AM1V310 @395930,188322,0B0021002800,1.1,3.3,4
24/07/2020 14:57:53.557,1465771,AM1V310 @395930,188328,1C0029002800,2.8,4.1,4
24/07/2020 14:57:53.618,1465833,AM1V310 @395930,188335,210023002500,3.3,3.5,3.7
24/07/2020 14:57:53.678,1465893,AM1V310 @395930,188341,F2FFEFFF0B00,-1.4,-1.7,1.1
24/07/2020 14:57:53.707,1465922,AM1V310 @395930,188347,0A00ECFF3000,1,-2,4.8
24/07/2020 14:57:53.865,1466080,AM1V310 @395930,188353,25000B00F9FF,3.7,1.1,-0.7
24/07/2020 14:57:53.865,1466080,AM1V310 @395930,188360,78002A00FBFF,12,4.2,-0.5
24/07/2020 14:57:53.865,1466081,AM1V310 @395930,188366,79002000F9FF,12.1,3.2,-0.7
24/07/2020 14:57:53.995,1466211,AM1V310 @395930,188372,1400EDFF0200,2,-1.9,0.2
24/07/2020 14:57:53.995,1466211,AM1V310 @395930,188378,1E0015000400,3,2.1,0.4
24/07/2020 14:57:54.017,1466232,AM1V310 @395930,188385,FDFFEEFFFCFF,-0.3,-1.8,-0.4
24/07/2020 14:57:54.068,1466283,AM1V310 @395930,188391,2D0022001500,4.5,3.4,2.1
24/07/2020 14:57:54.128,1466343,AM1V310 @395930,188397,39002E001700,5.7,4.6,2.3
24/07/2020 14:57:54.157,1466371,AM1V310 @395930,188403,0200FEFF0700,0.2,-0.2,0.7
24/07/2020 14:57:54.217,1466432,AM1V310 @395930,188410,F8FF00000900,-0.8,0,0.9
24/07/2020 14:57:54.286,1466501,AM1V310 @395930,188416,0B0000001700,1.1,0,2.3
24/07/2020 14:57:54.307,1466522,AM1V310 @395930,188422,ECFFE2FF1600,-2,-3,2.2
24/07/2020 14:57:54.369,1466584,AM1V310 @395930,188428,FEFF04001700,-0.2,0.4,2.3
24/07/2020 14:57:54.427,1466642,AM1V310 @395930,188435,EEFFFFFF0B00,-1.8,-0.1,1.1
24/07/2020 14:57:54.458,1466672,AM1V310 @395930,188441,F5FFF9FF1700,-1.1,-0.7,2.3
24/07/2020 14:57:54.518,1466733,AM1V310 @395930,188447,1C001A001300,2.8,2.6,1.9
24/07/2020 14:57:54.578,1466793,AM1V310 @395930,188453,0800F7FF0000,0.8,-0.9,0
24/07/2020 14:57:54.607,1466822,AM1V310 @395930,188460,150001001100,2.1,0.1,1.7
24/07/2020 14:57:54.670,1466885,AM1V310 @395930,188466,05000B000A00,0.5,1.1,1
24/07/2020 14:57:54.727,1466942,AM1V310 @395930,188472,FBFFFAFF1400,-0.5,-0.6,2
24/07/2020 14:57:54.758,1466972,AM1V310 @395930,188478,F7FFE7FF1100,-0.9,-2.5,1.7
24/07/2020 14:57:54.818,1467033,AM1V310 @395930,188485,F3FF0D001200,-1.3,1.3,1.8
24/07/2020 14:57:54.878,1467093,AM1V310 @395930,188491,0C0009001300,1.2,0.9,1.9
24/07/2020 14:57:54.911,1467126,AM1V310 @395930,188497,F2FFFDFF0D00,-1.4,-0.3,1.3
24/07/2020 14:57:54.968,1467182,AM1V310 @395930,188503,0E0006000F00,1.4,0.6,1.5
24/07/2020 14:57:55.028,1467243,AM1V310 @395930,188510,18000A001600,2.4,1,2.2
24/07/2020 14:57:55.057,1467272,AM1V310 @395930,188516,1A001C001100,2.6,2.8,1.7
24/07/2020 14:57:55.118,1467333,AM1V310 @395930,188522,0D0004000200,1.3,0.4,0.2
24/07/2020 14:57:55.178,1467393,AM1V310 @395930,188528,09000E000000,0.9,1.4,0
24/07/2020 14:57:55.207,1467422,AM1V310 @395930,188535,BFFFEBFFF1FF,-6.5,-2.1,-1.5
24/07/2020 14:57:55.269,1467484,AM1V310 @395930,188541,040011000400,0.4,1.7,0.4
24/07/2020 14:57:55.328,1467543,AM1V310 @395930,188547,F5FF09000900,-1.1,0.9,0.9
24/07/2020 14:57:55.357,1467572,AM1V310 @395930,188553,EBFFF3FF1200,-2.1,-1.3,1.8
24/07/2020 14:57:55.418,1467633,AM1V310 @395930,188560,F7FF01000D00,-0.9,0.1,1.3
24/07/2020 14:57:55.479,1467694,AM1V310 @395930,188566,FFFFEDFF0400,-0.1,-1.9,0.4
24/07/2020 14:57:55.507,1467722,AM1V310 @395930,188572,FBFFFDFF0E00,-0.5,-0.3,1.4
24/07/2020 14:57:55.568,1467783,AM1V310 @395930,188578,FBFFF8FF0B00,-0.5,-0.8,1.1
24/07/2020 14:57:55.628,1467843,AM1V310 @395930,188585,0300FCFF0B00,0.3,-0.4,1.1
