Logged started on,24/07/2020 14:33:27
Feature,Accelerometer
Nodes,AM1V310 @395930

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (mg),Y (mg),Z (mg)
24/07/2020 14:41:11.547,463771,AM1V310 @395930,63059,8F001000F003,143,16,1008
24/07/2020 14:41:11.578,463793,AM1V310 @395930,63065,9D002500F903,157,37,1017
24/07/2020 14:41:11.638,463853,AM1V310 @395930,63071,9E0049001B04,158,73,1051
24/07/2020 14:41:11.698,463914,AM1V310 @395930,63077,A60097003D04,166,151,1085
24/07/2020 14:41:11.727,463942,AM1V310 @395930,63084,A200E7004504,162,231,1093
24/07/2020 14:41:11.789,464004,AM1V310 @395930,63090,DE0011016704,222,273,1127
24/07/2020 14:41:11.848,464064,AM1V310 @395930,63096,990004013304,153,260,1075
24/07/2020 14:41:11.877,464092,AM1V310 @395930,63102,8F007000A103,143,112,929
24/07/2020 14:41:11.938,464153,AM1V310 @395930,63109,E3009D00E603,227,157,998
24/07/2020 14:41:11.998,464214,AM1V310 @395930,63115,8100B8FF6E03,129,-72,878
24/07/2020 14:41:12.027,464242,AM1V310 @395930,63121,210010FF3403,33,-240,820
24/07/2020 14:41:12.089,464304,AM1V310 @395930,63127,6C00DDFE1903,108,-291,793
24/07/2020 14:41:12.150,464365,AM1V310 @395930,63134,4D00BDFE3C03,77,-323,828
24/07/2020 14:41:12.178,464392,AM1V310 @395930,63140,1100FCFEDE03,17,-260,990
24/07/2020 14:41:12.238,464453,AM1V310 @395930,63146,4700D7FEA303,71,-297,931
24/07/2020 14:41:12.298,464514,AM1V310 @395930,63152,5F0031FFD303,95,-207,979
24/07/2020 14:41:12.327,464542,AM1V310 @395930,63159,A60079FFFB03,166,-135,1019
24/07/2020 14:41:12.389,464604,AM1V310 @395930,63165,9B00CBFF4404,155,-53,1092
24/07/2020 14:41:12.448,464664,AM1V310 @395930,63171,5A0097FF0904,90,-105,1033
24/07/2020 14:41:12.477,464692,AM1V310 @395930,63177,7C00D5FF2404,124,-43,1060
24/07/2020 14:41:12.538,464754,AM1V310 @395930,63184,7000F9FF3904,112,-7,1081
24/07/2020 14:41:12.598,464814,AM1V310 @395930,63190,830011002104,131,17,1057
24/07/2020 14:41:12.627,464842,AM1V310 @395930,63196,A30030000404,163,48,1028
24/07/2020 14:41:12.689,464904,AM1V310 @395930,63202,8A00FFFFD503,138,-1,981
24/07/2020 14:41:12.747,464963,AM1V310 @395930,63209,8A00FDFFE503,138,-3,997
24/07/2020 14:41:12.777,464992,AM1V310 @395930,63215,98000A00EC03,152,10,1004
24/07/2020 14:41:12.838,465054,AM1V310 @395930,63221,8800F5FFE603,136,-11,998
24/07/2020 14:41:12.898,465114,AM1V310 @395930,63227,9600FDFFF803,150,-3,1016
24/07/2020 14:41:12.927,465142,AM1V310 @395930,63234,9300F0FFEC03,147,-16,1004
24/07/2020 14:41:12.989,465204,AM1V310 @395930,63240,8F00EDFFEC03,143,-19,1004
24/07/2020 14:41:13.048,465264,AM1V310 @395930,63246,7A00E1FFDD03,122,-31,989
