Logged started on,24/07/2020 18:45:17
Feature,Magnetometer
Nodes,AM1V310 @305F47

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (mGa),Y (mGa),Z (mGa)
24/07/2020 19:05:54.808,1237730,AM1V310 @305F47,166503,08012EFF04FF,264,-210,-252
24/07/2020 19:05:54.869,1237782,AM1V310 @305F47,166509,05013AFFFEFE,261,-198,-258
24/07/2020 19:05:54.899,1237812,AM1V310 @305F47,166515,110136FFF8FE,273,-202,-264
24/07/2020 19:05:54.959,1237872,AM1V310 @305F47,166521,02012DFFF4FE,258,-211,-268
24/07/2020 19:05:55.019,1237932,AM1V310 @305F47,166528,0E0130FFF4FE,270,-208,-268
24/07/2020 19:05:55.049,1237962,AM1V310 @305F47,166534,0C0133FFF5FE,268,-205,-267
24/07/2020 19:05:55.109,1238022,AM1V310 @305F47,166540,050136FFEEFE,261,-202,-274
24/07/2020 19:05:55.198,1238112,AM1V310 @305F47,166546,020128FFEBFE,258,-216,-277
24/07/2020 19:05:55.199,1238113,AM1V310 @305F47,166553,FF002AFFECFE,255,-214,-276
24/07/2020 19:05:55.289,1238202,AM1V310 @305F47,166559,02012BFFF1FE,258,-213,-271
24/07/2020 19:05:55.324,1238237,AM1V310 @305F47,166565,06012AFFDAFE,262,-214,-294
24/07/2020 19:05:55.349,1238262,AM1V310 @305F47,166571,FC001FFFDAFE,252,-225,-294
24/07/2020 19:05:55.409,1238322,AM1V310 @305F47,166578,030116FFDFFE,259,-234,-289
24/07/2020 19:05:55.469,1238382,AM1V310 @305F47,166584,00011BFFD0FE,256,-229,-304
24/07/2020 19:05:55.499,1238412,AM1V310 @305F47,166590,FC0015FFD6FE,252,-235,-298
24/07/2020 19:05:55.559,1238472,AM1V310 @305F47,166596,030116FFD9FE,259,-234,-295
24/07/2020 19:05:55.619,1238533,AM1V310 @305F47,166603,000119FFD4FE,256,-231,-300
24/07/2020 19:05:55.649,1238562,AM1V310 @305F47,166609,030127FFD6FE,259,-217,-298
24/07/2020 19:05:55.709,1238622,AM1V310 @305F47,166615,05011EFFD3FE,261,-226,-301
24/07/2020 19:05:55.769,1238682,AM1V310 @305F47,166621,03012BFFD0FE,259,-213,-304
24/07/2020 19:05:55.799,1238712,AM1V310 @305F47,166628,F90028FFCEFE,249,-216,-306
24/07/2020 19:05:55.859,1238772,AM1V310 @305F47,166634,00011FFFCDFE,256,-225,-307
24/07/2020 19:05:55.919,1238833,AM1V310 @305F47,166640,F70021FFCAFE,247,-223,-310
24/07/2020 19:05:55.949,1238862,AM1V310 @305F47,166646,FC001FFFD3FE,252,-225,-301
24/07/2020 19:05:56.009,1238922,AM1V310 @305F47,166653,F7001FFFD0FE,247,-225,-304
24/07/2020 19:05:56.069,1238982,AM1V310 @305F47,166659,020122FFD4FE,258,-222,-300
24/07/2020 19:05:56.099,1239012,AM1V310 @305F47,166665,030118FFCBFE,259,-232,-309
24/07/2020 19:05:56.159,1239072,AM1V310 @305F47,166671,FF001BFFBFFE,255,-229,-321
24/07/2020 19:05:56.219,1239132,AM1V310 @305F47,166678,08011FFFC2FE,264,-225,-318
24/07/2020 19:05:56.249,1239162,AM1V310 @305F47,166684,FC0022FFC1FE,252,-222,-319
24/07/2020 19:05:56.309,1239222,AM1V310 @305F47,166690,F60024FFBEFE,246,-220,-322
24/07/2020 19:05:56.369,1239282,AM1V310 @305F47,166696,F00021FFB9FE,240,-223,-327
24/07/2020 19:05:56.399,1239312,AM1V310 @305F47,166703,F7001FFFB3FE,247,-225,-333
24/07/2020 19:05:56.459,1239372,AM1V310 @305F47,166709,F4001CFFB9FE,244,-228,-327
24/07/2020 19:05:56.519,1239432,AM1V310 @305F47,166715,020124FFB5FE,258,-220,-331
24/07/2020 19:05:56.549,1239462,AM1V310 @305F47,166721,F0001FFFACFE,240,-225,-340
24/07/2020 19:05:56.609,1239522,AM1V310 @305F47,166728,F1001EFFA7FE,241,-226,-345
24/07/2020 19:05:56.669,1239582,AM1V310 @305F47,166734,F0001BFFA3FE,240,-229,-349
24/07/2020 19:05:56.699,1239612,AM1V310 @305F47,166740,F3001EFFA4FE,243,-226,-348
24/07/2020 19:05:56.759,1239672,AM1V310 @305F47,166746,F70021FFAAFE,247,-223,-342
24/07/2020 19:05:56.818,1239732,AM1V310 @305F47,166753,F60028FFACFE,246,-216,-340
24/07/2020 19:05:56.849,1239762,AM1V310 @305F47,166759,F6002DFFA3FE,246,-211,-349
24/07/2020 19:05:56.937,1239850,AM1V310 @305F47,166765,F00024FF9EFE,240,-220,-354
24/07/2020 19:05:56.969,1239882,AM1V310 @305F47,166771,F70021FFAAFE,247,-223,-342
24/07/2020 19:05:56.999,1239912,AM1V310 @305F47,166778,F0002BFFA6FE,240,-213,-346
24/07/2020 19:05:57.059,1239972,AM1V310 @305F47,166784,F60019FFA9FE,246,-231,-343
24/07/2020 19:05:57.118,1240032,AM1V310 @305F47,166790,FD001EFFA1FE,253,-226,-351
24/07/2020 19:05:57.149,1240062,AM1V310 @305F47,166796,FC001FFFA3FE,252,-225,-349
24/07/2020 19:05:57.209,1240122,AM1V310 @305F47,166803,F4001EFF9BFE,244,-226,-357
24/07/2020 19:05:57.269,1240182,AM1V310 @305F47,166809,F60018FF9DFE,246,-232,-355
24/07/2020 19:05:57.299,1240212,AM1V310 @305F47,166815,F60010FF9DFE,246,-240,-355
24/07/2020 19:05:57.358,1240272,AM1V310 @305F47,166821,FD000DFF9DFE,253,-243,-355
24/07/2020 19:05:57.418,1240331,AM1V310 @305F47,166828,F9000DFFA0FE,249,-243,-352
24/07/2020 19:05:57.448,1240362,AM1V310 @305F47,166834,F60009FF92FE,246,-247,-366
24/07/2020 19:05:57.509,1240422,AM1V310 @305F47,166840,F60001FF98FE,246,-255,-360
24/07/2020 19:05:57.569,1240482,AM1V310 @305F47,166846,FC00FAFE98FE,252,-262,-360
24/07/2020 19:05:57.629,1240542,AM1V310 @305F47,166853,F70001FF9EFE,247,-255,-354
24/07/2020 19:05:57.658,1240572,AM1V310 @305F47,166859,FD00FAFE9AFE,253,-262,-358
24/07/2020 19:05:57.719,1240632,AM1V310 @305F47,166865,FF00F8FE94FE,255,-264,-364
24/07/2020 19:05:57.750,1240663,AM1V310 @305F47,166871,0201F5FE9AFE,258,-267,-358
24/07/2020 19:05:57.808,1240721,AM1V310 @305F47,166878,FA00F5FE98FE,250,-267,-360
24/07/2020 19:05:57.869,1240782,AM1V310 @305F47,166884,0301F5FE9AFE,259,-267,-358
24/07/2020 19:05:57.898,1240811,AM1V310 @305F47,166890,F600F7FE92FE,246,-265,-366
24/07/2020 19:05:57.959,1240872,AM1V310 @305F47,166896,FF00F8FE97FE,255,-264,-361
24/07/2020 19:05:58.019,1240933,AM1V310 @305F47,166903,FC00FDFE9BFE,252,-259,-357
24/07/2020 19:05:58.049,1240962,AM1V310 @305F47,166909,F600FDFE97FE,246,-259,-361
24/07/2020 19:05:58.109,1241022,AM1V310 @305F47,166915,FA00FBFE9EFE,250,-261,-354
