Logged started on,24/07/2020 18:45:17
Feature,Gyroscope
Nodes,AM1V310 @305F47

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (dps),Y (dps),Z (dps)
24/07/2020 18:58:04.719,767638,AM1V310 @305F47,107734,2D003600B1FF,4.5,5.4,-7.9
24/07/2020 18:58:04.777,767690,AM1V310 @305F47,107740,48004800A300,7.2,7.2,16.3
24/07/2020 18:58:04.807,767720,AM1V310 @305F47,107746,690091009800,10.5,14.5,15.2
24/07/2020 18:58:04.867,767780,AM1V310 @305F47,107753,890060007000,13.7,9.6,11.2
24/07/2020 18:58:04.927,767840,AM1V310 @305F47,107759,2D002C000A00,4.5,4.4,1
24/07/2020 18:58:04.957,767870,AM1V310 @305F47,107765,E7FFF1FFE1FF,-2.5,-1.5,-3.1
24/07/2020 18:58:05.017,767930,AM1V310 @305F47,107771,FEFF3B00AFFF,-0.2,5.9,-8.1
24/07/2020 18:58:05.077,767991,AM1V310 @305F47,107778,A8FF56FFE5FF,-8.8,-17,-2.7
24/07/2020 18:58:05.107,768020,AM1V310 @305F47,107784,73002900C3FF,11.5,4.1,-6.1
24/07/2020 18:58:05.168,768081,AM1V310 @305F47,107790,120038FF68FF,1.8,-20,-15.2
24/07/2020 18:58:05.227,768140,AM1V310 @305F47,107796,0400DBFF1700,0.4,-3.7,2.3
24/07/2020 18:58:05.257,768170,AM1V310 @305F47,107803,3500BAFFCAFF,5.3,-7,-5.4
24/07/2020 18:58:05.317,768231,AM1V310 @305F47,107809,AFFF51006100,-8.1,8.1,9.7
24/07/2020 18:58:05.377,768290,AM1V310 @305F47,107815,7AFFDBFF1A00,-13.4,-3.7,2.6
24/07/2020 18:58:05.407,768320,AM1V310 @305F47,107821,C9FFEEFF4A00,-5.5,-1.8,7.4
24/07/2020 18:58:05.467,768380,AM1V310 @305F47,107828,AEFF4B004700,-8.2,7.5,7.1
24/07/2020 18:58:05.527,768440,AM1V310 @305F47,107834,BBFFA4FF5600,-6.9,-9.2,8.6
24/07/2020 18:58:05.557,768470,AM1V310 @305F47,107840,81FFDFFF2800,-12.7,-3.3,4
24/07/2020 18:58:05.617,768530,AM1V310 @305F47,107846,D7FFCAFF1E00,-4.1,-5.4,3
24/07/2020 18:58:05.677,768591,AM1V310 @305F47,107853,D0FFB5FFFCFF,-4.8,-7.5,-0.4
24/07/2020 18:58:05.707,768620,AM1V310 @305F47,107859,DBFFBCFF0A00,-3.7,-6.8,1
24/07/2020 18:58:05.767,768681,AM1V310 @305F47,107865,130079FFBEFF,1.9,-13.5,-6.6
24/07/2020 18:58:05.856,768770,AM1V310 @305F47,107871,F0FFA5FF4500,-1.6,-9.1,6.9
24/07/2020 18:58:05.883,768796,AM1V310 @305F47,107878,E4FFEEFF1C00,-2.8,-1.8,2.8
24/07/2020 18:58:05.917,768830,AM1V310 @305F47,107884,82FFD4FF2300,-12.6,-4.4,3.5
24/07/2020 18:58:05.977,768890,AM1V310 @305F47,107890,93FF5B001200,-10.9,9.1,1.8
24/07/2020 18:58:06.007,768920,AM1V310 @305F47,107896,79FF1700DAFF,-13.5,2.3,-3.8
24/07/2020 18:58:06.067,768980,AM1V310 @305F47,107903,77FF0E0099FF,-13.7,1.4,-10.3
24/07/2020 18:58:06.127,769040,AM1V310 @305F47,107909,A5FF8AFF9AFF,-9.1,-11.8,-10.2
24/07/2020 18:58:06.157,769070,AM1V310 @305F47,107915,D6FF0D00F8FF,-4.2,1.3,-0.8
