Logged started on,24/07/2020 18:45:17
Feature,Accelerometer
Nodes,AM1V310 @305F47

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (mg),Y (mg),Z (mg)
24/07/2020 18:59:27.062,849982,AM1V310 @305F47,118028,F9FF21FC5800,-7,-991,88
24/07/2020 18:59:27.092,850005,AM1V310 @305F47,118034,2E019DFB7A00,302,-1123,122
24/07/2020 18:59:27.152,850065,AM1V310 @305F47,118040,C90211FC6700,713,-1007,103
24/07/2020 18:59:27.212,850126,AM1V310 @305F47,118046,4A02B1FCA5FF,586,-847,-91
24/07/2020 18:59:27.242,850155,AM1V310 @305F47,118053,06018FFC2502,262,-881,549
24/07/2020 18:59:27.302,850216,AM1V310 @305F47,118059,C10096FC8E01,193,-874,398
24/07/2020 18:59:27.363,850276,AM1V310 @305F47,118065,EEFE33FCBE01,-274,-973,446
24/07/2020 18:59:27.392,850305,AM1V310 @305F47,118071,EFFEABFB1E02,-273,-1109,542
24/07/2020 18:59:27.452,850365,AM1V310 @305F47,118078,CBFF42FC3B00,-53,-958,59
24/07/2020 18:59:27.512,850426,AM1V310 @305F47,118084,E4FE1CFC1301,-284,-996,275
24/07/2020 18:59:27.542,850455,AM1V310 @305F47,118090,2FFF50FC8700,-209,-944,135
24/07/2020 18:59:27.602,850515,AM1V310 @305F47,118096,93FE4FFC7F00,-365,-945,127
24/07/2020 18:59:27.662,850576,AM1V310 @305F47,118103,EBFD01FCA700,-533,-1023,167
24/07/2020 18:59:27.692,850605,AM1V310 @305F47,118109,B1FE20FCA300,-335,-992,163
24/07/2020 18:59:27.752,850665,AM1V310 @305F47,118115,8FFE0AFC4900,-369,-1014,73
24/07/2020 18:59:27.812,850725,AM1V310 @305F47,118121,17FF33FC7400,-233,-973,116
24/07/2020 18:59:27.874,850787,AM1V310 @305F47,118128,0DFF4BFCF1FF,-243,-949,-15
24/07/2020 18:59:27.902,850815,AM1V310 @305F47,118134,70FF44FCF0FF,-144,-956,-16
24/07/2020 18:59:27.962,850875,AM1V310 @305F47,118140,C8FF39FC0000,-56,-967,0
24/07/2020 18:59:27.992,850905,AM1V310 @305F47,118146,88FF32FC1100,-120,-974,17
24/07/2020 18:59:28.052,850965,AM1V310 @305F47,118153,BBFF28FC1C00,-69,-984,28
24/07/2020 18:59:28.112,851025,AM1V310 @305F47,118159,76FF17FC2A00,-138,-1001,42
24/07/2020 18:59:28.142,851055,AM1V310 @305F47,118165,D5FF19FCEAFF,-43,-999,-22
24/07/2020 18:59:28.202,851115,AM1V310 @305F47,118171,8CFFFDFB6A00,-116,-1027,106
24/07/2020 18:59:28.262,851176,AM1V310 @305F47,118178,72FF0AFC3000,-142,-1014,48
24/07/2020 18:59:28.292,851205,AM1V310 @305F47,118184,B8FF36FC4200,-72,-970,66
24/07/2020 18:59:28.352,851265,AM1V310 @305F47,118190,80FF2FFC3F00,-128,-977,63
24/07/2020 18:59:28.412,851325,AM1V310 @305F47,118196,A9FF25FC1B00,-87,-987,27
24/07/2020 18:59:28.442,851355,AM1V310 @305F47,118203,2EFF01FCD2FF,-210,-1023,-46
24/07/2020 18:59:28.502,851415,AM1V310 @305F47,118209,80FF19FCE3FF,-128,-999,-29
24/07/2020 18:59:28.562,851475,AM1V310 @305F47,118215,43FF06FCDDFF,-189,-1018,-35
24/07/2020 18:59:28.594,851507,AM1V310 @305F47,118221,D7FF0EFC2900,-41,-1010,41
24/07/2020 18:59:28.652,851565,AM1V310 @305F47,118228,C1FF1AFC2900,-63,-998,41
24/07/2020 18:59:28.712,851625,AM1V310 @305F47,118234,AEFF34FCECFF,-82,-972,-20
24/07/2020 18:59:28.742,851655,AM1V310 @305F47,118240,AFFF28FCE9FF,-81,-984,-23
24/07/2020 18:59:28.802,851716,AM1V310 @305F47,118246,66FF18FCE1FF,-154,-1000,-31
24/07/2020 18:59:28.862,851775,AM1V310 @305F47,118253,90FF29FC1400,-112,-983,20
24/07/2020 18:59:28.892,851805,AM1V310 @305F47,118259,1EFF14FCE8FF,-226,-1004,-24
24/07/2020 18:59:28.952,851865,AM1V310 @305F47,118265,55FF08FCF9FF,-171,-1016,-7
