Logged started on,24/07/2020 18:45:17
Feature,Magnetometer
Nodes,AM1V310 @305F47

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (mGa),Y (mGa),Z (mGa)
24/07/2020 19:01:40.440,983363,AM1V310 @305F47,134703,080128FFF5FE,264,-216,-267
24/07/2020 19:01:40.500,983414,AM1V310 @305F47,134709,050130FFFEFE,261,-208,-258
24/07/2020 19:01:40.530,983443,AM1V310 @305F47,134715,00013FFFFAFE,256,-193,-262
24/07/2020 19:01:40.591,983504,AM1V310 @305F47,134721,020139FFF4FE,258,-199,-268
24/07/2020 19:01:40.650,983564,AM1V310 @305F47,134728,F10046FFEEFE,241,-186,-274
24/07/2020 19:01:40.680,983593,AM1V310 @305F47,134734,E80055FFDFFE,232,-171,-289
24/07/2020 19:01:40.741,983654,AM1V310 @305F47,134740,E5004EFFD0FE,229,-178,-304
24/07/2020 19:01:40.801,983714,AM1V310 @305F47,134746,E80049FFD1FE,232,-183,-303
24/07/2020 19:01:40.831,983744,AM1V310 @305F47,134753,E8003AFFC1FE,232,-198,-319
24/07/2020 19:01:40.890,983804,AM1V310 @305F47,134759,EA0024FFB6FE,234,-220,-330
24/07/2020 19:01:40.950,983863,AM1V310 @305F47,134765,ED0019FFACFE,237,-231,-340
24/07/2020 19:01:40.980,983893,AM1V310 @305F47,134771,FD0007FFA7FE,253,-249,-345
24/07/2020 19:01:41.040,983953,AM1V310 @305F47,134778,F90001FF97FE,249,-255,-361
24/07/2020 19:01:41.101,984014,AM1V310 @305F47,134784,FC00F5FEA0FE,252,-267,-352
24/07/2020 19:01:41.130,984043,AM1V310 @305F47,134790,0001EFFE9BFE,256,-273,-357
24/07/2020 19:01:41.190,984103,AM1V310 @305F47,134796,0201ECFE9DFE,258,-276,-355
24/07/2020 19:01:41.250,984163,AM1V310 @305F47,134803,0501EFFEA3FE,261,-273,-349
24/07/2020 19:01:41.285,984198,AM1V310 @305F47,134809,FF00F8FEA4FE,255,-264,-348
24/07/2020 19:01:41.340,984253,AM1V310 @305F47,134815,FA00F1FEA4FE,250,-271,-348
24/07/2020 19:01:41.400,984313,AM1V310 @305F47,134821,FA00F8FE9EFE,250,-264,-354
24/07/2020 19:01:41.430,984343,AM1V310 @305F47,134828,0001F2FE9DFE,256,-270,-355
24/07/2020 19:01:41.490,984403,AM1V310 @305F47,134834,0001F5FE9BFE,256,-267,-357
24/07/2020 19:01:41.550,984463,AM1V310 @305F47,134840,0301EEFEA3FE,259,-274,-349
24/07/2020 19:01:41.580,984493,AM1V310 @305F47,134846,0001F8FEA0FE,256,-264,-352
24/07/2020 19:01:41.640,984553,AM1V310 @305F47,134853,FF00F1FEA0FE,255,-271,-352
24/07/2020 19:01:41.700,984614,AM1V310 @305F47,134859,FD00F8FE9BFE,253,-264,-357
24/07/2020 19:01:41.730,984643,AM1V310 @305F47,134865,0201EBFE9DFE,258,-277,-355
24/07/2020 19:01:41.790,984703,AM1V310 @305F47,134871,0201F5FE97FE,258,-267,-361
24/07/2020 19:01:41.858,984770,AM1V310 @305F47,134878,FD00F5FEA0FE,253,-267,-352
24/07/2020 19:01:41.880,984793,AM1V310 @305F47,134884,FF00F1FEA6FE,255,-271,-346
24/07/2020 19:01:41.940,984853,AM1V310 @305F47,134890,FA00FBFE98FE,250,-261,-360
24/07/2020 19:01:42.000,984914,AM1V310 @305F47,134896,FD00FAFEA6FE,253,-262,-346
24/07/2020 19:01:42.030,984943,AM1V310 @305F47,134903,FC00F7FEA4FE,252,-265,-348
24/07/2020 19:01:42.090,985003,AM1V310 @305F47,134909,F900F1FE9AFE,249,-271,-358
24/07/2020 19:01:42.150,985064,AM1V310 @305F47,134915,FC00F4FE9EFE,252,-268,-354
24/07/2020 19:01:42.180,985093,AM1V310 @305F47,134921,EB0001FF94FE,235,-255,-364
24/07/2020 19:01:42.240,985154,AM1V310 @305F47,134928,F600F8FE92FE,246,-264,-366
