Logged started on,24/07/2020 18:45:17
Feature,Accelerometer
Nodes,AM1V310 @305F47

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (mg),Y (mg),Z (mg)
24/07/2020 19:02:18.393,1021312,AM1V310 @305F47,139446,F8FF1EFC2D00,-8,-994,45
24/07/2020 19:02:18.420,1021333,AM1V310 @305F47,139453,0B0010FC4400,11,-1008,68
24/07/2020 19:02:18.480,1021393,AM1V310 @305F47,139459,2D0016FC3500,45,-1002,53
24/07/2020 19:02:18.540,1021453,AM1V310 @305F47,139465,68000BFC4800,104,-1013,72
24/07/2020 19:02:18.570,1021483,AM1V310 @305F47,139471,0C0005FC1000,12,-1019,16
24/07/2020 19:02:18.630,1021544,AM1V310 @305F47,139478,9EFF04FC1A00,-98,-1020,26
24/07/2020 19:02:18.690,1021604,AM1V310 @305F47,139484,CEFF23FCE9FF,-50,-989,-23
24/07/2020 19:02:18.720,1021633,AM1V310 @305F47,139490,BDFF17FC0F00,-67,-1001,15
24/07/2020 19:02:18.780,1021693,AM1V310 @305F47,139496,AEFF18FC3300,-82,-1000,51
24/07/2020 19:02:18.840,1021753,AM1V310 @305F47,139503,FEFF31FCF5FF,-2,-975,-11
24/07/2020 19:02:18.870,1021783,AM1V310 @305F47,139509,75FF0CFC4200,-139,-1012,66
24/07/2020 19:02:18.930,1021844,AM1V310 @305F47,139515,EBFF38FCCBFF,-21,-968,-53
24/07/2020 19:02:18.990,1021904,AM1V310 @305F47,139521,7FFFFDFB5800,-129,-1027,88
24/07/2020 19:02:19.020,1021933,AM1V310 @305F47,139528,C9FF30FCF7FF,-55,-976,-9
24/07/2020 19:02:19.080,1021994,AM1V310 @305F47,139534,E6FF42FC1B00,-26,-958,27
24/07/2020 19:02:19.140,1022053,AM1V310 @305F47,139540,F9FF2CFC1300,-7,-980,19
24/07/2020 19:02:19.170,1022083,AM1V310 @305F47,139546,E9FF14FC0B00,-23,-1004,11
24/07/2020 19:02:19.230,1022143,AM1V310 @305F47,139553,390013FC4000,57,-1005,64
24/07/2020 19:02:19.290,1022203,AM1V310 @305F47,139559,F4FF07FC4500,-12,-1017,69
24/07/2020 19:02:19.320,1022233,AM1V310 @305F47,139565,CEFFF9FB3900,-50,-1031,57
24/07/2020 19:02:19.410,1022324,AM1V310 @305F47,139571,FBFF08FC4D00,-5,-1016,77
24/07/2020 19:02:19.443,1022356,AM1V310 @305F47,139578,7E0023FC4F00,126,-989,79
24/07/2020 19:02:19.470,1022383,AM1V310 @305F47,139584,9DFF03FC4100,-99,-1021,65
24/07/2020 19:02:19.530,1022444,AM1V310 @305F47,139590,810028FC7400,129,-984,116
24/07/2020 19:02:19.620,1022534,AM1V310 @305F47,139596,C6FF1CFC4600,-58,-996,70
24/07/2020 19:02:19.652,1022565,AM1V310 @305F47,139603,B1FF13FC3800,-79,-1005,56
24/07/2020 19:02:19.680,1022593,AM1V310 @305F47,139609,E6FF22FC1A00,-26,-990,26
24/07/2020 19:02:19.740,1022653,AM1V310 @305F47,139615,1B0021FC3F00,27,-991,63
24/07/2020 19:02:19.770,1022684,AM1V310 @305F47,139621,07001EFC3D00,7,-994,61
24/07/2020 19:02:19.830,1022743,AM1V310 @305F47,139628,D8FF11FC4000,-40,-1007,64
24/07/2020 19:02:19.890,1022804,AM1V310 @305F47,139634,E6FF06FC6D00,-26,-1018,109
24/07/2020 19:02:19.920,1022833,AM1V310 @305F47,139640,D1FF11FC2B00,-47,-1007,43
24/07/2020 19:02:19.980,1022894,AM1V310 @305F47,139646,F3FF11FC5900,-13,-1007,89
24/07/2020 19:02:20.040,1022953,AM1V310 @305F47,139653,D4FF2CFC1D00,-44,-980,29
24/07/2020 19:02:20.070,1022983,AM1V310 @305F47,139659,2E0011FC5500,46,-1007,85
24/07/2020 19:02:20.130,1023044,AM1V310 @305F47,139665,04000FFC5200,4,-1009,82
24/07/2020 19:02:20.190,1023103,AM1V310 @305F47,139671,0C000AFC5300,12,-1014,83
24/07/2020 19:02:20.220,1023133,AM1V310 @305F47,139678,250022FC0C00,37,-990,12
24/07/2020 19:02:20.280,1023193,AM1V310 @305F47,139684,02000DFC3600,2,-1011,54
24/07/2020 19:02:20.340,1023253,AM1V310 @305F47,139690,60001FFC5500,96,-993,85
24/07/2020 19:02:20.370,1023283,AM1V310 @305F47,139696,610025FC4600,97,-987,70
