Logged started on,24/07/2020 18:45:17
Feature,Gyroscope
Nodes,AM1V310 @305F47

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (dps),Y (dps),Z (dps)
24/07/2020 19:02:59.040,1061961,AM1V310 @305F47,144528,92009700E4FE,14.6,15.1,-28.4
24/07/2020 19:02:59.070,1061983,AM1V310 @305F47,144534,19001901C000,2.5,28.1,19.2
24/07/2020 19:02:59.130,1062043,AM1V310 @305F47,144540,02018200C0FF,25.8,13,-6.4
24/07/2020 19:02:59.190,1062103,AM1V310 @305F47,144546,1B007EFFECFF,2.7,-13,-2
24/07/2020 19:02:59.220,1062133,AM1V310 @305F47,144553,1001BAFFAE00,27.2,-7,17.4
24/07/2020 19:02:59.280,1062194,AM1V310 @305F47,144559,F50046FF2300,24.5,-18.6,3.5
24/07/2020 19:02:59.339,1062253,AM1V310 @305F47,144565,B6FF40FFA900,-7.4,-19.2,16.9
24/07/2020 19:02:59.369,1062282,AM1V310 @305F47,144571,32000B001900,5,1.1,2.5
24/07/2020 19:02:59.430,1062343,AM1V310 @305F47,144578,FCFE54FF3500,-26,-17.2,5.3
24/07/2020 19:02:59.490,1062403,AM1V310 @305F47,144584,0B00F5FF7BFF,1.1,-1.1,-13.3
24/07/2020 19:02:59.520,1062433,AM1V310 @305F47,144590,9CFF9DFFEAFF,-10,-9.9,-2.2
24/07/2020 19:02:59.580,1062493,AM1V310 @305F47,144596,2B00F9FE9EFF,4.3,-26.3,-9.8
24/07/2020 19:02:59.639,1062553,AM1V310 @305F47,144603,0E0099FFA5FF,1.4,-10.3,-9.1
24/07/2020 19:02:59.669,1062583,AM1V310 @305F47,144609,EBFF36FFCBFF,-2.1,-20.2,-5.3
24/07/2020 19:02:59.730,1062643,AM1V310 @305F47,144615,EFFFDFFF7400,-1.7,-3.3,11.6
24/07/2020 19:02:59.790,1062703,AM1V310 @305F47,144621,FBFF40FFEDFF,-0.5,-19.2,-1.9
24/07/2020 19:02:59.820,1062733,AM1V310 @305F47,144628,C3FFACFE3C00,-6.1,-34,6
24/07/2020 19:02:59.880,1062793,AM1V310 @305F47,144634,B8FFFAFEF0FF,-7.2,-26.2,-1.6
24/07/2020 19:02:59.939,1062853,AM1V310 @305F47,144640,A8FFF5FE1D00,-8.8,-26.7,2.9
24/07/2020 19:02:59.970,1062883,AM1V310 @305F47,144646,C4FF56FF3F00,-6,-17,6.3
24/07/2020 19:03:00.030,1062943,AM1V310 @305F47,144653,150015FFE4FF,2.1,-23.5,-2.8
24/07/2020 19:03:00.089,1063003,AM1V310 @305F47,144659,E9FF47FF0500,-2.3,-18.5,0.5
24/07/2020 19:03:00.120,1063033,AM1V310 @305F47,144665,B1FF3FFF2C00,-7.9,-19.3,4.4
24/07/2020 19:03:00.193,1063106,AM1V310 @305F47,144671,E9FF90FFE1FF,-2.3,-11.2,-3.1
24/07/2020 19:03:00.239,1063152,AM1V310 @305F47,144678,E8FFFBFFF7FF,-2.4,-0.5,-0.9
24/07/2020 19:03:00.270,1063183,AM1V310 @305F47,144684,D6FF2900E5FF,-4.2,4.1,-2.7
24/07/2020 19:03:00.330,1063243,AM1V310 @305F47,144690,BFFF38004100,-6.5,5.6,6.5
24/07/2020 19:03:00.389,1063303,AM1V310 @305F47,144696,E0FF37001700,-3.2,5.5,2.3
24/07/2020 19:03:00.419,1063332,AM1V310 @305F47,144703,F6FF04000E00,-1,0.4,1.4
24/07/2020 19:03:00.480,1063393,AM1V310 @305F47,144709,0E0023000400,1.4,3.5,0.4
24/07/2020 19:03:00.539,1063452,AM1V310 @305F47,144715,0C0003000A00,1.2,0.3,1
24/07/2020 19:03:00.569,1063482,AM1V310 @305F47,144721,B5FF17004900,-7.5,2.3,7.3
24/07/2020 19:03:00.629,1063543,AM1V310 @305F47,144728,DDFFFEFF1100,-3.5,-0.2,1.7
24/07/2020 19:03:00.689,1063602,AM1V310 @305F47,144734,0500D8FFFCFF,0.5,-4,-0.4
24/07/2020 19:03:00.720,1063633,AM1V310 @305F47,144740,E0FFE0FF0800,-3.2,-3.2,0.8
24/07/2020 19:03:00.779,1063693,AM1V310 @305F47,144746,D9FFF5FF0300,-3.9,-1.1,0.3
24/07/2020 19:03:00.839,1063753,AM1V310 @305F47,144753,EEFFE7FFF6FF,-1.8,-2.5,-1
24/07/2020 19:03:00.870,1063783,AM1V310 @305F47,144759,C8FF04001700,-5.6,0.4,2.3
24/07/2020 19:03:00.930,1063843,AM1V310 @305F47,144765,E8FF16001900,-2.4,2.2,2.5
24/07/2020 19:03:01.019,1063932,AM1V310 @305F47,144771,EEFF0C00EEFF,-1.8,1.2,-1.8
24/07/2020 19:03:01.042,1063955,AM1V310 @305F47,144778,E9FF4300EFFF,-2.3,6.7,-1.7
24/07/2020 19:03:01.080,1063993,AM1V310 @305F47,144784,0E005500FCFF,1.4,8.5,-0.4
24/07/2020 19:03:01.139,1064053,AM1V310 @305F47,144790,180035000700,2.4,5.3,0.7
24/07/2020 19:03:01.169,1064082,AM1V310 @305F47,144796,FCFF0B001D00,-0.4,1.1,2.9
24/07/2020 19:03:01.230,1064143,AM1V310 @305F47,144803,E7FF33002E00,-2.5,5.1,4.6
24/07/2020 19:03:01.290,1064203,AM1V310 @305F47,144809,DFFF22000200,-3.3,3.4,0.2
