Logged started on,24/07/2020 14:33:27
Feature,Gyroscope
Nodes,AM1V310 @395930

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (dps),Y (dps),Z (dps)
24/07/2020 15:03:35.322,1807548,AM1V310 @395930,231053,A9FFBDFF3100,-8.7,-6.7,4.9
24/07/2020 15:03:35.411,1807626,AM1V310 @395930,231060,62FFE1FF67FF,-15.8,-3.1,-15.3
24/07/2020 15:03:35.431,1807646,AM1V310 @395930,231066,C6FFD1FE30FE,-5.8,-30.3,-46.4
24/07/2020 15:03:35.472,1807687,AM1V310 @395930,231072,A2FFC8FD0DFE,-9.4,-56.8,-49.9
24/07/2020 15:03:35.532,1807746,AM1V310 @395930,231078,95FE68FE6BFD,-36.3,-40.8,-66.1
24/07/2020 15:03:35.561,1807775,AM1V310 @395930,231085,91FEB5FE6AFD,-36.7,-33.1,-66.2
24/07/2020 15:03:35.622,1807837,AM1V310 @395930,231091,DFFEE4FEC9FD,-28.9,-28.4,-56.7
24/07/2020 15:03:35.682,1807898,AM1V310 @395930,231097,FEFEA5FF1EFE,-25.8,-9.1,-48.2
24/07/2020 15:03:35.710,1807925,AM1V310 @395930,231103,66FFA3FFA7FE,-15.4,-9.3,-34.5
24/07/2020 15:03:35.772,1807987,AM1V310 @395930,231110,BEFFB4FF41FF,-6.6,-7.6,-19.1
24/07/2020 15:03:35.832,1808047,AM1V310 @395930,231116,EFFFEDFFA5FF,-1.7,-1.9,-9.1
24/07/2020 15:03:35.860,1808075,AM1V310 @395930,231122,EDFF4200DBFF,-1.9,6.6,-3.7
24/07/2020 15:03:35.921,1808136,AM1V310 @395930,231128,17001D001000,2.3,2.9,1.6
24/07/2020 15:03:35.982,1808197,AM1V310 @395930,231135,28000E00F9FF,4,1.4,-0.7
24/07/2020 15:03:36.011,1808226,AM1V310 @395930,231141,2C00E3FF1C00,4.4,-2.9,2.8
24/07/2020 15:03:36.071,1808286,AM1V310 @395930,231147,0D00F2FF2300,1.3,-1.4,3.5
24/07/2020 15:03:36.132,1808346,AM1V310 @395930,231153,E9FFEFFF2800,-2.3,-1.7,4
