Logged started on,24/07/2020 14:33:27
Feature,Accelerometer
Nodes,AM1V310 @395930

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (mg),Y (mg),Z (mg)
24/07/2020 15:05:21.372,1913596,AM1V310 @395930,244310,4B00F0FE3204,75,-272,1074
24/07/2020 15:05:21.402,1913616,AM1V310 @395930,244316,95008BFF5904,149,-117,1113
24/07/2020 15:05:21.463,1913678,AM1V310 @395930,244322,DE00B2FF0104,222,-78,1025
24/07/2020 15:05:21.553,1913768,AM1V310 @395930,244328,9D009AFF8F03,157,-102,911
24/07/2020 15:05:21.575,1913790,AM1V310 @395930,244335,D300BDFF7403,211,-67,884
24/07/2020 15:05:21.612,1913827,AM1V310 @395930,244341,A8000C007403,168,12,884
24/07/2020 15:05:21.673,1913888,AM1V310 @395930,244347,F20053007A03,242,83,890
24/07/2020 15:05:21.701,1913916,AM1V310 @395930,244353,FD007C00CB03,253,124,971
24/07/2020 15:05:21.763,1913978,AM1V310 @395930,244360,C9003F00C503,201,63,965
24/07/2020 15:05:21.823,1914038,AM1V310 @395930,244366,AD001200E703,173,18,999
24/07/2020 15:05:21.851,1914066,AM1V310 @395930,244372,0C012E000B04,268,46,1035
24/07/2020 15:05:21.913,1914128,AM1V310 @395930,244378,09010800F203,265,8,1010
24/07/2020 15:05:21.973,1914188,AM1V310 @395930,244385,CD00ADFFC903,205,-83,969
24/07/2020 15:05:22.001,1914216,AM1V310 @395930,244391,CA0086FFBF03,202,-122,959
24/07/2020 15:05:22.063,1914278,AM1V310 @395930,244397,B2007FFFCF03,178,-129,975
24/07/2020 15:05:22.123,1914338,AM1V310 @395930,244403,B00084FFEC03,176,-124,1004
24/07/2020 15:05:22.151,1914366,AM1V310 @395930,244410,B0006FFFD903,176,-145,985
24/07/2020 15:05:22.212,1914427,AM1V310 @395930,244416,C1005AFFBD03,193,-166,957
24/07/2020 15:05:22.273,1914488,AM1V310 @395930,244422,C10066FFE203,193,-154,994
24/07/2020 15:05:22.301,1914516,AM1V310 @395930,244428,A10083FF1404,161,-125,1044
24/07/2020 15:05:22.362,1914577,AM1V310 @395930,244435,A5007AFFEB03,165,-134,1003
24/07/2020 15:05:22.423,1914638,AM1V310 @395930,244441,CE0089FFC903,206,-119,969
24/07/2020 15:05:22.451,1914666,AM1V310 @395930,244447,DC0085FFB703,220,-123,951
24/07/2020 15:05:22.513,1914728,AM1V310 @395930,244453,E1009AFFD003,225,-102,976
24/07/2020 15:05:22.572,1914788,AM1V310 @395930,244460,DE007EFFC503,222,-130,965
24/07/2020 15:05:22.601,1914816,AM1V310 @395930,244466,DB0091FFD603,219,-111,982
24/07/2020 15:05:22.662,1914878,AM1V310 @395930,244472,D10093FFE203,209,-109,994
24/07/2020 15:05:22.722,1914937,AM1V310 @395930,244478,C4009AFFEC03,196,-102,1004
24/07/2020 15:05:22.751,1914966,AM1V310 @395930,244485,C4009AFFF003,196,-102,1008
24/07/2020 15:05:22.831,1915045,AM1V310 @395930,244491,CD008CFFDC03,205,-116,988
24/07/2020 15:05:22.872,1915087,AM1V310 @395930,244497,BC0087FFD503,188,-121,981
24/07/2020 15:05:22.902,1915117,AM1V310 @395930,244503,CA0098FFDC03,202,-104,988
24/07/2020 15:05:22.962,1915177,AM1V310 @395930,244510,C9007DFFC703,201,-131,967
24/07/2020 15:05:23.023,1915238,AM1V310 @395930,244516,C9007DFFDF03,201,-131,991
24/07/2020 15:05:23.051,1915266,AM1V310 @395930,244522,CC0073FFD903,204,-141,985
24/07/2020 15:05:23.112,1915327,AM1V310 @395930,244528,D00061FFD303,208,-159,979
24/07/2020 15:05:23.172,1915387,AM1V310 @395930,244535,B90075FFD903,185,-139,985
24/07/2020 15:05:23.202,1915416,AM1V310 @395930,244541,AA0070FFDA03,170,-144,986
24/07/2020 15:05:23.262,1915477,AM1V310 @395930,244547,A30084FFF803,163,-124,1016
24/07/2020 15:05:23.322,1915537,AM1V310 @395930,244553,950076FF0204,149,-138,1026
24/07/2020 15:05:23.351,1915566,AM1V310 @395930,244560,C10070FFF303,193,-144,1011
24/07/2020 15:05:23.413,1915628,AM1V310 @395930,244566,D60071FFED03,214,-143,1005
24/07/2020 15:05:23.559,1915775,AM1V310 @395930,244578,B9006EFFE003,185,-146,992
24/07/2020 15:05:23.559,1915776,AM1V310 @395930,244572,CD0065FFDE03,205,-155,990
24/07/2020 15:05:23.585,1915799,AM1V310 @395930,244585,A0006DFFD703,160,-147,983
24/07/2020 15:05:23.687,1915903,AM1V310 @395930,244591,A40063FFC203,164,-157,962
24/07/2020 15:05:23.687,1915903,AM1V310 @395930,244597,C90076FFD503,201,-138,981
24/07/2020 15:05:23.715,1915930,AM1V310 @395930,244603,C40066FFC303,196,-154,963
24/07/2020 15:05:23.774,1915988,AM1V310 @395930,244610,BA005BFFCA03,186,-165,970
24/07/2020 15:05:23.801,1916016,AM1V310 @395930,244616,C40072FFF003,196,-142,1008
24/07/2020 15:05:23.862,1916078,AM1V310 @395930,244622,93005DFFE403,147,-163,996
24/07/2020 15:05:23.922,1916137,AM1V310 @395930,244628,820072FFEB03,130,-142,1003
24/07/2020 15:05:23.951,1916166,AM1V310 @395930,244635,83007AFFD903,131,-134,985
24/07/2020 15:05:24.012,1916227,AM1V310 @395930,244641,B0007EFFCA03,176,-130,970
