Logged started on,24/07/2020 15:06:32
Feature,Gyroscope
Nodes,AM1V310 @395930

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (dps),Y (dps),Z (dps)
24/07/2020 15:07:24.166,51955,AM1V310 @395930,63055,9BFFBFFF5C00,-10.1,-6.5,9.2
24/07/2020 15:07:24.257,52035,AM1V310 @395930,63061,D5FFB1FF93FF,-4.3,-7.9,-10.9
24/07/2020 15:07:24.279,52056,AM1V310 @395930,63067,CBFFB3FFB5FE,-5.3,-7.7,-33.1
24/07/2020 15:07:24.316,52093,AM1V310 @395930,63073,D9FF3FFFBDFE,-3.9,-19.3,-32.3
24/07/2020 15:07:24.375,52152,AM1V310 @395930,63080,20FFB8FF09FE,-22.4,-7.2,-50.3
24/07/2020 15:07:24.406,52183,AM1V310 @395930,63086,E0FFF2FE0AFE,-3.2,-27,-50.2
24/07/2020 15:07:24.466,52244,AM1V310 @395930,63092,F9FF7EFF06FE,-0.7,-13,-50.6
24/07/2020 15:07:24.526,52304,AM1V310 @395930,63098,F0FF080036FE,-1.6,0.8,-45.8
24/07/2020 15:07:24.558,52335,AM1V310 @395930,63105,C8FF5600C9FE,-5.6,8.6,-31.1
24/07/2020 15:07:24.616,52394,AM1V310 @395930,63111,D9FF66001CFF,-3.9,10.2,-22.8
24/07/2020 15:07:24.676,52454,AM1V310 @395930,63117,F9FF290048FF,-0.7,4.1,-18.4
24/07/2020 15:07:24.705,52482,AM1V310 @395930,63123,09000C007EFF,0.9,1.2,-13
24/07/2020 15:07:24.766,52544,AM1V310 @395930,63130,F4FF2E00ACFF,-1.2,4.6,-8.4
24/07/2020 15:07:24.827,52604,AM1V310 @395930,63136,FAFF0E00B0FF,-0.6,1.4,-8
24/07/2020 15:07:24.856,52633,AM1V310 @395930,63142,1E00C2FFE7FF,3,-6.2,-2.5
24/07/2020 15:07:24.916,52694,AM1V310 @395930,63148,F0FFE9FF0400,-1.6,-2.3,0.4
24/07/2020 15:07:24.976,52754,AM1V310 @395930,63155,CCFF39003F00,-5.2,5.7,6.3
24/07/2020 15:07:25.005,52782,AM1V310 @395930,63161,D9FF04005900,-3.9,0.4,8.9
24/07/2020 15:07:25.066,52844,AM1V310 @395930,63167,F8FF2C002C00,-0.8,4.4,4.4
24/07/2020 15:07:25.127,52904,AM1V310 @395930,63173,1400F7FF2800,2,-0.9,4
24/07/2020 15:07:25.156,52933,AM1V310 @395930,63180,0B00F8FFFDFF,1.1,-0.8,-0.3
24/07/2020 15:07:25.216,52994,AM1V310 @395930,63186,DBFFEDFFF8FF,-3.7,-1.9,-0.8
24/07/2020 15:07:25.277,53055,AM1V310 @395930,63192,BEFFF0FFF2FF,-6.6,-1.6,-1.4
24/07/2020 15:07:25.306,53083,AM1V310 @395930,63198,E6FFD4FF0A00,-2.6,-4.4,1
24/07/2020 15:07:25.366,53144,AM1V310 @395930,63205,D6FFFBFF0E00,-4.2,-0.5,1.4
24/07/2020 15:07:25.427,53204,AM1V310 @395930,63211,F2FF0B00FBFF,-1.4,1.1,-0.5
24/07/2020 15:07:25.456,53233,AM1V310 @395930,63217,1700E2FF2500,2.3,-3,3.7
24/07/2020 15:07:25.516,53294,AM1V310 @395930,63223,ECFF10001000,-2,1.6,1.6
24/07/2020 15:07:25.576,53354,AM1V310 @395930,63230,E7FF0B000400,-2.5,1.1,0.4
24/07/2020 15:07:25.605,53382,AM1V310 @395930,63236,F9FFEBFF1000,-0.7,-2.1,1.6
24/07/2020 15:07:25.666,53444,AM1V310 @395930,63242,EFFFEDFFF9FF,-1.7,-1.9,-0.7
24/07/2020 15:07:25.727,53504,AM1V310 @395930,63248,F9FFE4FF0800,-0.7,-2.8,0.8
24/07/2020 15:07:25.756,53533,AM1V310 @395930,63255,F2FFF8FFF8FF,-1.4,-0.8,-0.8
24/07/2020 15:07:25.816,53594,AM1V310 @395930,63261,E8FFE2FF2300,-2.4,-3,3.5
