Logged started on,24/07/2020 18:45:17
Feature,Accelerometer
Nodes,AM1V310 @305F47

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (mg),Y (mg),Z (mg)
24/07/2020 18:54:33.039,555958,AM1V310 @305F47,81271,87FF15FC4700,-121,-1003,71
24/07/2020 18:54:33.099,556013,AM1V310 @305F47,81278,8AFFFCFBA000,-118,-1028,160
24/07/2020 18:54:33.129,556042,AM1V310 @305F47,81284,BCFF05FC9F00,-68,-1019,159
24/07/2020 18:54:33.189,556103,AM1V310 @305F47,81290,BFFF19FCA700,-65,-999,167
24/07/2020 18:54:33.249,556162,AM1V310 @305F47,81296,F8FF27FC7B00,-8,-985,123
24/07/2020 18:54:33.279,556192,AM1V310 @305F47,81303,00002FFC8D00,0,-977,141
24/07/2020 18:54:33.339,556252,AM1V310 @305F47,81309,E3FF1DFC9D00,-29,-995,157
24/07/2020 18:54:33.399,556312,AM1V310 @305F47,81315,D2FF17FC7700,-46,-1001,119
24/07/2020 18:54:33.429,556342,AM1V310 @305F47,81321,0C0036FC7300,12,-970,115
24/07/2020 18:54:33.489,556403,AM1V310 @305F47,81328,DCFF29FC6F00,-36,-983,111
24/07/2020 18:54:33.549,556462,AM1V310 @305F47,81334,ADFF23FC6200,-83,-989,98
24/07/2020 18:54:33.579,556491,AM1V310 @305F47,81340,F8FF2FFC6500,-8,-977,101
24/07/2020 18:54:33.639,556552,AM1V310 @305F47,81346,C4FF24FC6C00,-60,-988,108
24/07/2020 18:54:33.699,556612,AM1V310 @305F47,81353,DBFF35FC6000,-37,-971,96
24/07/2020 18:54:33.729,556642,AM1V310 @305F47,81359,D3FF3AFC4B00,-45,-966,75
24/07/2020 18:54:33.789,556702,AM1V310 @305F47,81365,B2FF1FFC7900,-78,-993,121
24/07/2020 18:54:33.849,556762,AM1V310 @305F47,81371,EDFF1CFC7800,-19,-996,120
24/07/2020 18:54:33.879,556792,AM1V310 @305F47,81378,C2FF17FC4D00,-62,-1001,77
24/07/2020 18:54:33.939,556852,AM1V310 @305F47,81384,07002CFC4E00,7,-980,78
24/07/2020 18:54:33.999,556912,AM1V310 @305F47,81390,F3FF21FC6900,-13,-991,105
24/07/2020 18:54:34.029,556942,AM1V310 @305F47,81396,94FF13FC9A00,-108,-1005,154
24/07/2020 18:54:34.089,557002,AM1V310 @305F47,81403,9BFF1DFC6200,-101,-995,98
24/07/2020 18:54:34.149,557062,AM1V310 @305F47,81409,BCFF25FC8600,-68,-987,134
24/07/2020 18:54:34.179,557092,AM1V310 @305F47,81415,9FFF18FC7700,-97,-1000,119
24/07/2020 18:54:34.239,557152,AM1V310 @305F47,81421,E2FF16FC8E00,-30,-1002,142
24/07/2020 18:54:34.299,557213,AM1V310 @305F47,81428,F9FF28FC3500,-7,-984,53
24/07/2020 18:54:34.329,557242,AM1V310 @305F47,81434,F0FF18FC3B00,-16,-1000,59
24/07/2020 18:54:34.389,557302,AM1V310 @305F47,81440,E6FF23FC0C00,-26,-989,12
24/07/2020 18:54:34.449,557362,AM1V310 @305F47,81446,D5FF0FFC1500,-43,-1009,21
24/07/2020 18:54:34.479,557392,AM1V310 @305F47,81453,CAFF05FC4800,-54,-1019,72
24/07/2020 18:54:34.539,557452,AM1V310 @305F47,81459,F1FF29FC0000,-15,-983,0
