Logged started on,24/07/2020 18:45:17
Feature,Magnetometer
Nodes,AM1V310 @305F47

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (mGa),Y (mGa),Z (mGa)
24/07/2020 18:55:21.969,604890,AM1V310 @305F47,87390,FD0024FFBCFE,253,-220,-324
24/07/2020 18:55:22.029,604942,AM1V310 @305F47,87396,000122FFBFFE,256,-222,-321
24/07/2020 18:55:22.088,605002,AM1V310 @305F47,87403,FC0021FFC4FE,252,-223,-316
24/07/2020 18:55:22.119,605032,AM1V310 @305F47,87409,02011FFFC4FE,258,-225,-316
24/07/2020 18:55:22.178,605092,AM1V310 @305F47,87415,060128FFCDFE,262,-216,-307
24/07/2020 18:55:22.239,605152,AM1V310 @305F47,87421,060122FFD0FE,262,-222,-304
24/07/2020 18:55:22.269,605182,AM1V310 @305F47,87428,09012BFFE0FE,265,-213,-288
24/07/2020 18:55:22.328,605242,AM1V310 @305F47,87434,0E0139FFDDFE,270,-199,-291
24/07/2020 18:55:22.388,605302,AM1V310 @305F47,87440,090145FFF4FE,265,-187,-268
24/07/2020 18:55:22.419,605332,AM1V310 @305F47,87446,020151FFEFFE,258,-175,-273
24/07/2020 18:55:22.478,605392,AM1V310 @305F47,87453,000149FFEFFE,256,-183,-273
24/07/2020 18:55:22.539,605453,AM1V310 @305F47,87459,09014CFFE9FE,265,-180,-279
24/07/2020 18:55:22.569,605482,AM1V310 @305F47,87465,FD003DFFE8FE,253,-195,-280
24/07/2020 18:55:22.628,605542,AM1V310 @305F47,87471,F70036FFE9FE,247,-202,-279
24/07/2020 18:55:22.689,605602,AM1V310 @305F47,87478,FA002EFFE2FE,250,-210,-286
24/07/2020 18:55:22.719,605632,AM1V310 @305F47,87484,F40028FFDCFE,244,-216,-292
24/07/2020 18:55:22.778,605692,AM1V310 @305F47,87490,F90033FFDAFE,249,-205,-294
24/07/2020 18:55:22.868,605781,AM1V310 @305F47,87496,F70036FFDCFE,247,-202,-292
24/07/2020 18:55:22.881,605794,AM1V310 @305F47,87503,EA0039FFD6FE,234,-199,-298
24/07/2020 18:55:22.958,605872,AM1V310 @305F47,87509,F7003CFFD7FE,247,-196,-297
24/07/2020 18:55:22.988,605901,AM1V310 @305F47,87515,ED003CFFDDFE,237,-196,-291
24/07/2020 18:55:23.018,605931,AM1V310 @305F47,87521,EE0037FFDAFE,238,-201,-294
24/07/2020 18:55:23.079,605992,AM1V310 @305F47,87528,F10028FFD9FE,241,-216,-295
24/07/2020 18:55:23.139,606052,AM1V310 @305F47,87534,ED0028FFCDFE,237,-216,-307
24/07/2020 18:55:23.169,606082,AM1V310 @305F47,87540,EB0025FFD1FE,235,-219,-303
24/07/2020 18:55:23.229,606142,AM1V310 @305F47,87546,F10022FFCBFE,241,-222,-309
24/07/2020 18:55:23.288,606202,AM1V310 @305F47,87553,EA0024FFCBFE,234,-220,-309
24/07/2020 18:55:23.318,606231,AM1V310 @305F47,87559,E70021FFCEFE,231,-223,-306
24/07/2020 18:55:23.378,606292,AM1V310 @305F47,87565,EA0024FFCEFE,234,-220,-306
24/07/2020 18:55:23.439,606352,AM1V310 @305F47,87571,E80021FFC4FE,232,-223,-316
24/07/2020 18:55:23.475,606388,AM1V310 @305F47,87578,ED001EFFC8FE,237,-226,-312
24/07/2020 18:55:23.528,606441,AM1V310 @305F47,87584,F10021FFD0FE,241,-223,-304
24/07/2020 18:55:23.589,606502,AM1V310 @305F47,87590,F0001EFFCBFE,240,-226,-309
24/07/2020 18:55:23.618,606531,AM1V310 @305F47,87596,F00027FFC1FE,240,-217,-319
24/07/2020 18:55:23.678,606592,AM1V310 @305F47,87603,EA0027FFC8FE,234,-217,-312
24/07/2020 18:55:23.738,606652,AM1V310 @305F47,87609,EB001EFFCBFE,235,-226,-309
24/07/2020 18:55:23.768,606681,AM1V310 @305F47,87615,F0001BFFD3FE,240,-229,-301
24/07/2020 18:55:23.828,606742,AM1V310 @305F47,87621,F0001FFFC5FE,240,-225,-315
