Logged started on,24/07/2020 18:45:17
Feature,Magnetometer
Nodes,AM1V310 @305F47

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (mGa),Y (mGa),Z (mGa)
24/07/2020 18:55:52.718,635638,AM1V310 @305F47,91234,020106FFB6FE,258,-250,-330
24/07/2020 18:55:52.778,635691,AM1V310 @305F47,91240,0501FAFEB2FE,261,-262,-334
24/07/2020 18:55:52.838,635752,AM1V310 @305F47,91246,F300F7FEACFE,243,-265,-340
24/07/2020 18:55:52.868,635781,AM1V310 @305F47,91253,F00001FFA6FE,240,-255,-346
24/07/2020 18:55:52.928,635841,AM1V310 @305F47,91259,EB000FFFAFFE,235,-241,-337
24/07/2020 18:55:52.988,635902,AM1V310 @305F47,91265,E8001FFFBBFE,232,-225,-325
24/07/2020 18:55:53.018,635932,AM1V310 @305F47,91271,ED0024FFBCFE,237,-220,-324
24/07/2020 18:55:53.079,635992,AM1V310 @305F47,91278,F70022FFC4FE,247,-222,-316
24/07/2020 18:55:53.138,636052,AM1V310 @305F47,91284,F30027FFC7FE,243,-217,-313
24/07/2020 18:55:53.168,636082,AM1V310 @305F47,91290,FA0016FFC7FE,250,-234,-313
24/07/2020 18:55:53.258,636172,AM1V310 @305F47,91296,F40015FFCDFE,244,-235,-307
24/07/2020 18:55:53.288,636201,AM1V310 @305F47,91303,F90013FFCEFE,249,-237,-306
24/07/2020 18:55:53.319,636232,AM1V310 @305F47,91309,FC0010FFD4FE,252,-240,-300
24/07/2020 18:55:53.378,636291,AM1V310 @305F47,91315,F4001CFFDAFE,244,-228,-294
24/07/2020 18:55:53.443,636356,AM1V310 @305F47,91321,FA0019FFDAFE,250,-231,-294
24/07/2020 18:55:53.474,636387,AM1V310 @305F47,91328,F7002AFFDCFE,247,-214,-292
24/07/2020 18:55:53.558,636471,AM1V310 @305F47,91334,F6002EFFDCFE,246,-210,-292
24/07/2020 18:55:53.589,636502,AM1V310 @305F47,91340,F1002EFFD9FE,241,-210,-295
24/07/2020 18:55:53.618,636532,AM1V310 @305F47,91346,F4002BFFD7FE,244,-213,-297
24/07/2020 18:55:53.678,636591,AM1V310 @305F47,91353,F90025FFD4FE,249,-219,-300
24/07/2020 18:55:53.738,636651,AM1V310 @305F47,91359,F9001FFFDAFE,249,-225,-294
24/07/2020 18:55:53.768,636681,AM1V310 @305F47,91365,F30028FFDDFE,243,-216,-291
24/07/2020 18:55:53.828,636741,AM1V310 @305F47,91371,F6002BFFE3FE,246,-213,-285
24/07/2020 18:55:53.888,636801,AM1V310 @305F47,91378,F30025FFD7FE,243,-219,-297
24/07/2020 18:55:53.918,636832,AM1V310 @305F47,91384,F10025FFD4FE,241,-219,-300
24/07/2020 18:55:53.978,636891,AM1V310 @305F47,91390,F40028FFDCFE,244,-216,-292
24/07/2020 18:55:54.038,636951,AM1V310 @305F47,91396,FF0027FFE3FE,255,-217,-285
24/07/2020 18:55:54.069,636982,AM1V310 @305F47,91403,FD0022FFE8FE,253,-222,-280
24/07/2020 18:55:54.128,637041,AM1V310 @305F47,91409,05012AFFD7FE,261,-214,-297
24/07/2020 18:55:54.188,637102,AM1V310 @305F47,91415,FC002EFFE9FE,252,-210,-279
24/07/2020 18:55:54.218,637132,AM1V310 @305F47,91421,F90027FFDAFE,249,-217,-294
24/07/2020 18:55:54.278,637191,AM1V310 @305F47,91428,FA002BFFD7FE,250,-213,-297
24/07/2020 18:55:54.338,637252,AM1V310 @305F47,91434,F6002DFFDAFE,246,-211,-294
24/07/2020 18:55:54.368,637281,AM1V310 @305F47,91440,F9002BFFE2FE,249,-213,-286
24/07/2020 18:55:54.428,637341,AM1V310 @305F47,91446,F70027FFD6FE,247,-217,-298
