Logged started on,24/07/2020 18:45:17
Feature,Magnetometer
Nodes,AM1V310 @305F47

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (mGa),Y (mGa),Z (mGa)
24/07/2020 18:50:31.602,314525,AM1V310 @305F47,51090,1A0112FFD4FE,282,-238,-300
24/07/2020 18:50:31.661,314574,AM1V310 @305F47,51096,1B0119FFDDFE,283,-231,-291
24/07/2020 18:50:31.722,314635,AM1V310 @305F47,51103,14011FFFDAFE,276,-225,-294
24/07/2020 18:50:31.751,314664,AM1V310 @305F47,51109,120124FFCDFE,274,-220,-307
24/07/2020 18:50:31.811,314725,AM1V310 @305F47,51115,0E012BFFD3FE,270,-213,-301
24/07/2020 18:50:31.872,314785,AM1V310 @305F47,51121,03012DFFC5FE,259,-211,-315
24/07/2020 18:50:31.901,314814,AM1V310 @305F47,51128,06012EFFCEFE,262,-210,-306
24/07/2020 18:50:31.961,314875,AM1V310 @305F47,51134,09012EFFCDFE,265,-210,-307
24/07/2020 18:50:32.022,314935,AM1V310 @305F47,51140,060133FFD1FE,262,-205,-303
24/07/2020 18:50:32.051,314964,AM1V310 @305F47,51146,000134FFD4FE,256,-204,-300
24/07/2020 18:50:32.112,315025,AM1V310 @305F47,51153,00013FFFD4FE,256,-193,-300
24/07/2020 18:50:32.171,315084,AM1V310 @305F47,51159,030136FFD1FE,259,-202,-303
24/07/2020 18:50:32.202,315115,AM1V310 @305F47,51165,090140FFDCFE,265,-192,-292
24/07/2020 18:50:32.261,315174,AM1V310 @305F47,51171,050137FFDAFE,261,-201,-294
24/07/2020 18:50:32.321,315235,AM1V310 @305F47,51178,06013AFFE5FE,262,-198,-283
24/07/2020 18:50:32.351,315264,AM1V310 @305F47,51184,FF0037FFE5FE,255,-201,-283
24/07/2020 18:50:32.412,315325,AM1V310 @305F47,51190,0B0140FFEFFE,267,-192,-273
24/07/2020 18:50:32.471,315385,AM1V310 @305F47,51196,0E0145FFEEFE,270,-187,-274
