Logged started on,24/07/2020 20:28:02
Feature,Accelerometer
Nodes,AM1V310 @305F47

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (mg),Y (mg),Z (mg)
24/07/2020 20:29:15.315,72635,AM1V310 @305F47,17374,140116FCC200,276,-1002,194
24/07/2020 20:29:15.345,72659,AM1V310 @305F47,17380,1C0164FB3101,284,-1180,305
24/07/2020 20:29:15.405,72720,AM1V310 @305F47,17386,B7FF07FB0901,-73,-1273,265
24/07/2020 20:29:15.465,72780,AM1V310 @305F47,17393,8AFEACFA7801,-374,-1364,376
24/07/2020 20:29:15.495,72809,AM1V310 @305F47,17399,CCFDC8FA0801,-564,-1336,264
24/07/2020 20:29:15.554,72869,AM1V310 @305F47,17405,7CFDBDFAE100,-644,-1347,225
24/07/2020 20:29:15.615,72930,AM1V310 @305F47,17411,75FD88FBB100,-651,-1144,177
24/07/2020 20:29:15.645,72959,AM1V310 @305F47,17418,3AFD62FC8900,-710,-926,137
24/07/2020 20:29:15.705,73020,AM1V310 @305F47,17424,4FFD19FDF1FF,-689,-743,-15
24/07/2020 20:29:15.765,73080,AM1V310 @305F47,17430,F9FD74FD7700,-519,-652,119
24/07/2020 20:29:15.795,73109,AM1V310 @305F47,17436,85FE40FEBDFF,-379,-448,-67
24/07/2020 20:29:15.855,73170,AM1V310 @305F47,17443,58FF74FEE0FF,-168,-396,-32
24/07/2020 20:29:15.915,73230,AM1V310 @305F47,17449,1900ABFE83FF,25,-341,-125
24/07/2020 20:29:15.945,73260,AM1V310 @305F47,17455,30001CFEE6FF,48,-484,-26
24/07/2020 20:29:16.005,73320,AM1V310 @305F47,17461,4D008DFD8000,77,-627,128
24/07/2020 20:29:16.065,73380,AM1V310 @305F47,17468,500131FD3601,336,-719,310
24/07/2020 20:29:16.130,73444,AM1V310 @305F47,17474,4F022CFD6501,591,-724,357
24/07/2020 20:29:16.159,73473,AM1V310 @305F47,17480,7E028DFC2F02,638,-883,559
24/07/2020 20:29:16.215,73529,AM1V310 @305F47,17486,190300FCFC02,793,-1024,764
24/07/2020 20:29:16.245,73560,AM1V310 @305F47,17493,0E011EFB8D02,270,-1250,653
24/07/2020 20:29:16.305,73620,AM1V310 @305F47,17499,4D004BFB5002,77,-1205,592
24/07/2020 20:29:16.365,73680,AM1V310 @305F47,17505,55FFF8FA7102,-171,-1288,625
24/07/2020 20:29:16.395,73709,AM1V310 @305F47,17511,91FE0FFBB001,-367,-1265,432
24/07/2020 20:29:16.455,73770,AM1V310 @305F47,17518,22FE3BFB5E01,-478,-1221,350
24/07/2020 20:29:16.515,73830,AM1V310 @305F47,17524,67FDFBFA7501,-665,-1285,373
24/07/2020 20:29:16.545,73859,AM1V310 @305F47,17530,FDFD6FFBBA01,-515,-1169,442
24/07/2020 20:29:16.605,73919,AM1V310 @305F47,17536,29FE37FC1801,-471,-969,280
24/07/2020 20:29:16.665,73980,AM1V310 @305F47,17543,89FED0FCD100,-375,-816,209
24/07/2020 20:29:16.695,74009,AM1V310 @305F47,17549,41FF6EFDA200,-191,-658,162
24/07/2020 20:29:16.755,74069,AM1V310 @305F47,17555,9D00A1FDA900,157,-607,169
24/07/2020 20:29:16.815,74130,AM1V310 @305F47,17561,120108FDDD00,274,-760,221
24/07/2020 20:29:16.845,74160,AM1V310 @305F47,17568,C5005FFCCF00,197,-929,207
24/07/2020 20:29:16.905,74220,AM1V310 @305F47,17574,CB0009FC0301,203,-1015,259
24/07/2020 20:29:16.965,74280,AM1V310 @305F47,17580,5200F5FBFA00,82,-1035,250
24/07/2020 20:29:16.995,74309,AM1V310 @305F47,17586,58000EFCD200,88,-1010,210
24/07/2020 20:29:17.055,74370,AM1V310 @305F47,17593,1F0019FCED00,31,-999,237
24/07/2020 20:29:17.115,74430,AM1V310 @305F47,17599,DAFF28FCDB00,-38,-984,219
24/07/2020 20:29:17.145,74459,AM1V310 @305F47,17605,DCFF37FCC400,-36,-969,196
24/07/2020 20:29:17.205,74519,AM1V310 @305F47,17611,FDFF3EFCCA00,-3,-962,202
24/07/2020 20:29:17.265,74579,AM1V310 @305F47,17618,E3FF1CFCCB00,-29,-996,203
24/07/2020 20:29:17.295,74609,AM1V310 @305F47,17624,F5FF18FCD500,-11,-1000,213
24/07/2020 20:29:17.355,74670,AM1V310 @305F47,17630,E8FF11FCDE00,-24,-1007,222
24/07/2020 20:29:17.415,74730,AM1V310 @305F47,17636,0D0029FCED00,13,-983,237
24/07/2020 20:29:17.445,74759,AM1V310 @305F47,17643,FAFF31FCE300,-6,-975,227
24/07/2020 20:29:17.505,74820,AM1V310 @305F47,17649,0A0040FCCC00,10,-960,204
24/07/2020 20:29:17.565,74880,AM1V310 @305F47,17655,ECFF2DFCEC00,-20,-979,236
24/07/2020 20:29:17.595,74909,AM1V310 @305F47,17661,E3FF1EFC0401,-29,-994,260
