Logged started on,24/07/2020 20:28:02
Feature,Magnetometer
Nodes,AM1V310 @305F47

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (mGa),Y (mGa),Z (mGa)
24/07/2020 20:32:37.093,274411,AM1V310 @305F47,42599,11012EFFD0FE,273,-210,-304
24/07/2020 20:32:37.123,274438,AM1V310 @305F47,42605,030134FFD6FE,259,-204,-298
24/07/2020 20:32:37.183,274498,AM1V310 @305F47,42611,030137FFD9FE,259,-201,-295
24/07/2020 20:32:37.243,274558,AM1V310 @305F47,42618,0C0131FFC8FE,268,-207,-312
24/07/2020 20:32:37.273,274588,AM1V310 @305F47,42624,080131FFCDFE,264,-207,-307
24/07/2020 20:32:37.333,274648,AM1V310 @305F47,42630,FC0039FFC5FE,252,-199,-315
24/07/2020 20:32:37.393,274708,AM1V310 @305F47,42636,F4003CFFB9FE,244,-196,-327
24/07/2020 20:32:37.423,274738,AM1V310 @305F47,42643,E80049FFB6FE,232,-183,-330
24/07/2020 20:32:37.483,274798,AM1V310 @305F47,42649,EB0049FFB2FE,235,-183,-334
24/07/2020 20:32:37.543,274858,AM1V310 @305F47,42655,E70054FFA9FE,231,-172,-343
24/07/2020 20:32:37.573,274888,AM1V310 @305F47,42661,F00051FFACFE,240,-175,-340
24/07/2020 20:32:37.633,274948,AM1V310 @305F47,42668,EE004EFFAAFE,238,-178,-342
24/07/2020 20:32:37.693,275008,AM1V310 @305F47,42674,EE0040FFA3FE,238,-192,-349
24/07/2020 20:32:37.723,275038,AM1V310 @305F47,42680,FA0043FFB0FE,250,-189,-336
24/07/2020 20:32:37.783,275098,AM1V310 @305F47,42686,05014FFFB9FE,261,-177,-327
24/07/2020 20:32:37.843,275158,AM1V310 @305F47,42693,0F0152FFD4FE,271,-174,-300
24/07/2020 20:32:37.873,275188,AM1V310 @305F47,42699,150160FFE8FE,277,-160,-280
24/07/2020 20:32:37.933,275248,AM1V310 @305F47,42705,1D0166FFFEFE,285,-154,-258
24/07/2020 20:32:37.993,275308,AM1V310 @305F47,42711,2A0169FF13FF,298,-151,-237
24/07/2020 20:32:38.023,275338,AM1V310 @305F47,42718,2F0173FF25FF,303,-141,-219
24/07/2020 20:32:38.083,275398,AM1V310 @305F47,42724,2F017CFF40FF,303,-132,-192
24/07/2020 20:32:38.143,275458,AM1V310 @305F47,42730,2A017BFF4FFF,298,-133,-177
24/07/2020 20:32:38.173,275488,AM1V310 @305F47,42736,260185FF63FF,294,-123,-157
24/07/2020 20:32:38.233,275548,AM1V310 @305F47,42743,2D0181FF6AFF,301,-127,-150
24/07/2020 20:32:38.293,275608,AM1V310 @305F47,42749,3B017BFF75FF,315,-133,-139
24/07/2020 20:32:38.323,275638,AM1V310 @305F47,42755,3C0176FF78FF,316,-138,-136
24/07/2020 20:32:38.383,275698,AM1V310 @305F47,42761,390167FF75FF,313,-153,-139
24/07/2020 20:32:38.443,275758,AM1V310 @305F47,42768,45015EFF7CFF,325,-162,-132
24/07/2020 20:32:38.473,275787,AM1V310 @305F47,42774,48014EFF6CFF,328,-178,-148
24/07/2020 20:32:38.533,275848,AM1V310 @305F47,42780,45014EFF5EFF,325,-178,-162
24/07/2020 20:32:38.593,275908,AM1V310 @305F47,42786,3C0152FF48FF,316,-174,-184
24/07/2020 20:32:38.623,275938,AM1V310 @305F47,42793,2D0151FF2EFF,301,-175,-210
24/07/2020 20:32:38.683,275998,AM1V310 @305F47,42799,21015BFF19FF,289,-165,-231
24/07/2020 20:32:38.743,276058,AM1V310 @305F47,42805,12016AFF04FF,274,-150,-252
24/07/2020 20:32:38.773,276088,AM1V310 @305F47,42811,F30069FFEEFE,243,-151,-274
24/07/2020 20:32:38.834,276148,AM1V310 @305F47,42818,E20078FFDDFE,226,-136,-291
24/07/2020 20:32:38.893,276208,AM1V310 @305F47,42824,DB007EFFD0FE,219,-130,-304
24/07/2020 20:32:38.923,276238,AM1V310 @305F47,42830,DC0079FFD0FE,220,-135,-304
24/07/2020 20:32:38.983,276298,AM1V310 @305F47,42836,DC0076FFC8FE,220,-138,-312
24/07/2020 20:32:39.043,276358,AM1V310 @305F47,42843,D50072FFBEFE,213,-142,-322
24/07/2020 20:32:39.073,276388,AM1V310 @305F47,42849,DE006CFFBFFE,222,-148,-321
24/07/2020 20:32:39.134,276449,AM1V310 @305F47,42855,D60069FFB2FE,214,-151,-334
24/07/2020 20:32:39.193,276508,AM1V310 @305F47,42861,DF0060FFB0FE,223,-160,-336
24/07/2020 20:32:39.223,276538,AM1V310 @305F47,42868,E20058FFA6FE,226,-168,-346
24/07/2020 20:32:39.283,276598,AM1V310 @305F47,42874,EB005AFFACFE,235,-166,-340
24/07/2020 20:32:39.343,276658,AM1V310 @305F47,42880,E70055FFA9FE,231,-171,-343
24/07/2020 20:32:39.373,276687,AM1V310 @305F47,42886,EB004CFFB2FE,235,-180,-334
24/07/2020 20:32:39.443,276758,AM1V310 @305F47,42893,FD003FFFB9FE,253,-193,-327
24/07/2020 20:32:39.493,276808,AM1V310 @305F47,42899,06014BFFBCFE,262,-181,-324
24/07/2020 20:32:39.523,276838,AM1V310 @305F47,42905,0B0149FFD6FE,267,-183,-298
24/07/2020 20:32:39.583,276898,AM1V310 @305F47,42911,1D014BFFEFFE,285,-181,-273
24/07/2020 20:32:39.643,276958,AM1V310 @305F47,42918,1D0148FFFDFE,285,-184,-259
24/07/2020 20:32:39.673,276987,AM1V310 @305F47,42924,23014CFF12FF,291,-180,-238
24/07/2020 20:32:39.733,277048,AM1V310 @305F47,42930,26014CFF19FF,294,-180,-231
24/07/2020 20:32:39.793,277108,AM1V310 @305F47,42936,230154FF18FF,291,-172,-232
24/07/2020 20:32:39.823,277138,AM1V310 @305F47,42943,26014FFF12FF,294,-177,-238
24/07/2020 20:32:39.883,277198,AM1V310 @305F47,42949,23014FFF15FF,291,-177,-235
24/07/2020 20:32:39.943,277258,AM1V310 @305F47,42955,27014FFF16FF,295,-177,-234
24/07/2020 20:32:39.973,277288,AM1V310 @305F47,42961,1D0152FF0CFF,285,-174,-244
24/07/2020 20:32:40.033,277348,AM1V310 @305F47,42968,260152FF0DFF,294,-174,-243
24/07/2020 20:32:40.093,277408,AM1V310 @305F47,42974,240152FF0AFF,292,-174,-246
24/07/2020 20:32:40.123,277438,AM1V310 @305F47,42980,27014CFF0AFF,295,-180,-246
24/07/2020 20:32:40.183,277497,AM1V310 @305F47,42986,20014EFF04FF,288,-178,-252
24/07/2020 20:32:40.243,277558,AM1V310 @305F47,42993,1D0146FF04FF,285,-186,-252
24/07/2020 20:32:40.273,277588,AM1V310 @305F47,42999,23014CFF01FF,291,-180,-255
24/07/2020 20:32:40.363,277678,AM1V310 @305F47,43005,1E014CFF04FF,286,-180,-252
24/07/2020 20:32:40.394,277709,AM1V310 @305F47,43011,1B0145FF00FF,283,-187,-256
24/07/2020 20:32:40.423,277738,AM1V310 @305F47,43018,14014FFF00FF,276,-177,-256
24/07/2020 20:32:40.483,277798,AM1V310 @305F47,43024,1A014BFFF7FE,282,-181,-265
24/07/2020 20:32:40.543,277858,AM1V310 @305F47,43030,18014BFF01FF,280,-181,-255
0:32:20.083,257398,AM1V310 @305F47,40474,EA0075FFCDFE,234,-139,-307
24/07/2020 20:32:20.143,257458,AM1V310 @305F47,40480,E40072FFC7FE,228,-142,-313
24/07/2020 20:32:20.173,257488,AM1V310 @305F47,40486,E50070FFBFFE,229,-144,-321
24/07/2020 20:32:20.233,257548,AM1V310 @305F47,40493,E7006CFFB5FE,231,-148,-331
24/07/2020 20:32:20.294,257609,AM1V310 @305F47,40499,E40069FFC1FE,228,-151,-319
24/07/2020 20:32:20.323,257638,AM1V310 @305F47,40505,E4006CFFB5FE,228,-148,-331
24/07/2020 20:32:20.383,257698,AM1V310 @305F47,40511,E70066FFB8FE,231,-154,-328
24/07/2020 20:32:20.444,257758,AM1V310 @305F47,40518,E2006CFFB5FE,226,-148,-331
24/07/2020 20:32:20.473,257788,AM1V310 @305F47,40524,DE006AFFB8FE,222,-150,-328
24/07/2020 20:32:20.533,257848,AM1V310 @305F47,40530,DB006CFFB8FE,219,-148,-328
24/07/2020 20:32:20.593,257908,AM1V310 @305F47,40536,E20064FFB3FE,226,-156,-333
24/07/2020 20:32:20.623,257938,AM1V310 @305F47,40543,DC006FFFB2FE,220,-145,-334
24/07/2020 20:32:20.687,258002,AM1V310 @305F47,40549,E2006AFFB5FE,226,-150,-331
24/07/2020 20:32:20.743,258058,AM1V310 @305F47,40555,E10060FFB2FE,225,-160,-334
24/07/2020 20:32:20.773,258088,AM1V310 @305F47,40561,EB0066FFBBFE,235,-154,-325
24/07/2020 20:32:20.833,258148,AM1V310 @305F47,40568,E50067FFB5FE,229,-153,-331
24/07/2020 20:32:20.893,258208,AM1V310 @305F47,40574,E50060FFB5FE,229,-160,-331
24/07/2020 20:32:20.923,258237,AM1V310 @305F47,40580,DF005DFFB0FE,223,-163,-336
24/07/2020 20:32:20.983,258298,AM1V310 @305F47,40586,E70067FFB0FE,231,-153,-336
24/07/2020 20:32:21.043,258358,AM1V310 @305F47,40593,DF0063FFB3FE,223,-157,-333
24/07/2020 20:32:21.073,258388,AM1V310 @305F47,40599,DE0060FFADFE,222,-160,-339
24/07/2020 20:32:21.133,258448,AM1V310 @305F47,40605,D30064FFA9FE,211,-156,-343
24/07/2020 20:32:21.193,258508,AM1V310 @305F47,40611,DF0060FFA6FE,223,-160,-346
24/07/2020 20:32:21.223,258538,AM1V310 @305F47,40618,D5005BFFA3FE,213,-165,-349
24/07/2020 20:32:21.283,258598,AM1V310 @305F47,40624,D60055FFA0FE,214,-171,-352
