Logged started on,24/07/2020 15:06:32
Feature,Accelerometer
Nodes,AM1V310 @395930

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (mg),Y (mg),Z (mg)
24/07/2020 15:15:10.763,518548,AM1V310 @395930,121386,2F0024002204,47,36,1058
24/07/2020 15:15:10.823,518601,AM1V310 @395930,121392,F5FFE4FF8C02,-11,-28,652
24/07/2020 15:15:10.856,518633,AM1V310 @395930,121398,6DFFFEFED301,-147,-258,467
24/07/2020 15:15:10.913,518690,AM1V310 @395930,121405,260000FF3102,38,-256,561
24/07/2020 15:15:10.974,518751,AM1V310 @395930,121411,C8FFE2FE8602,-56,-286,646
24/07/2020 15:15:11.006,518783,AM1V310 @395930,121417,0E000DFF4F03,14,-243,847
24/07/2020 15:15:11.063,518840,AM1V310 @395930,121423,300036FF2203,48,-202,802
24/07/2020 15:15:11.123,518901,AM1V310 @395930,121430,690054FFCB03,105,-172,971
24/07/2020 15:15:11.152,518929,AM1V310 @395930,121436,89005AFFB503,137,-166,949
24/07/2020 15:15:11.274,519051,AM1V310 @395930,121442,75004AFF1E04,117,-182,1054
24/07/2020 15:15:11.296,519073,AM1V310 @395930,121448,580029FFC303,88,-215,963
24/07/2020 15:15:11.306,519084,AM1V310 @395930,121455,F4FF05FFD203,-12,-251,978
24/07/2020 15:15:11.363,519140,AM1V310 @395930,121461,E8FFFDFEBB03,-24,-259,955
24/07/2020 15:15:11.454,519232,AM1V310 @395930,121473,03000BFFD803,3,-245,984
24/07/2020 15:15:11.454,519232,AM1V310 @395930,121467,19000DFFF803,25,-243,1016
24/07/2020 15:15:11.513,519292,AM1V310 @395930,121480,3B002CFFED03,59,-212,1005
24/07/2020 15:15:11.573,519350,AM1V310 @395930,121486,27002AFFA803,39,-214,936
24/07/2020 15:15:11.633,519413,AM1V310 @395930,121492,170037FFA203,23,-201,930
24/07/2020 15:15:11.662,519440,AM1V310 @395930,121498,FCFF41FFC903,-4,-191,969
24/07/2020 15:15:11.723,519501,AM1V310 @395930,121505,E7FF48FFF203,-25,-184,1010
24/07/2020 15:15:11.752,519529,AM1V310 @395930,121511,0A0049FF0104,10,-183,1025
24/07/2020 15:15:11.813,519591,AM1V310 @395930,121517,110052FF4804,17,-174,1096
24/07/2020 15:15:11.874,519652,AM1V310 @395930,121523,FBFF43FF0E04,-5,-189,1038
24/07/2020 15:15:11.903,519680,AM1V310 @395930,121530,EAFF39FF2A04,-22,-199,1066
24/07/2020 15:15:11.964,519741,AM1V310 @395930,121536,C5FF29FFF903,-59,-215,1017
24/07/2020 15:15:12.055,519833,AM1V310 @395930,121542,DAFF2EFFF203,-38,-210,1010
24/07/2020 15:15:12.055,519833,AM1V310 @395930,121548,D6FF36FF0204,-42,-202,1026
24/07/2020 15:15:12.113,519891,AM1V310 @395930,121555,BAFF39FFD103,-70,-199,977
24/07/2020 15:15:12.174,519951,AM1V310 @395930,121561,DAFF45FFE903,-38,-187,1001
24/07/2020 15:15:12.203,519980,AM1V310 @395930,121567,F3FF54FFFA03,-13,-172,1018
24/07/2020 15:15:12.265,520042,AM1V310 @395930,121573,FCFF5CFFF503,-4,-164,1013
24/07/2020 15:15:12.323,520100,AM1V310 @395930,121580,0A005FFFF903,10,-161,1017
24/07/2020 15:15:12.352,520130,AM1V310 @395930,121586,F7FF58FFD603,-9,-168,982
24/07/2020 15:15:12.443,520221,AM1V310 @395930,121592,FCFF59FFCE03,-4,-167,974
24/07/2020 15:15:12.473,520251,AM1V310 @395930,121598,F4FF62FFCC03,-12,-158,972
24/07/2020 15:15:12.503,520280,AM1V310 @395930,121605,E5FF70FFDB03,-27,-144,987
24/07/2020 15:15:12.564,520341,AM1V310 @395930,121611,ECFF85FFB303,-20,-123,947
24/07/2020 15:15:12.622,520400,AM1V310 @395930,121617,E9FF92FFAD03,-23,-110,941
24/07/2020 15:15:12.652,520429,AM1V310 @395930,121623,DBFF9DFFAE03,-37,-99,942
24/07/2020 15:15:12.713,520491,AM1V310 @395930,121630,C1FFA4FFA903,-63,-92,937
24/07/2020 15:15:12.773,520550,AM1V310 @395930,121636,F2FFB9FFFE03,-14,-71,1022
24/07/2020 15:15:12.803,520580,AM1V310 @395930,121642,DAFF9CFF7103,-38,-100,881
24/07/2020 15:15:12.864,520642,AM1V310 @395930,121648,F1FF96FFD303,-15,-106,979
24/07/2020 15:15:12.923,520700,AM1V310 @395930,121655,C0FF7CFF1203,-64,-132,786
