Logged started on,24/07/2020 18:45:17
Feature,Magnetometer
Nodes,AM1V310 @305F47

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (mGa),Y (mGa),Z (mGa)
24/07/2020 19:14:56.450,1779376,AM1V310 @305F47,234215,11013DFFFBFE,273,-195,-261
24/07/2020 19:14:56.510,1779424,AM1V310 @305F47,234221,06013DFFF7FE,262,-195,-265
24/07/2020 19:14:56.540,1779453,AM1V310 @305F47,234228,FC003FFFEFFE,252,-193,-273
24/07/2020 19:14:56.630,1779544,AM1V310 @305F47,234234,02013CFFECFE,258,-196,-276
24/07/2020 19:14:56.662,1779575,AM1V310 @305F47,234240,FD0037FFE5FE,253,-201,-283
24/07/2020 19:14:56.690,1779603,AM1V310 @305F47,234246,FA003AFFE0FE,250,-198,-288
24/07/2020 19:14:56.750,1779663,AM1V310 @305F47,234253,FD0046FFE3FE,253,-186,-285
24/07/2020 19:14:56.810,1779723,AM1V310 @305F47,234259,020140FFE8FE,258,-192,-280
24/07/2020 19:14:56.840,1779753,AM1V310 @305F47,234265,050142FFECFE,261,-190,-276
24/07/2020 19:14:56.900,1779813,AM1V310 @305F47,234271,0B013DFFFAFE,267,-195,-262
24/07/2020 19:14:56.960,1779873,AM1V310 @305F47,234278,0E013DFFFDFE,270,-195,-259
24/07/2020 19:14:56.990,1779903,AM1V310 @305F47,234284,0E013DFF00FF,270,-195,-256
24/07/2020 19:14:57.050,1779963,AM1V310 @305F47,234290,110139FF06FF,273,-199,-250
24/07/2020 19:14:57.110,1780023,AM1V310 @305F47,234296,180134FF03FF,280,-204,-253
24/07/2020 19:14:57.140,1780053,AM1V310 @305F47,234303,1E0125FF0AFF,286,-219,-246
24/07/2020 19:14:57.200,1780113,AM1V310 @305F47,234309,1B0133FF0FFF,283,-205,-241
24/07/2020 19:14:57.260,1780173,AM1V310 @305F47,234315,29012AFF0DFF,297,-214,-243
24/07/2020 19:14:57.290,1780203,AM1V310 @305F47,234321,1E0124FF0DFF,286,-220,-243
24/07/2020 19:14:57.350,1780263,AM1V310 @305F47,234328,200128FF0FFF,288,-216,-241
24/07/2020 19:14:57.410,1780323,AM1V310 @305F47,234334,1D0124FF04FF,285,-220,-252
24/07/2020 19:14:57.440,1780353,AM1V310 @305F47,234340,210121FF07FF,289,-223,-249
24/07/2020 19:14:57.500,1780413,AM1V310 @305F47,234346,290121FF0DFF,297,-223,-243
24/07/2020 19:14:57.560,1780473,AM1V310 @305F47,234353,21012BFF0FFF,289,-213,-241
24/07/2020 19:14:57.590,1780503,AM1V310 @305F47,234359,2F0121FF10FF,303,-223,-240
24/07/2020 19:14:57.650,1780563,AM1V310 @305F47,234365,290127FF16FF,297,-217,-234
24/07/2020 19:14:57.710,1780623,AM1V310 @305F47,234371,300128FF1FFF,304,-216,-225
24/07/2020 19:14:57.740,1780653,AM1V310 @305F47,234378,36012BFF2AFF,310,-213,-214
24/07/2020 19:14:57.800,1780713,AM1V310 @305F47,234384,36011FFF31FF,310,-225,-207
24/07/2020 19:14:57.860,1780773,AM1V310 @305F47,234390,38012BFF2DFF,312,-213,-211
24/07/2020 19:14:57.890,1780803,AM1V310 @305F47,234396,390127FF28FF,313,-217,-216
24/07/2020 19:14:57.950,1780863,AM1V310 @305F47,234403,390127FF36FF,313,-217,-202
24/07/2020 19:14:58.010,1780924,AM1V310 @305F47,234409,3E0133FF2AFF,318,-205,-214
24/07/2020 19:14:58.040,1780953,AM1V310 @305F47,234415,3F0131FF2EFF,319,-207,-210
24/07/2020 19:14:58.100,1781013,AM1V310 @305F47,234421,3B0130FF2AFF,315,-208,-214
24/07/2020 19:14:58.160,1781074,AM1V310 @305F47,234428,390133FF2EFF,313,-205,-210
24/07/2020 19:14:58.190,1781103,AM1V310 @305F47,234434,3B012EFF2BFF,315,-210,-213
24/07/2020 19:14:58.250,1781163,AM1V310 @305F47,234440,440133FF37FF,324,-205,-201
24/07/2020 19:14:58.310,1781223,AM1V310 @305F47,234446,3F0137FF3AFF,319,-201,-198
24/07/2020 19:14:58.340,1781253,AM1V310 @305F47,234453,4A0131FF46FF,330,-207,-186
24/07/2020 19:14:58.400,1781313,AM1V310 @305F47,234459,570130FF4EFF,343,-208,-178
