Logged started on,24/07/2020 18:45:17
Feature,Gyroscope
Nodes,AM1V310 @305F47

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (dps),Y (dps),Z (dps)
24/07/2020 19:15:55.639,1838560,AM1V310 @305F47,241615,AD0265001C00,68.5,10.1,2.8
24/07/2020 19:15:55.699,1838613,AM1V310 @305F47,241621,EB00F9FFF5FF,23.5,-0.7,-1.1
24/07/2020 19:15:55.729,1838643,AM1V310 @305F47,241628,8DFD9F008C01,-62.7,15.9,39.6
24/07/2020 19:15:55.790,1838703,AM1V310 @305F47,241634,73FD77014201,-65.3,37.5,32.2
24/07/2020 19:15:55.850,1838763,AM1V310 @305F47,241640,DAFD47008E00,-55,7.1,14.2
24/07/2020 19:15:55.880,1838793,AM1V310 @305F47,241646,A2FEFD00AA00,-35,25.3,17
24/07/2020 19:15:55.940,1838853,AM1V310 @305F47,241653,C5FDCB006700,-57.1,20.3,10.3
24/07/2020 19:15:56.000,1838913,AM1V310 @305F47,241659,3BFD01004A00,-70.9,0.1,7.4
24/07/2020 19:15:56.030,1838943,AM1V310 @305F47,241665,48FD2E00A8FF,-69.6,4.6,-8.8
24/07/2020 19:15:56.089,1839003,AM1V310 @305F47,241671,C8FD0900E2FF,-56.8,0.9,-3
24/07/2020 19:15:56.149,1839063,AM1V310 @305F47,241678,C9FDFFFFF5FF,-56.7,-0.1,-1.1
24/07/2020 19:15:56.179,1839093,AM1V310 @305F47,241684,76FEF9FFC7FF,-39.4,-0.7,-5.7
24/07/2020 19:15:56.240,1839153,AM1V310 @305F47,241690,D0FEFCFFD5FF,-30.4,-0.4,-4.3
24/07/2020 19:15:56.299,1839213,AM1V310 @305F47,241696,12FFFCFFD1FF,-23.8,-0.4,-4.7
24/07/2020 19:15:56.329,1839242,AM1V310 @305F47,241703,20FF2E00F7FF,-22.4,4.6,-0.9
24/07/2020 19:15:56.389,1839302,AM1V310 @305F47,241709,F6FE0900DDFF,-26.6,0.9,-3.5
24/07/2020 19:15:56.449,1839363,AM1V310 @305F47,241715,62FFF2FFD2FF,-15.8,-1.4,-4.6
24/07/2020 19:15:56.479,1839393,AM1V310 @305F47,241721,79FF3F003500,-13.5,6.3,5.3
24/07/2020 19:15:56.540,1839453,AM1V310 @305F47,241728,D2FF2700F9FF,-4.6,3.9,-0.7
24/07/2020 19:15:56.600,1839513,AM1V310 @305F47,241734,88FFE0FF4000,-12,-3.2,6.4
24/07/2020 19:15:56.629,1839542,AM1V310 @305F47,241740,BDFFF0FF2300,-6.7,-1.6,3.5
24/07/2020 19:15:56.689,1839602,AM1V310 @305F47,241746,D2FFCBFF1A00,-4.6,-5.3,2.6
24/07/2020 19:15:56.749,1839663,AM1V310 @305F47,241753,BEFFEDFF5D00,-6.6,-1.9,9.3
24/07/2020 19:15:56.780,1839693,AM1V310 @305F47,241759,2300D9FF1E00,3.5,-3.9,3
24/07/2020 19:15:56.839,1839752,AM1V310 @305F47,241765,1500EEFF0600,2.1,-1.8,0.6
24/07/2020 19:15:56.899,1839813,AM1V310 @305F47,241771,2600F2FFF2FF,3.8,-1.4,-1.4
24/07/2020 19:15:56.929,1839843,AM1V310 @305F47,241778,00001A001700,0,2.6,2.3
24/07/2020 19:15:56.989,1839903,AM1V310 @305F47,241784,1C000E001000,2.8,1.4,1.6
24/07/2020 19:15:57.049,1839963,AM1V310 @305F47,241790,F8FFFCFFF9FF,-0.8,-0.4,-0.7
24/07/2020 19:15:57.079,1839992,AM1V310 @305F47,241796,C8FF15004100,-5.6,2.1,6.5
24/07/2020 19:15:57.139,1840052,AM1V310 @305F47,241803,EBFF58004F00,-2.1,8.8,7.9
24/07/2020 19:15:57.199,1840113,AM1V310 @305F47,241809,E4FF17001D00,-2.8,2.3,2.9
24/07/2020 19:15:57.229,1840142,AM1V310 @305F47,241815,18001700F1FF,2.4,2.3,-1.5
24/07/2020 19:15:57.289,1840202,AM1V310 @305F47,241821,E9FF2C000C00,-2.3,4.4,1.2
24/07/2020 19:15:57.349,1840263,AM1V310 @305F47,241828,F4FFFEFF0B00,-1.2,-0.2,1.1
24/07/2020 19:15:57.379,1840292,AM1V310 @305F47,241834,000023001300,0,3.5,1.9
24/07/2020 19:15:57.470,1840383,AM1V310 @305F47,241840,FFFF26000700,-0.1,3.8,0.7
24/07/2020 19:15:57.500,1840413,AM1V310 @305F47,241846,0B0012000000,1.1,1.8,0
24/07/2020 19:15:57.529,1840442,AM1V310 @305F47,241853,1E00E8FFF9FF,3,-2.4,-0.7
