Logged started on,24/07/2020 18:45:17
Feature,Accelerometer
Nodes,AM1V310 @305F47

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (mg),Y (mg),Z (mg)
24/07/2020 19:08:39.959,1402877,AM1V310 @305F47,187146,030000FC6E00,3,-1024,110
24/07/2020 19:08:39.988,1402901,AM1V310 @305F47,187153,F5FFEAFB7800,-11,-1046,120
24/07/2020 19:08:40.049,1402962,AM1V310 @305F47,187159,0C00DFFB8D00,12,-1057,141
24/07/2020 19:08:40.108,1403021,AM1V310 @305F47,187165,0800E0FB7600,8,-1056,118
24/07/2020 19:08:40.138,1403051,AM1V310 @305F47,187171,F3FFE6FB6200,-13,-1050,98
24/07/2020 19:08:40.198,1403111,AM1V310 @305F47,187178,0500DBFB8F00,5,-1061,143
24/07/2020 19:08:40.259,1403172,AM1V310 @305F47,187184,0000D6FB9400,0,-1066,148
24/07/2020 19:08:40.288,1403201,AM1V310 @305F47,187190,ECFF16FCB000,-20,-1002,176
24/07/2020 19:08:40.348,1403261,AM1V310 @305F47,187196,110024FCA800,17,-988,168
24/07/2020 19:08:40.408,1403322,AM1V310 @305F47,187203,02002DFC7300,2,-979,115
24/07/2020 19:08:40.438,1403351,AM1V310 @305F47,187209,FCFF21FC7500,-4,-991,117
24/07/2020 19:08:40.498,1403411,AM1V310 @305F47,187215,10003EFCB300,16,-962,179
24/07/2020 19:08:40.558,1403471,AM1V310 @305F47,187221,FBFF36FC5000,-5,-970,80
24/07/2020 19:08:40.588,1403501,AM1V310 @305F47,187228,070034FC4100,7,-972,65
24/07/2020 19:08:40.648,1403561,AM1V310 @305F47,187234,160025FC7B00,22,-987,123
24/07/2020 19:08:40.708,1403621,AM1V310 @305F47,187240,F2FF17FC6800,-14,-1001,104
24/07/2020 19:08:40.738,1403651,AM1V310 @305F47,187246,17002BFC6C00,23,-981,108
24/07/2020 19:08:40.798,1403712,AM1V310 @305F47,187253,CDFF18FC6000,-51,-1000,96
24/07/2020 19:08:40.858,1403771,AM1V310 @305F47,187259,080013FCA200,8,-1005,162
24/07/2020 19:08:40.888,1403801,AM1V310 @305F47,187265,EEFF1AFC8900,-18,-998,137
24/07/2020 19:08:40.948,1403861,AM1V310 @305F47,187271,EBFF11FC5F00,-21,-1007,95
24/07/2020 19:08:41.008,1403921,AM1V310 @305F47,187278,FAFF20FC5D00,-6,-992,93
24/07/2020 19:08:41.038,1403951,AM1V310 @305F47,187284,09001BFC9B00,9,-997,155
24/07/2020 19:08:41.098,1404011,AM1V310 @305F47,187290,F2FF1CFC6700,-14,-996,103
24/07/2020 19:08:41.158,1404071,AM1V310 @305F47,187296,F8FF09FC9C00,-8,-1015,156
24/07/2020 19:08:41.188,1404101,AM1V310 @305F47,187303,1B0012FC8F00,27,-1006,143
24/07/2020 19:08:41.248,1404161,AM1V310 @305F47,187309,DFFFF0FBB300,-33,-1040,179
24/07/2020 19:08:41.308,1404221,AM1V310 @305F47,187315,DBFF00FCA700,-37,-1024,167
24/07/2020 19:08:41.338,1404251,AM1V310 @305F47,187321,E9FF2AFC7C00,-23,-982,124
24/07/2020 19:08:41.398,1404311,AM1V310 @305F47,187328,F1FF3AFC3400,-15,-966,52
24/07/2020 19:08:41.458,1404371,AM1V310 @305F47,187334,ECFF2EFC6300,-20,-978,99
24/07/2020 19:08:41.488,1404401,AM1V310 @305F47,187340,CBFF2CFC4600,-53,-980,70
24/07/2020 19:08:41.548,1404461,AM1V310 @305F47,187346,EEFF35FC5500,-18,-971,85
24/07/2020 19:08:41.608,1404522,AM1V310 @305F47,187353,CCFF2BFC6700,-52,-981,103
24/07/2020 19:08:41.638,1404551,AM1V310 @305F47,187359,F7FF36FC9300,-9,-970,147
