Logged started on,24/07/2020 18:45:17
Feature,Gyroscope
Nodes,AM1V310 @305F47

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (dps),Y (dps),Z (dps)
24/07/2020 19:08:39.959,1402879,AM1V310 @305F47,187146,0E003900EAFF,1.4,5.7,-2.2
24/07/2020 19:08:39.988,1402901,AM1V310 @305F47,187153,3A002D000000,5.8,4.5,0
24/07/2020 19:08:40.049,1402962,AM1V310 @305F47,187159,08001900ECFF,0.8,2.5,-2
24/07/2020 19:08:40.108,1403022,AM1V310 @305F47,187165,F9FF2300FBFF,-0.7,3.5,-0.5
24/07/2020 19:08:40.138,1403051,AM1V310 @305F47,187171,1100F0FF0900,1.7,-1.6,0.9
24/07/2020 19:08:40.198,1403111,AM1V310 @305F47,187178,5D00E7FFD6FF,9.3,-2.5,-4.2
24/07/2020 19:08:40.259,1403172,AM1V310 @305F47,187184,3B0079001600,5.9,12.1,2.2
24/07/2020 19:08:40.288,1403201,AM1V310 @305F47,187190,1500B4002A00,2.1,18,4.2
24/07/2020 19:08:40.348,1403261,AM1V310 @305F47,187196,7BFF4A00CEFF,-13.3,7.4,-5
24/07/2020 19:08:40.408,1403322,AM1V310 @305F47,187203,33FF3A00EAFF,-20.5,5.8,-2.2
24/07/2020 19:08:40.438,1403351,AM1V310 @305F47,187209,02006E00F9FF,0.2,11,-0.7
24/07/2020 19:08:40.498,1403411,AM1V310 @305F47,187215,ACFF3C00C6FF,-8.4,6,-5.8
24/07/2020 19:08:40.558,1403471,AM1V310 @305F47,187221,4FFF0F000700,-17.7,1.5,0.7
24/07/2020 19:08:40.588,1403501,AM1V310 @305F47,187228,EEFF1A00D5FF,-1.8,2.6,-4.3
24/07/2020 19:08:40.648,1403561,AM1V310 @305F47,187234,0B0032002E00,1.1,5,4.6
24/07/2020 19:08:40.708,1403621,AM1V310 @305F47,187240,E2FF12002700,-3,1.8,3.9
24/07/2020 19:08:40.738,1403651,AM1V310 @305F47,187246,F2FF27000900,-1.4,3.9,0.9
24/07/2020 19:08:40.798,1403712,AM1V310 @305F47,187253,F3FF31002700,-1.3,4.9,3.9
24/07/2020 19:08:40.858,1403771,AM1V310 @305F47,187259,190019000B00,2.5,2.5,1.1
24/07/2020 19:08:40.888,1403801,AM1V310 @305F47,187265,D9FF29001E00,-3.9,4.1,3
24/07/2020 19:08:40.948,1403862,AM1V310 @305F47,187271,0A00B8FF1B00,1,-7.2,2.7
24/07/2020 19:08:41.008,1403921,AM1V310 @305F47,187278,4A008EFF0200,7.4,-11.4,0.2
24/07/2020 19:08:41.038,1403951,AM1V310 @305F47,187284,670039000300,10.3,5.7,0.3
24/07/2020 19:08:41.098,1404011,AM1V310 @305F47,187290,2900FCFF1500,4.1,-0.4,2.1
24/07/2020 19:08:41.158,1404071,AM1V310 @305F47,187296,F9FF21003100,-0.7,3.3,4.9
24/07/2020 19:08:41.188,1404101,AM1V310 @305F47,187303,FDFF25003700,-0.3,3.7,5.5
24/07/2020 19:08:41.248,1404161,AM1V310 @305F47,187309,E7FF16004C00,-2.5,2.2,7.6
24/07/2020 19:08:41.308,1404221,AM1V310 @305F47,187315,A1FFFDFF3D00,-9.5,-0.3,6.1
24/07/2020 19:08:41.338,1404251,AM1V310 @305F47,187321,50FF00002700,-17.6,0,3.9
24/07/2020 19:08:41.398,1404311,AM1V310 @305F47,187328,78FFF2FFE0FF,-13.6,-1.4,-3.2
24/07/2020 19:08:41.458,1404371,AM1V310 @305F47,187334,AFFFEAFFFFFF,-8.1,-2.2,-0.1
