Logged started on,24/07/2020 18:45:17
Feature,Magnetometer
Nodes,AM1V310 @305F47

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (mGa),Y (mGa),Z (mGa)
24/07/2020 19:09:47.637,1470562,AM1V310 @305F47,195609,CD00EFFEA0FE,205,-273,-352
24/07/2020 19:09:47.698,1470611,AM1V310 @305F47,195615,CF00F4FEA1FE,207,-268,-351
24/07/2020 19:09:47.728,1470641,AM1V310 @305F47,195621,D900F8FEACFE,217,-264,-340
24/07/2020 19:09:47.788,1470701,AM1V310 @305F47,195628,EB00FAFED3FE,235,-262,-301
24/07/2020 19:09:47.848,1470761,AM1V310 @305F47,195634,1101FEFEEBFE,273,-258,-277
24/07/2020 19:09:47.878,1470791,AM1V310 @305F47,195640,1401F8FE06FF,276,-264,-250
24/07/2020 19:09:47.938,1470851,AM1V310 @305F47,195646,2C01FEFE28FF,300,-258,-216
24/07/2020 19:09:47.998,1470911,AM1V310 @305F47,195653,2C010FFF43FF,300,-241,-189
24/07/2020 19:09:48.028,1470941,AM1V310 @305F47,195659,2C0118FF63FF,300,-232,-157
24/07/2020 19:09:48.088,1471001,AM1V310 @305F47,195665,330127FF7EFF,307,-217,-130
24/07/2020 19:09:48.147,1471061,AM1V310 @305F47,195671,36012AFF93FF,310,-214,-109
24/07/2020 19:09:48.178,1471091,AM1V310 @305F47,195678,330136FFAEFF,307,-202,-82
24/07/2020 19:09:48.252,1471165,AM1V310 @305F47,195684,41012AFFBAFF,321,-214,-70
24/07/2020 19:09:48.297,1471210,AM1V310 @305F47,195690,39012AFFC1FF,313,-214,-63
24/07/2020 19:09:48.327,1471241,AM1V310 @305F47,195696,3C0133FFC9FF,316,-205,-55
24/07/2020 19:09:48.388,1471301,AM1V310 @305F47,195703,3E0124FFC3FF,318,-220,-61
24/07/2020 19:09:48.448,1471361,AM1V310 @305F47,195709,41012AFFD0FF,321,-214,-48
24/07/2020 19:09:48.477,1471391,AM1V310 @305F47,195715,42012DFFC7FF,322,-211,-57
24/07/2020 19:09:48.538,1471451,AM1V310 @305F47,195721,3C012DFFC4FF,316,-211,-60
24/07/2020 19:09:48.598,1471511,AM1V310 @305F47,195728,420125FFC7FF,322,-219,-57
24/07/2020 19:09:48.628,1471541,AM1V310 @305F47,195734,390122FFBEFF,313,-222,-66
24/07/2020 19:09:48.687,1471601,AM1V310 @305F47,195740,3F012AFFC4FF,319,-214,-60
24/07/2020 19:09:48.748,1471661,AM1V310 @305F47,195746,410125FFC6FF,321,-219,-58
24/07/2020 19:09:48.778,1471691,AM1V310 @305F47,195753,3E0122FFBAFF,318,-222,-70
24/07/2020 19:09:48.837,1471751,AM1V310 @305F47,195759,410122FFBBFF,321,-222,-69
24/07/2020 19:09:48.897,1471811,AM1V310 @305F47,195765,3C0125FFAEFF,316,-219,-82
24/07/2020 19:09:48.928,1471841,AM1V310 @305F47,195771,440122FFBAFF,324,-222,-70
24/07/2020 19:09:48.988,1471901,AM1V310 @305F47,195778,3E0127FFB7FF,318,-217,-73
24/07/2020 19:09:49.047,1471960,AM1V310 @305F47,195784,440124FFB7FF,324,-220,-73
24/07/2020 19:09:49.077,1471991,AM1V310 @305F47,195790,3E0122FFBDFF,318,-222,-67
24/07/2020 19:09:49.137,1472050,AM1V310 @305F47,195796,3C012AFFB2FF,316,-214,-78
24/07/2020 19:09:49.198,1472111,AM1V310 @305F47,195803,3F0128FFB5FF,319,-216,-75
24/07/2020 19:09:49.228,1472141,AM1V310 @305F47,195809,3B0128FFB5FF,315,-216,-75
24/07/2020 19:09:49.288,1472201,AM1V310 @305F47,195815,3F0125FFC0FF,319,-219,-64
24/07/2020 19:09:49.348,1472261,AM1V310 @305F47,195821,45012EFFB8FF,325,-210,-72
24/07/2020 19:09:49.377,1472290,AM1V310 @305F47,195828,3B0131FFB8FF,315,-207,-72
