Logged started on,24/07/2020 15:35:19
Feature,Magnetometer
Nodes,AM1V310 @395930

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (mGa),Y (mGa),Z (mGa)
24/07/2020 15:38:26.006,186177,AM1V310 @395930,33672,BCFE79FE75FF,-324,-391,-139
24/07/2020 15:38:26.066,186223,AM1V310 @395930,33678,CBFE74FE6CFF,-309,-396,-148
24/07/2020 15:38:26.095,186251,AM1V310 @395930,33685,D6FE7DFE76FF,-298,-387,-138
24/07/2020 15:38:26.156,186312,AM1V310 @395930,33691,E5FE77FE6AFF,-283,-393,-150
24/07/2020 15:38:26.216,186373,AM1V310 @395930,33697,F4FE70FE6FFF,-268,-400,-145
24/07/2020 15:38:26.245,186401,AM1V310 @395930,33703,ECFE76FE6AFF,-276,-394,-150
24/07/2020 15:38:26.306,186462,AM1V310 @395930,33710,EEFE77FE6AFF,-274,-393,-150
24/07/2020 15:38:26.367,186523,AM1V310 @395930,33716,DCFE70FE6FFF,-292,-400,-145
24/07/2020 15:38:26.396,186552,AM1V310 @395930,33722,E0FE6BFE76FF,-288,-405,-138
24/07/2020 15:38:26.456,186612,AM1V310 @395930,33728,DDFE62FE7CFF,-291,-414,-132
24/07/2020 15:38:26.516,186673,AM1V310 @395930,33735,D7FE6AFE82FF,-297,-406,-126
24/07/2020 15:38:26.546,186702,AM1V310 @395930,33741,D7FE6BFE81FF,-297,-405,-127
24/07/2020 15:38:26.606,186762,AM1V310 @395930,33747,DAFE68FE79FF,-294,-408,-135
24/07/2020 15:38:26.666,186822,AM1V310 @395930,33753,D9FE6DFE85FF,-295,-403,-123
24/07/2020 15:38:26.696,186852,AM1V310 @395930,33760,D9FE6BFE7BFF,-295,-405,-133
24/07/2020 15:38:26.756,186912,AM1V310 @395930,33766,D4FE6EFE81FF,-300,-402,-127
24/07/2020 15:38:26.815,186971,AM1V310 @395930,33772,D7FE65FE7EFF,-297,-411,-130
24/07/2020 15:38:26.846,187002,AM1V310 @395930,33778,DCFE65FE7EFF,-292,-411,-130
24/07/2020 15:38:26.906,187062,AM1V310 @395930,33785,E0FE64FE7CFF,-288,-412,-132
24/07/2020 15:38:26.966,187123,AM1V310 @395930,33791,D4FE67FE79FF,-300,-409,-135
24/07/2020 15:38:26.996,187152,AM1V310 @395930,33797,DAFE6EFE7FFF,-294,-402,-129
24/07/2020 15:38:27.056,187212,AM1V310 @395930,33803,DAFE6DFE7EFF,-294,-403,-130
24/07/2020 15:38:27.115,187272,AM1V310 @395930,33810,DAFE61FE85FF,-294,-415,-123
24/07/2020 15:38:27.146,187302,AM1V310 @395930,33816,D3FE6BFE81FF,-301,-405,-127
24/07/2020 15:38:27.206,187362,AM1V310 @395930,33822,DFFE6BFE81FF,-289,-405,-127
24/07/2020 15:38:27.266,187422,AM1V310 @395930,33828,D4FE62FE7BFF,-300,-414,-133
24/07/2020 15:38:27.295,187451,AM1V310 @395930,33835,D3FE68FE79FF,-301,-408,-135
24/07/2020 15:38:27.356,187512,AM1V310 @395930,33841,DDFE73FE79FF,-291,-397,-135
24/07/2020 15:38:27.416,187572,AM1V310 @395930,33847,D7FE6DFE82FF,-297,-403,-126
24/07/2020 15:38:27.446,187601,AM1V310 @395930,33853,DCFE73FE81FF,-292,-397,-127
24/07/2020 15:38:27.506,187662,AM1V310 @395930,33860,DAFE67FE72FF,-294,-409,-142
24/07/2020 15:38:27.565,187722,AM1V310 @395930,33866,D3FE6DFE7BFF,-301,-403,-133
24/07/2020 15:38:27.596,187752,AM1V310 @395930,33872,DFFE68FE82FF,-289,-408,-126
24/07/2020 15:38:27.656,187812,AM1V310 @395930,33878,DCFE70FE81FF,-292,-400,-127
24/07/2020 15:38:27.747,187904,AM1V310 @395930,33891,CEFE64FE84FF,-306,-412,-124
24/07/2020 15:38:27.747,187904,AM1V310 @395930,33885,CBFE61FE8EFF,-309,-415,-114
