Logged started on,24/07/2020 15:51:32
Feature,Gyroscope
Nodes,AM1V310 @395930

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (dps),Y (dps),Z (dps)
24/07/2020 15:54:44.537,191842,AM1V310 @395930,24930,0C0019003900,1.2,2.5,5.7
24/07/2020 15:54:44.568,191862,AM1V310 @395930,24936,440006003A00,6.8,0.6,5.8
24/07/2020 15:54:44.628,191921,AM1V310 @395930,24942,E7FF3C006C00,-2.5,6,10.8
24/07/2020 15:54:44.688,191982,AM1V310 @395930,24948,230001004200,3.5,0.1,6.6
24/07/2020 15:54:44.718,192011,AM1V310 @395930,24955,070066005500,0.7,10.2,8.5
24/07/2020 15:54:44.778,192072,AM1V310 @395930,24961,0E006B005600,1.4,10.7,8.6
24/07/2020 15:54:44.837,192131,AM1V310 @395930,24967,62001D003600,9.8,2.9,5.4
24/07/2020 15:54:44.868,192161,AM1V310 @395930,24973,24005F003A00,3.6,9.5,5.8
24/07/2020 15:54:44.928,192221,AM1V310 @395930,24980,17003C004F00,2.3,6,7.9
24/07/2020 15:54:44.988,192282,AM1V310 @395930,24986,E0FF2A004900,-3.2,4.2,7.3
24/07/2020 15:54:45.047,192341,AM1V310 @395930,24992,C0FF23004700,-6.4,3.5,7.1
24/07/2020 15:54:45.078,192371,AM1V310 @395930,24998,E2FF17003F00,-3,2.3,6.3
24/07/2020 15:54:45.138,192431,AM1V310 @395930,25005,E8FF25003B00,-2.4,3.7,5.9
24/07/2020 15:54:45.168,192461,AM1V310 @395930,25011,10002E003200,1.6,4.6,5
24/07/2020 15:54:45.228,192522,AM1V310 @395930,25017,4E003D003000,7.8,6.1,4.8
24/07/2020 15:54:45.288,192582,AM1V310 @395930,25023,81005D002200,12.9,9.3,3.4
24/07/2020 15:54:45.317,192610,AM1V310 @395930,25030,7C0063000200,12.4,9.9,0.2
24/07/2020 15:54:45.378,192672,AM1V310 @395930,25036,6B001800F6FF,10.7,2.4,-1
24/07/2020 15:54:45.438,192732,AM1V310 @395930,25042,060020000900,0.6,3.2,0.9
24/07/2020 15:54:45.467,192761,AM1V310 @395930,25048,EAFFEEFF0F00,-2.2,-1.8,1.5
24/07/2020 15:54:45.528,192821,AM1V310 @395930,25055,ECFFF8FF1700,-2,-0.8,2.3
24/07/2020 15:54:45.588,192882,AM1V310 @395930,25061,E5FF0D001F00,-2.7,1.3,3.1
24/07/2020 15:54:45.617,192910,AM1V310 @395930,25067,020005001200,0.2,0.5,1.8
24/07/2020 15:54:45.677,192970,AM1V310 @395930,25073,0800FEFF0E00,0.8,-0.2,1.4
24/07/2020 15:54:45.738,193032,AM1V310 @395930,25080,FEFFFCFF1300,-0.2,-0.4,1.9
24/07/2020 15:54:45.767,193060,AM1V310 @395930,25086,F6FFFBFF0B00,-1,-0.5,1.1
24/07/2020 15:54:45.827,193120,AM1V310 @395930,25092,1500EEFF0700,2.1,-1.8,0.7
24/07/2020 15:54:45.887,193180,AM1V310 @395930,25098,F3FFF8FF0E00,-1.3,-0.8,1.4
24/07/2020 15:54:45.917,193210,AM1V310 @395930,25105,0F00F7FF1200,1.5,-0.9,1.8
24/07/2020 15:54:45.977,193270,AM1V310 @395930,25111,F9FF0A001900,-0.7,1,2.5
24/07/2020 15:54:46.037,193331,AM1V310 @395930,25117,060005001000,0.6,0.5,1.6
24/07/2020 15:54:46.067,193360,AM1V310 @395930,25123,000000000E00,0,0,1.4
24/07/2020 15:54:46.127,193421,AM1V310 @395930,25130,0B00EAFF0A00,1.1,-2.2,1
24/07/2020 15:54:46.187,193480,AM1V310 @395930,25136,0C00F2FF0700,1.2,-1.4,0.7
24/07/2020 15:54:46.218,193511,AM1V310 @395930,25142,0100FBFF1700,0.1,-0.5,2.3
24/07/2020 15:54:46.278,193572,AM1V310 @395930,25148,0100FFFF1E00,0.1,-0.1,3
24/07/2020 15:54:46.338,193632,AM1V310 @395930,25155,0D00F9FF1600,1.3,-0.7,2.2
24/07/2020 15:54:46.367,193660,AM1V310 @395930,25161,FDFFFAFF1C00,-0.3,-0.6,2.8
24/07/2020 15:54:46.428,193722,AM1V310 @395930,25167,F5FF02001E00,-1.1,0.2,3
24/07/2020 15:54:46.490,193784,AM1V310 @395930,25173,00000B001500,0,1.1,2.1
24/07/2020 15:54:46.517,193810,AM1V310 @395930,25180,FEFF09001300,-0.2,0.9,1.9
24/07/2020 15:54:46.577,193870,AM1V310 @395930,25186,00000B001100,0,1.1,1.7
24/07/2020 15:54:46.641,193935,AM1V310 @395930,25192,0D00FCFF0A00,1.3,-0.4,1
24/07/2020 15:54:46.668,193961,AM1V310 @395930,25198,1000F0FF0300,1.6,-1.6,0.3
24/07/2020 15:54:46.728,194021,AM1V310 @395930,25205,2500ECFFF8FF,3.7,-2,-0.8
24/07/2020 15:54:46.787,194080,AM1V310 @395930,25211,2C00E0FFF8FF,4.4,-3.2,-0.8
24/07/2020 15:54:46.818,194111,AM1V310 @395930,25217,4100D6FFF6FF,6.5,-4.2,-1
24/07/2020 15:54:46.879,194172,AM1V310 @395930,25223,3B00C1FFEDFF,5.9,-6.3,-1.9
24/07/2020 15:54:46.938,194232,AM1V310 @395930,25230,3400C6FFFEFF,5.2,-5.8,-0.2
24/07/2020 15:54:46.967,194261,AM1V310 @395930,25236,E9FF0A000400,-2.3,1,0.4
24/07/2020 15:54:47.028,194321,AM1V310 @395930,25242,1700D2FFFCFF,2.3,-4.6,-0.4
