Logged started on,24/07/2020 18:45:17
Feature,Accelerometer
Nodes,AM1V310 @305F47

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (mg),Y (mg),Z (mg)
24/07/2020 19:24:15.946,2338865,AM1V310 @305F47,304159,B1FF27FCA1FF,-79,-985,-95
24/07/2020 19:24:15.975,2338888,AM1V310 @305F47,304165,C3FF30FCB5FF,-61,-976,-75
24/07/2020 19:24:16.036,2338949,AM1V310 @305F47,304171,9CFF21FCB0FF,-100,-991,-80
24/07/2020 19:24:16.096,2339009,AM1V310 @305F47,304178,C0FF32FCB5FF,-64,-974,-75
24/07/2020 19:24:16.126,2339039,AM1V310 @305F47,304184,D5FF44FCD7FF,-43,-956,-41
24/07/2020 19:24:16.186,2339099,AM1V310 @305F47,304190,BEFF57FCD5FF,-66,-937,-43
24/07/2020 19:24:16.246,2339159,AM1V310 @305F47,304196,000065FCBAFF,0,-923,-70
24/07/2020 19:24:16.275,2339188,AM1V310 @305F47,304203,BBFF4BFCA2FF,-69,-949,-94
24/07/2020 19:24:16.335,2339249,AM1V310 @305F47,304209,AEFF38FC94FF,-82,-968,-108
24/07/2020 19:24:16.396,2339309,AM1V310 @305F47,304215,A2FF13FCEBFF,-94,-1005,-21
24/07/2020 19:24:16.426,2339339,AM1V310 @305F47,304221,FBFF21FCDEFF,-5,-991,-34
24/07/2020 19:24:16.486,2339399,AM1V310 @305F47,304228,E8FF13FCDBFF,-24,-1005,-37
24/07/2020 19:24:16.546,2339459,AM1V310 @305F47,304234,CAFFF4FB0400,-54,-1036,4
24/07/2020 19:24:16.576,2339489,AM1V310 @305F47,304240,A3FFF9FBD4FF,-93,-1031,-44
24/07/2020 19:24:16.636,2339549,AM1V310 @305F47,304246,A0FFF5FBF7FF,-96,-1035,-9
24/07/2020 19:24:16.696,2339610,AM1V310 @305F47,304253,F0FF09FC0600,-16,-1015,6
24/07/2020 19:24:16.726,2339639,AM1V310 @305F47,304259,DFFF1FFC0C00,-33,-993,12
24/07/2020 19:24:16.786,2339699,AM1V310 @305F47,304265,ECFF24FC2B00,-20,-988,43
24/07/2020 19:24:16.846,2339759,AM1V310 @305F47,304271,E2FF2EFC0800,-30,-978,8
24/07/2020 19:24:16.876,2339789,AM1V310 @305F47,304278,00005BFC1200,0,-933,18
24/07/2020 19:24:16.936,2339849,AM1V310 @305F47,304284,E0FF24FC0F00,-32,-988,15
24/07/2020 19:24:16.996,2339909,AM1V310 @305F47,304290,EBFF2DFCDFFF,-21,-979,-33
24/07/2020 19:24:17.025,2339938,AM1V310 @305F47,304296,B0FFFBFBDBFF,-80,-1029,-37
24/07/2020 19:24:17.086,2339999,AM1V310 @305F47,304303,BAFF1AFCC2FF,-70,-998,-62
24/07/2020 19:24:17.146,2340059,AM1V310 @305F47,304309,DFFF17FCEAFF,-33,-1001,-22
24/07/2020 19:24:17.176,2340089,AM1V310 @305F47,304315,A0FF03FCECFF,-96,-1021,-20
24/07/2020 19:24:17.236,2340149,AM1V310 @305F47,304321,CBFF05FCF9FF,-53,-1019,-7
24/07/2020 19:24:17.296,2340209,AM1V310 @305F47,304328,FFFF13FC2100,-1,-1005,33
24/07/2020 19:24:17.326,2340239,AM1V310 @305F47,304334,9AFF04FC0C00,-102,-1020,12
24/07/2020 19:24:17.386,2340299,AM1V310 @305F47,304340,DBFF10FCF8FF,-37,-1008,-8
24/07/2020 19:24:17.446,2340359,AM1V310 @305F47,304346,000014FC1300,0,-1004,19
24/07/2020 19:24:17.476,2340389,AM1V310 @305F47,304353,D1FF16FCD4FF,-47,-1002,-44
24/07/2020 19:24:17.536,2340449,AM1V310 @305F47,304359,F1FF14FC1300,-15,-1004,19
24/07/2020 19:24:17.596,2340509,AM1V310 @305F47,304365,E5FF29FC1700,-27,-983,23
24/07/2020 19:24:17.626,2340539,AM1V310 @305F47,304371,BFFF1CFC0700,-65,-996,7
24/07/2020 19:24:17.686,2340599,AM1V310 @305F47,304378,E6FF2AFCFEFF,-26,-982,-2
24/07/2020 19:24:17.746,2340659,AM1V310 @305F47,304384,010018FC2D00,1,-1000,45
24/07/2020 19:24:17.776,2340689,AM1V310 @305F47,304390,C4FF02FC1200,-60,-1022,18
24/07/2020 19:24:17.837,2340751,AM1V310 @305F47,304396,DCFF11FC1800,-36,-1007,24
24/07/2020 19:24:17.896,2340809,AM1V310 @305F47,304403,D4FF22FC1700,-44,-990,23
24/07/2020 19:24:17.934,2340847,AM1V310 @305F47,304409,190039FC3600,25,-967,54
24/07/2020 19:24:17.986,2340899,AM1V310 @305F47,304415,EAFF2AFC3F00,-22,-982,63
24/07/2020 19:24:18.046,2340959,AM1V310 @305F47,304421,D7FF15FC1700,-41,-1003,23
24/07/2020 19:24:18.075,2340989,AM1V310 @305F47,304428,BBFF01FC3D00,-69,-1023,61
24/07/2020 19:24:18.136,2341049,AM1V310 @305F47,304434,C5FFEDFB5F00,-59,-1043,95
24/07/2020 19:24:18.196,2341109,AM1V310 @305F47,304440,D9FF06FC6500,-39,-1018,101
24/07/2020 19:24:18.225,2341138,AM1V310 @305F47,304446,1D0023FC6600,29,-989,102
24/07/2020 19:24:18.286,2341199,AM1V310 @305F47,304453,0B0010FC7300,11,-1008,115
24/07/2020 19:24:18.346,2341259,AM1V310 @305F47,304459,E3FF04FC6400,-29,-1020,100
24/07/2020 19:24:18.375,2341288,AM1V310 @305F47,304465,E5FFFEFB7300,-27,-1026,115
24/07/2020 19:24:18.436,2341349,AM1V310 @305F47,304471,FAFF20FC3E00,-6,-992,62
24/07/2020 19:24:18.495,2341409,AM1V310 @305F47,304478,03001CFC7000,3,-996,112
24/07/2020 19:24:18.525,2341438,AM1V310 @305F47,304484,0A0033FC5300,10,-973,83
24/07/2020 19:24:18.586,2341499,AM1V310 @305F47,304490,A1FF07FC5100,-95,-1017,81
24/07/2020 19:24:18.646,2341559,AM1V310 @305F47,304496,CDFF10FC5700,-51,-1008,87
24/07/2020 19:24:18.675,2341588,AM1V310 @305F47,304503,E7FFF8FB7700,-25,-1032,119
24/07/2020 19:24:18.736,2341649,AM1V310 @305F47,304509,10001EFC5400,16,-994,84
24/07/2020 19:24:18.796,2341709,AM1V310 @305F47,304515,D3FF18FC4D00,-45,-1000,77
24/07/2020 19:24:18.825,2341738,AM1V310 @305F47,304521,F9FF24FC4600,-7,-988,70
24/07/2020 19:24:18.886,2341799,AM1V310 @305F47,304528,BFFF01FC3100,-65,-1023,49
24/07/2020 19:24:18.975,2341889,AM1V310 @305F47,304534,E8FF09FC3800,-24,-1015,56
24/07/2020 19:24:19.013,2341926,AM1V310 @305F47,304540,B5FF27FC1F00,-75,-985,31
24/07/2020 19:24:19.036,2341949,AM1V310 @305F47,304546,E5FF1CFC3400,-27,-996,52
24/07/2020 19:24:19.095,2342009,AM1V310 @305F47,304553,E8FF22FC3200,-24,-990,50
24/07/2020 19:24:19.127,2342039,AM1V310 @305F47,304559,C9FF0CFC2200,-55,-1012,34
24/07/2020 19:24:19.186,2342099,AM1V310 @305F47,304565,D8FFF2FB3D00,-40,-1038,61
24/07/2020 19:24:19.246,2342159,AM1V310 @305F47,304571,CBFFD4FB7E00,-53,-1068,126
24/07/2020 19:24:19.275,2342189,AM1V310 @305F47,304578,FCFFCCFB0C00,-4,-1076,12
24/07/2020 19:24:19.335,2342249,AM1V310 @305F47,304584,D5FFF5FBC9FF,-43,-1035,-55
