Logged started on,24/07/2020 18:45:17
Feature,Magnetometer
Nodes,AM1V310 @305F47

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (mGa),Y (mGa),Z (mGa)
24/07/2020 19:21:28.098,2171019,AM1V310 @305F47,283178,5A0140FF31FF,346,-192,-207
24/07/2020 19:21:28.157,2171070,AM1V310 @305F47,283184,570140FF30FF,343,-192,-208
24/07/2020 19:21:28.217,2171131,AM1V310 @305F47,283190,620140FF31FF,354,-192,-207
24/07/2020 19:21:28.248,2171161,AM1V310 @305F47,283196,500148FF2AFF,336,-184,-214
24/07/2020 19:21:28.308,2171221,AM1V310 @305F47,283203,4E014CFF2AFF,334,-180,-214
24/07/2020 19:21:28.368,2171281,AM1V310 @305F47,283209,500140FF25FF,336,-192,-219
24/07/2020 19:21:28.397,2171311,AM1V310 @305F47,283215,500140FF28FF,336,-192,-216
24/07/2020 19:21:28.458,2171371,AM1V310 @305F47,283221,470145FF27FF,327,-187,-217
24/07/2020 19:21:28.518,2171431,AM1V310 @305F47,283228,420142FF24FF,322,-190,-220
24/07/2020 19:21:28.548,2171461,AM1V310 @305F47,283234,440143FF1CFF,324,-189,-228
24/07/2020 19:21:28.608,2171521,AM1V310 @305F47,283240,3F013FFF13FF,319,-193,-237
24/07/2020 19:21:28.668,2171581,AM1V310 @305F47,283246,3B013AFF15FF,315,-198,-235
24/07/2020 19:21:28.697,2171611,AM1V310 @305F47,283253,3C0145FF10FF,316,-187,-240
24/07/2020 19:21:28.758,2171671,AM1V310 @305F47,283259,3B0140FF06FF,315,-192,-250
24/07/2020 19:21:28.817,2171731,AM1V310 @305F47,283265,42013DFF07FF,322,-195,-249
24/07/2020 19:21:28.848,2171761,AM1V310 @305F47,283271,360136FF01FF,310,-202,-255
24/07/2020 19:21:28.907,2171820,AM1V310 @305F47,283278,350139FF07FF,309,-199,-249
24/07/2020 19:21:28.968,2171882,AM1V310 @305F47,283284,350130FFFBFE,309,-208,-261
24/07/2020 19:21:28.997,2171910,AM1V310 @305F47,283290,320133FFF7FE,306,-205,-265
24/07/2020 19:21:29.058,2171971,AM1V310 @305F47,283296,360128FFF7FE,310,-216,-265
24/07/2020 19:21:29.118,2172031,AM1V310 @305F47,283303,300128FFE9FE,304,-216,-279
24/07/2020 19:21:29.147,2172061,AM1V310 @305F47,283309,260124FFE2FE,294,-220,-286
24/07/2020 19:21:29.208,2172121,AM1V310 @305F47,283315,2A0127FFDFFE,298,-217,-289
24/07/2020 19:21:29.267,2172181,AM1V310 @305F47,283321,270121FFDAFE,295,-223,-294
24/07/2020 19:21:29.297,2172210,AM1V310 @305F47,283328,26011BFFD0FE,294,-229,-304
24/07/2020 19:21:29.357,2172271,AM1V310 @305F47,283334,12011BFFC1FE,274,-229,-319
24/07/2020 19:21:29.421,2172334,AM1V310 @305F47,283340,110113FFBCFE,273,-237,-324
24/07/2020 19:21:29.452,2172365,AM1V310 @305F47,283346,0F010CFFBEFE,271,-244,-322
24/07/2020 19:21:29.507,2172420,AM1V310 @305F47,283353,0F0110FFB8FE,271,-240,-328
24/07/2020 19:21:29.567,2172481,AM1V310 @305F47,283359,11010FFFB5FE,273,-241,-331
24/07/2020 19:21:29.597,2172510,AM1V310 @305F47,283365,110119FFB2FE,273,-231,-334
24/07/2020 19:21:29.657,2172570,AM1V310 @305F47,283371,12010FFFB5FE,274,-241,-331
24/07/2020 19:21:29.718,2172631,AM1V310 @305F47,283378,0C0110FFAAFE,268,-240,-342
24/07/2020 19:21:29.747,2172660,AM1V310 @305F47,283384,0B0113FFAAFE,267,-237,-342
24/07/2020 19:21:29.807,2172721,AM1V310 @305F47,283390,080112FFAFFE,264,-238,-337
24/07/2020 19:21:29.867,2172780,AM1V310 @305F47,283396,080119FFACFE,264,-231,-340
24/07/2020 19:21:29.897,2172810,AM1V310 @305F47,283403,03011BFFAAFE,259,-229,-342
24/07/2020 19:21:29.957,2172870,AM1V310 @305F47,283409,03011BFFACFE,259,-229,-340
24/07/2020 19:21:30.017,2172930,AM1V310 @305F47,283415,060112FFAFFE,262,-238,-337
24/07/2020 19:21:30.049,2172962,AM1V310 @305F47,283421,02010FFFB5FE,258,-241,-331
24/07/2020 19:21:30.107,2173020,AM1V310 @305F47,283428,11010AFFB9FE,273,-246,-327
24/07/2020 19:21:30.197,2173110,AM1V310 @305F47,283434,0B010FFFB3FE,267,-241,-333
24/07/2020 19:21:30.227,2173141,AM1V310 @305F47,283440,03010FFFB9FE,259,-241,-327
24/07/2020 19:21:30.257,2173170,AM1V310 @305F47,283446,060113FFB5FE,262,-237,-331
24/07/2020 19:21:30.317,2173231,AM1V310 @305F47,283453,080113FFB3FE,264,-237,-333
24/07/2020 19:21:30.347,2173260,AM1V310 @305F47,283459,080115FFADFE,264,-235,-339
24/07/2020 19:21:30.407,2173320,AM1V310 @305F47,283465,0B0112FFAFFE,267,-238,-337
