Logged started on,24/07/2020 18:45:17
Feature,Gyroscope
Nodes,AM1V310 @305F47

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (dps),Y (dps),Z (dps)
24/07/2020 19:23:46.906,2309828,AM1V310 @305F47,300528,C3FF08000F00,-6.1,0.8,1.5
24/07/2020 19:23:46.936,2309849,AM1V310 @305F47,300534,C6FF0600FCFF,-5.8,0.6,-0.4
24/07/2020 19:23:46.996,2309909,AM1V310 @305F47,300540,D2FF3500F4FF,-4.6,5.3,-1.2
24/07/2020 19:23:47.056,2309970,AM1V310 @305F47,300546,B800A100E300,18.4,16.1,22.7
24/07/2020 19:23:47.086,2309999,AM1V310 @305F47,300553,4A01C4006800,33,19.6,10.4
24/07/2020 19:23:47.146,2310060,AM1V310 @305F47,300559,E000C1FFB800,22.4,-6.3,18.4
24/07/2020 19:23:47.206,2310119,AM1V310 @305F47,300565,D20116FF68FF,46.6,-23.4,-15.2
24/07/2020 19:23:47.236,2310149,AM1V310 @305F47,300571,2D0146FFB800,30.1,-18.6,18.4
24/07/2020 19:23:47.296,2310209,AM1V310 @305F47,300578,C800DDFF1200,20,-3.5,1.8
24/07/2020 19:23:47.356,2310269,AM1V310 @305F47,300584,F5FFAFFFCBFF,-1.1,-8.1,-5.3
24/07/2020 19:23:47.386,2310299,AM1V310 @305F47,300590,D600C7FF25FF,21.4,-5.7,-21.9
24/07/2020 19:23:47.446,2310360,AM1V310 @305F47,300596,A60005005E00,16.6,0.5,9.4
24/07/2020 19:23:47.506,2310419,AM1V310 @305F47,300603,030223FF51FE,51.5,-22.1,-43.1
24/07/2020 19:23:47.536,2310449,AM1V310 @305F47,300609,8D010E0043FF,39.7,1.4,-18.9
24/07/2020 19:23:47.596,2310509,AM1V310 @305F47,300615,9A0004005CFF,15.4,0.4,-16.4
24/07/2020 19:23:47.656,2310570,AM1V310 @305F47,300621,06004100C8FF,0.6,6.5,-5.6
24/07/2020 19:23:47.686,2310599,AM1V310 @305F47,300628,F7FF84FF36FF,-0.9,-12.4,-20.2
24/07/2020 19:23:47.746,2310659,AM1V310 @305F47,300634,9700370072FF,15.1,5.5,-14.2
24/07/2020 19:23:47.806,2310719,AM1V310 @305F47,300640,EFFECFFF19FF,-27.3,-4.9,-23.1
24/07/2020 19:23:47.836,2310749,AM1V310 @305F47,300646,4AFF38003500,-18.2,5.6,5.3
24/07/2020 19:23:47.896,2310809,AM1V310 @305F47,300653,43FFC4FFA3FF,-18.9,-6,-9.3
24/07/2020 19:23:47.956,2310870,AM1V310 @305F47,300659,2700FEFFBAFF,3.9,-0.2,-7
24/07/2020 19:23:47.986,2310899,AM1V310 @305F47,300665,E2FFF7FFE2FF,-3,-0.9,-3
24/07/2020 19:23:48.046,2310959,AM1V310 @305F47,300671,E4FF0B00D3FF,-2.8,1.1,-4.5
24/07/2020 19:23:48.106,2311019,AM1V310 @305F47,300678,E3FF1800F6FF,-2.9,2.4,-1
24/07/2020 19:23:48.136,2311049,AM1V310 @305F47,300684,93FFE6FFE2FF,-10.9,-2.6,-3
24/07/2020 19:23:48.196,2311109,AM1V310 @305F47,300690,CFFFF2FFA1FF,-4.9,-1.4,-9.5
24/07/2020 19:23:48.256,2311169,AM1V310 @305F47,300696,BCFFD3FFBBFF,-6.8,-4.5,-6.9
24/07/2020 19:23:48.286,2311199,AM1V310 @305F47,300703,CDFFEAFFE0FF,-5.1,-2.2,-3.2
24/07/2020 19:23:48.346,2311259,AM1V310 @305F47,300709,200035001400,3.2,5.3,2
24/07/2020 19:23:48.406,2311319,AM1V310 @305F47,300715,4600FAFFD0FF,7,-0.6,-4.8
24/07/2020 19:23:48.436,2311349,AM1V310 @305F47,300721,FCFF0000CBFF,-0.4,0,-5.3
24/07/2020 19:23:48.496,2311409,AM1V310 @305F47,300728,2300F9FFC3FF,3.5,-0.7,-6.1
24/07/2020 19:23:48.556,2311469,AM1V310 @305F47,300734,F8FF0E00F5FF,-0.8,1.4,-1.1
24/07/2020 19:23:48.586,2311499,AM1V310 @305F47,300740,E0FF05000000,-3.2,0.5,0
24/07/2020 19:23:48.648,2311561,AM1V310 @305F47,300746,E5FFD9FF1500,-2.7,-3.9,2.1
24/07/2020 19:23:48.706,2311619,AM1V310 @305F47,300753,09002500DBFF,0.9,3.7,-3.7
24/07/2020 19:23:48.736,2311649,AM1V310 @305F47,300759,040024000800,0.4,3.6,0.8
24/07/2020 19:23:48.796,2311709,AM1V310 @305F47,300765,3800E9FFFCFF,5.6,-2.3,-0.4
24/07/2020 19:23:48.856,2311770,AM1V310 @305F47,300771,C2002E007600,19.4,4.6,11.8
24/07/2020 19:23:48.886,2311799,AM1V310 @305F47,300778,68027A002901,61.6,12.2,29.7
24/07/2020 19:23:48.946,2311859,AM1V310 @305F47,300784,7E0501FF1A01,140.6,-25.5,28.2
24/07/2020 19:23:49.006,2311920,AM1V310 @305F47,300790,51091DFDB0FF,238.5,-73.9,-8
24/07/2020 19:23:49.036,2311949,AM1V310 @305F47,300796,B3052AFF8F02,145.9,-21.4,65.5
