Logged started on,24/07/2020 14:33:27
Feature,Magnetometer
Nodes,AM1V310 @395930

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (mGa),Y (mGa),Z (mGa)
24/07/2020 14:42:10.529,522759,AM1V310 @395930,70434,C4FE3DFED3FF,-316,-451,-45
24/07/2020 14:42:10.589,522805,AM1V310 @395930,70440,C7FE3DFED2FF,-313,-451,-46
24/07/2020 14:42:10.619,522834,AM1V310 @395930,70446,C5FE43FED0FF,-315,-445,-48
24/07/2020 14:42:10.680,522895,AM1V310 @395930,70452,C4FE3EFECCFF,-316,-450,-52
24/07/2020 14:42:10.739,522954,AM1V310 @395930,70459,C8FE41FED8FF,-312,-447,-40
24/07/2020 14:42:10.799,523014,AM1V310 @395930,70465,C5FE40FED0FF,-315,-448,-48
24/07/2020 14:42:10.828,523043,AM1V310 @395930,70471,C1FE41FED3FF,-319,-447,-45
24/07/2020 14:42:10.889,523104,AM1V310 @395930,70477,C5FE3DFED2FF,-315,-451,-46
24/07/2020 14:42:10.919,523133,AM1V310 @395930,70484,C4FE43FECFFF,-316,-445,-49
24/07/2020 14:42:10.979,523194,AM1V310 @395930,70490,C4FE3DFED2FF,-316,-451,-46
24/07/2020 14:42:11.069,523285,AM1V310 @395930,70496,C8FE3DFECCFF,-312,-451,-52
24/07/2020 14:42:11.099,523313,AM1V310 @395930,70502,C7FE43FECDFF,-313,-445,-51
24/07/2020 14:42:11.128,523343,AM1V310 @395930,70509,C4FE41FED8FF,-316,-447,-40
24/07/2020 14:42:11.189,523404,AM1V310 @395930,70515,C5FE3BFED2FF,-315,-453,-46
24/07/2020 14:42:11.218,523433,AM1V310 @395930,70521,CBFE43FECCFF,-309,-445,-52
24/07/2020 14:42:11.279,523495,AM1V310 @395930,70527,C2FE41FED0FF,-318,-447,-48
24/07/2020 14:42:11.339,523554,AM1V310 @395930,70534,C8FE38FED5FF,-312,-456,-43
24/07/2020 14:42:11.369,523584,AM1V310 @395930,70540,BCFE40FED2FF,-324,-448,-46
24/07/2020 14:42:11.428,523643,AM1V310 @395930,70546,C5FE35FED6FF,-315,-459,-42
24/07/2020 14:42:11.488,523703,AM1V310 @395930,70552,C4FE3EFED2FF,-316,-450,-46
24/07/2020 14:42:11.519,523734,AM1V310 @395930,70559,C7FE3AFED5FF,-313,-454,-43
24/07/2020 14:42:11.579,523794,AM1V310 @395930,70565,C7FE3BFECFFF,-313,-453,-49
24/07/2020 14:42:11.639,523855,AM1V310 @395930,70571,C8FE40FECFFF,-312,-448,-49
24/07/2020 14:42:11.668,523883,AM1V310 @395930,70577,C1FE2FFEE2FF,-319,-465,-30
24/07/2020 14:42:11.728,523944,AM1V310 @395930,70584,C8FE41FEDCFF,-312,-447,-36
24/07/2020 14:42:11.789,524005,AM1V310 @395930,70590,CAFE3BFEE1FF,-310,-453,-31
24/07/2020 14:42:11.819,524034,AM1V310 @395930,70596,D4FE2FFEE8FF,-300,-465,-24
24/07/2020 14:42:11.879,524095,AM1V310 @395930,70602,E5FE26FEE4FF,-283,-474,-28
24/07/2020 14:42:11.938,524154,AM1V310 @395930,70609,03FF26FEE5FF,-253,-474,-27
24/07/2020 14:42:11.969,524184,AM1V310 @395930,70615,28FF22FED3FF,-216,-478,-45
24/07/2020 14:42:12.029,524244,AM1V310 @395930,70621,46FF1FFEDBFF,-186,-481,-37
24/07/2020 14:42:12.089,524304,AM1V310 @395930,70627,64FF1FFEE1FF,-156,-481,-31
24/07/2020 14:42:12.119,524334,AM1V310 @395930,70634,78FF1DFEE2FF,-136,-483,-30
24/07/2020 14:42:12.179,524395,AM1V310 @395930,70640,85FF1CFEE7FF,-123,-484,-25
24/07/2020 14:42:12.239,524454,AM1V310 @395930,70646,97FF23FED6FF,-105,-477,-42
24/07/2020 14:42:12.269,524484,AM1V310 @395930,70652,9CFF26FED6FF,-100,-474,-42
24/07/2020 14:42:12.329,524545,AM1V310 @395930,70659,A3FF2FFECDFF,-93,-465,-51
24/07/2020 14:42:12.389,524604,AM1V310 @395930,70665,9DFF2CFED0FF,-99,-468,-48
24/07/2020 14:42:12.418,524633,AM1V310 @395930,70671,A0FF26FEC6FF,-96,-474,-58
24/07/2020 14:42:12.479,524694,AM1V310 @395930,70677,97FF2EFECAFF,-105,-466,-54
24/07/2020 14:42:12.539,524755,AM1V310 @395930,70684,94FF2BFEC4FF,-108,-469,-60
24/07/2020 14:42:12.568,524783,AM1V310 @395930,70690,9FFF2BFEC7FF,-97,-469,-57
24/07/2020 14:42:12.629,524844,AM1V310 @395930,70696,9DFF35FEC9FF,-99,-459,-55
24/07/2020 14:42:12.689,524904,AM1V310 @395930,70702,9DFF2CFEC4FF,-99,-468,-60
24/07/2020 14:42:12.718,524933,AM1V310 @395930,70709,91FF2CFEC4FF,-111,-468,-60
24/07/2020 14:42:12.778,524994,AM1V310 @395930,70715,94FF2FFEC1FF,-108,-465,-63
24/07/2020 14:42:12.838,525054,AM1V310 @395930,70721,9AFF2FFEC3FF,-102,-465,-61
24/07/2020 14:42:12.869,525084,AM1V310 @395930,70727,99FF31FEC6FF,-103,-463,-58
24/07/2020 14:42:12.929,525145,AM1V310 @395930,70734,96FF2FFEC3FF,-106,-465,-61
24/07/2020 14:42:12.989,525204,AM1V310 @395930,70740,99FF37FEC0FF,-103,-457,-64
24/07/2020 14:42:13.018,525233,AM1V310 @395930,70746,8BFF2EFEC3FF,-117,-466,-61
24/07/2020 14:42:13.079,525295,AM1V310 @395930,70752,96FF23FEC1FF,-106,-477,-63
24/07/2020 14:42:13.139,525354,AM1V310 @395930,70759,90FF28FEC0FF,-112,-472,-64
24/07/2020 14:42:13.168,525383,AM1V310 @395930,70765,8EFF32FEC3FF,-114,-462,-61
24/07/2020 14:42:13.231,525447,AM1V310 @395930,70771,93FF32FEC1FF,-109,-462,-63
24/07/2020 14:42:13.288,525504,AM1V310 @395930,70777,8DFF2FFEBEFF,-115,-465,-66
24/07/2020 14:42:13.319,525534,AM1V310 @395930,70784,97FF31FEBDFF,-105,-463,-67
24/07/2020 14:42:13.384,525599,AM1V310 @395930,70790,97FF2BFEBBFF,-105,-469,-69
24/07/2020 14:42:13.440,525655,AM1V310 @395930,70796,97FF29FEBEFF,-105,-471,-66
24/07/2020 14:42:13.564,525779,AM1V310 @395930,70802,96FF31FEBEFF,-106,-463,-66
24/07/2020 14:42:13.564,525780,AM1V310 @395930,70809,97FF2BFEBDFF,-105,-469,-67
24/07/2020 14:42:13.591,525805,AM1V310 @395930,70815,93FF31FEBDFF,-109,-463,-67
24/07/2020 14:42:13.690,525906,AM1V310 @395930,70821,90FF25FEBEFF,-112,-475,-66
24/07/2020 14:42:13.690,525906,AM1V310 @395930,70827,85FF2FFEC1FF,-123,-465,-63
24/07/2020 14:42:13.741,525956,AM1V310 @395930,70834,90FF29FEC3FF,-112,-471,-61
24/07/2020 14:42:13.771,525986,AM1V310 @395930,70840,91FF31FEC0FF,-111,-463,-64
24/07/2020 14:42:13.828,526043,AM1V310 @395930,70846,8EFF2BFEBEFF,-114,-469,-66
24/07/2020 14:42:13.888,526104,AM1V310 @395930,70852,8EFF2EFEC0FF,-114,-466,-64
24/07/2020 14:42:13.918,526133,AM1V310 @395930,70859,90FF26FEB5FF,-112,-474,-75
24/07/2020 14:42:13.978,526193,AM1V310 @395930,70865,8BFF34FEC0FF,-117,-460,-64
24/07/2020 14:42:14.038,526253,AM1V310 @395930,70871,8DFF38FEC0FF,-115,-456,-64
24/07/2020 14:42:14.070,526284,AM1V310 @395930,70877,88FF35FEBDFF,-120,-459,-67
24/07/2020 14:42:14.129,526344,AM1V310 @395930,70884,84FF31FEC0FF,-124,-463,-64
24/07/2020 14:42:14.188,526403,AM1V310 @395930,70890,88FF34FEBEFF,-120,-460,-66
24/07/2020 14:42:14.218,526433,AM1V310 @395930,70896,8AFF2CFEBEFF,-118,-468,-66
24/07/2020 14:42:14.279,526494,AM1V310 @395930,70902,88FF2CFEBEFF,-120,-468,-66
24/07/2020 14:42:14.340,526555,AM1V310 @395930,70909,90FF28FEBBFF,-112,-472,-69
24/07/2020 14:42:14.369,526583,AM1V310 @395930,70915,88FF2FFEC1FF,-120,-465,-63
24/07/2020 14:42:14.429,526644,AM1V310 @395930,70921,8EFF2FFEC7FF,-114,-465,-57
24/07/2020 14:42:14.489,526704,AM1V310 @395930,70927,8EFF28FEC7FF,-114,-472,-57
24/07/2020 14:42:14.518,526733,AM1V310 @395930,70934,8DFF2CFEBEFF,-115,-468,-66
24/07/2020 14:42:14.580,526795,AM1V310 @395930,70940,8DFF26FEC3FF,-115,-474,-61
24/07/2020 14:42:14.640,526855,AM1V310 @395930,70946,8DFF25FEBBFF,-115,-475,-69
24/07/2020 14:42:14.669,526883,AM1V310 @395930,70952,8AFF31FEC7FF,-118,-463,-57
24/07/2020 14:42:14.730,526945,AM1V310 @395930,70959,8BFF23FEC4FF,-117,-477,-60
24/07/2020 14:42:14.789,527005,AM1V310 @395930,70965,8EFF29FEC4FF,-114,-471,-60
24/07/2020 14:42:14.818,527033,AM1V310 @395930,70971,8DFF28FEC7FF,-115,-472,-57
