Logged started on,24/07/2020 14:33:27
Feature,Accelerometer
Nodes,AM1V310 @395930

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (mg),Y (mg),Z (mg)
24/07/2020 14:43:16.890,589113,AM1V310 @395930,78727,E6006D00F603,230,109,1014
24/07/2020 14:43:16.919,589134,AM1V310 @395930,78734,CC003700DB03,204,55,987
24/07/2020 14:43:16.980,589195,AM1V310 @395930,78740,DE006F00EE03,222,111,1006
24/07/2020 14:43:17.040,589255,AM1V310 @395930,78746,1901F8005004,281,248,1104
24/07/2020 14:43:17.069,589284,AM1V310 @395930,78752,F00038017104,240,312,1137
24/07/2020 14:43:17.130,589345,AM1V310 @395930,78759,A300ED001904,163,237,1049
24/07/2020 14:43:17.190,589405,AM1V310 @395930,78765,B300BE00D403,179,190,980
24/07/2020 14:43:17.219,589433,AM1V310 @395930,78771,9400AC00E403,148,172,996
24/07/2020 14:43:17.279,589495,AM1V310 @395930,78777,4500CFFF5C03,69,-49,860
24/07/2020 14:43:17.340,589555,AM1V310 @395930,78784,B800DAFF9003,184,-38,912
24/07/2020 14:43:17.369,589584,AM1V310 @395930,78790,69003AFF2E03,105,-198,814
24/07/2020 14:43:17.430,589645,AM1V310 @395930,78796,1500D3FE4C03,21,-301,844
24/07/2020 14:43:17.490,589705,AM1V310 @395930,78802,0A00AFFEB503,10,-337,949
24/07/2020 14:43:17.519,589734,AM1V310 @395930,78809,1B0099FEDF03,27,-359,991
24/07/2020 14:43:17.580,589795,AM1V310 @395930,78815,5F00D6FE3404,95,-298,1076
24/07/2020 14:43:17.640,589855,AM1V310 @395930,78821,5600E4FE2C04,86,-284,1068
24/07/2020 14:43:17.670,589885,AM1V310 @395930,78827,990010FFEE03,153,-240,1006
24/07/2020 14:43:17.730,589945,AM1V310 @395930,78834,A50032FFDA03,165,-206,986
24/07/2020 14:43:17.789,590004,AM1V310 @395930,78840,B3006FFFF203,179,-145,1010
24/07/2020 14:43:17.822,590037,AM1V310 @395930,78846,D0007FFFDE03,208,-129,990
24/07/2020 14:43:17.879,590094,AM1V310 @395930,78852,B30063FFC603,179,-157,966
24/07/2020 14:43:17.910,590125,AM1V310 @395930,78859,890058FFAC03,137,-168,940
24/07/2020 14:43:17.970,590186,AM1V310 @395930,78865,BA006CFFA803,186,-148,936
24/07/2020 14:43:18.030,590245,AM1V310 @395930,78871,C3008AFFDC03,195,-118,988
24/07/2020 14:43:18.059,590274,AM1V310 @395930,78877,C000AEFF0804,192,-82,1032
24/07/2020 14:43:18.120,590335,AM1V310 @395930,78884,CC00A0FFF103,204,-96,1009
24/07/2020 14:43:18.180,590396,AM1V310 @395930,78890,CF0088FFDB03,207,-120,987
24/07/2020 14:43:18.209,590425,AM1V310 @395930,78896,C3008DFFEC03,195,-115,1004
24/07/2020 14:43:18.270,590486,AM1V310 @395930,78902,B70097FFFF03,183,-105,1023
24/07/2020 14:43:18.330,590545,AM1V310 @395930,78909,B2008CFFE503,178,-116,997
24/07/2020 14:43:18.359,590574,AM1V310 @395930,78915,BB0091FFE403,187,-111,996
24/07/2020 14:43:18.420,590635,AM1V310 @395930,78921,B200A1FFF503,178,-95,1013
24/07/2020 14:43:18.481,590696,AM1V310 @395930,78927,C0007FFFC703,192,-129,967
24/07/2020 14:43:18.513,590728,AM1V310 @395930,78934,BE0090FFDA03,190,-112,986
