Logged started on,24/07/2020 18:45:17
Feature,Magnetometer
Nodes,AM1V310 @305F47

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (mGa),Y (mGa),Z (mGa)
24/07/2020 19:04:42.719,1165643,AM1V310 @305F47,157490,FF0037FF09FF,255,-201,-247
24/07/2020 19:04:42.779,1165693,AM1V310 @305F47,157496,080131FF0AFF,264,-207,-246
24/07/2020 19:04:42.809,1165722,AM1V310 @305F47,157503,0E0136FF0DFF,270,-202,-243
24/07/2020 19:04:42.869,1165782,AM1V310 @305F47,157509,020134FF01FF,258,-204,-255
24/07/2020 19:04:42.929,1165843,AM1V310 @305F47,157515,03013CFF06FF,259,-196,-250
24/07/2020 19:04:42.959,1165872,AM1V310 @305F47,157521,00013FFFF7FE,256,-193,-265
24/07/2020 19:04:43.019,1165933,AM1V310 @305F47,157528,000148FF00FF,256,-184,-256
24/07/2020 19:04:43.079,1165993,AM1V310 @305F47,157534,FD0051FFFAFE,253,-175,-262
24/07/2020 19:04:43.109,1166022,AM1V310 @305F47,157540,F00052FFF4FE,240,-174,-268
24/07/2020 19:04:43.169,1166083,AM1V310 @305F47,157546,F60054FFF1FE,246,-172,-271
24/07/2020 19:04:43.229,1166143,AM1V310 @305F47,157553,F30058FFF2FE,243,-168,-270
24/07/2020 19:04:43.259,1166172,AM1V310 @305F47,157559,F30058FFF2FE,243,-168,-270
24/07/2020 19:04:43.319,1166233,AM1V310 @305F47,157565,F0004BFFE6FE,240,-181,-282
24/07/2020 19:04:43.379,1166293,AM1V310 @305F47,157571,F60054FFE9FE,246,-172,-279
24/07/2020 19:04:43.409,1166322,AM1V310 @305F47,157578,EE0040FFE2FE,238,-192,-286
24/07/2020 19:04:43.469,1166382,AM1V310 @305F47,157584,F10040FFD9FE,241,-192,-295
24/07/2020 19:04:43.529,1166443,AM1V310 @305F47,157590,ED004BFFD6FE,237,-181,-298
24/07/2020 19:04:43.559,1166472,AM1V310 @305F47,157596,F40045FFD6FE,244,-187,-298
24/07/2020 19:04:43.619,1166533,AM1V310 @305F47,157603,ED0040FFCAFE,237,-192,-310
24/07/2020 19:04:43.680,1166593,AM1V310 @305F47,157609,F00045FFD3FE,240,-187,-301
24/07/2020 19:04:43.709,1166622,AM1V310 @305F47,157615,F40051FFD0FE,244,-175,-304
24/07/2020 19:04:43.769,1166683,AM1V310 @305F47,157621,F60043FFCAFE,246,-189,-310
24/07/2020 19:04:43.859,1166773,AM1V310 @305F47,157628,F6003AFFCDFE,246,-198,-307
24/07/2020 19:04:43.889,1166802,AM1V310 @305F47,157634,F30042FFD4FE,243,-190,-300
24/07/2020 19:04:43.925,1166838,AM1V310 @305F47,157640,FC003DFFD0FE,252,-195,-304
24/07/2020 19:04:43.979,1166892,AM1V310 @305F47,157646,FF0042FFCBFE,255,-190,-309
24/07/2020 19:04:44.009,1166922,AM1V310 @305F47,157653,F70046FFCDFE,247,-186,-307
24/07/2020 19:04:44.069,1166982,AM1V310 @305F47,157659,F90042FFCEFE,249,-190,-306
24/07/2020 19:04:44.129,1167042,AM1V310 @305F47,157665,030140FFCDFE,259,-192,-307
24/07/2020 19:04:44.166,1167079,AM1V310 @305F47,157671,030146FFCBFE,259,-186,-309
24/07/2020 19:04:44.219,1167132,AM1V310 @305F47,157678,090145FFC5FE,265,-187,-315
24/07/2020 19:04:44.279,1167193,AM1V310 @305F47,157684,030137FFC5FE,259,-201,-315
24/07/2020 19:04:44.309,1167222,AM1V310 @305F47,157690,0B0137FFC2FE,267,-201,-318
24/07/2020 19:04:44.369,1167282,AM1V310 @305F47,157696,110134FFD4FE,273,-204,-300
24/07/2020 19:04:44.429,1167342,AM1V310 @305F47,157703,0F012DFFCDFE,271,-211,-307
24/07/2020 19:04:44.459,1167372,AM1V310 @305F47,157709,0F012DFFCAFE,271,-211,-310
24/07/2020 19:04:44.519,1167432,AM1V310 @305F47,157715,0C012DFFC5FE,268,-211,-315
24/07/2020 19:04:44.579,1167492,AM1V310 @305F47,157721,0E0136FFCAFE,270,-202,-310
24/07/2020 19:04:44.609,1167522,AM1V310 @305F47,157728,1B012DFFC8FE,283,-211,-312
24/07/2020 19:04:44.669,1167582,AM1V310 @305F47,157734,120136FFC8FE,274,-202,-312
24/07/2020 19:04:44.729,1167642,AM1V310 @305F47,157740,120133FFCEFE,274,-205,-306
24/07/2020 19:04:44.759,1167672,AM1V310 @305F47,157746,18012BFFD1FE,280,-213,-303
24/07/2020 19:04:44.819,1167732,AM1V310 @305F47,157753,110134FFD1FE,273,-204,-303
24/07/2020 19:04:44.879,1167793,AM1V310 @305F47,157759,120139FFCEFE,274,-199,-306
24/07/2020 19:04:44.909,1167822,AM1V310 @305F47,157765,1A0134FFD0FE,282,-204,-304
24/07/2020 19:04:44.969,1167882,AM1V310 @305F47,157771,12013FFFD4FE,274,-193,-300
24/07/2020 19:04:45.029,1167943,AM1V310 @305F47,157778,110136FFCAFE,273,-202,-310
24/07/2020 19:04:45.059,1167972,AM1V310 @305F47,157784,140139FFCDFE,276,-199,-307
24/07/2020 19:04:45.119,1168032,AM1V310 @305F47,157790,170137FFD3FE,279,-201,-301
24/07/2020 19:04:45.179,1168093,AM1V310 @305F47,157796,12013AFFCDFE,274,-198,-307
24/07/2020 19:04:45.209,1168122,AM1V310 @305F47,157803,140140FFCDFE,276,-192,-307
