Logged started on,24/07/2020 18:45:17
Feature,Gyroscope
Nodes,AM1V310 @305F47

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (dps),Y (dps),Z (dps)
24/07/2020 19:06:34.048,1276968,AM1V310 @305F47,171409,F9FF8701ACFF,-0.7,39.1,-8.4
24/07/2020 19:06:34.108,1277021,AM1V310 @305F47,171415,3300120294FF,5.1,53,-10.8
24/07/2020 19:06:34.168,1277082,AM1V310 @305F47,171421,76FF4801B3FF,-13.8,32.8,-7.7
24/07/2020 19:06:34.199,1277112,AM1V310 @305F47,171428,310043011700,4.9,32.3,2.3
24/07/2020 19:06:34.259,1277172,AM1V310 @305F47,171434,0D0012007900,1.3,1.8,12.1
24/07/2020 19:06:34.319,1277232,AM1V310 @305F47,171440,0F0049FFCDFF,1.5,-18.3,-5.1
24/07/2020 19:06:34.348,1277261,AM1V310 @305F47,171446,6FFFC5FEBE00,-14.5,-31.5,19
24/07/2020 19:06:34.409,1277322,AM1V310 @305F47,171453,7700AEFE3D00,11.9,-33.8,6.1
24/07/2020 19:06:34.468,1277382,AM1V310 @305F47,171459,7DFF96FE4F00,-13.1,-36.2,7.9
24/07/2020 19:06:34.498,1277411,AM1V310 @305F47,171465,1900BBFEB600,2.5,-32.5,18.2
24/07/2020 19:06:34.558,1277472,AM1V310 @305F47,171471,C3FF04FF0C00,-6.1,-25.2,1.2
24/07/2020 19:06:34.618,1277532,AM1V310 @305F47,171478,1A006AFF4500,2.6,-15,6.9
24/07/2020 19:06:34.648,1277561,AM1V310 @305F47,171484,56001CFF74FF,8.6,-22.8,-14
24/07/2020 19:06:34.708,1277621,AM1V310 @305F47,171490,A0FF9AFF0E00,-9.6,-10.2,1.4
24/07/2020 19:06:34.768,1277682,AM1V310 @305F47,171496,68004AFF62FF,10.4,-18.2,-15.8
24/07/2020 19:06:34.798,1277711,AM1V310 @305F47,171503,760017FF64FF,11.8,-23.3,-15.6
24/07/2020 19:06:34.859,1277772,AM1V310 @305F47,171509,5D00ABFE62FF,9.3,-34.1,-15.8
24/07/2020 19:06:34.918,1277832,AM1V310 @305F47,171515,F0FFE1FEB8FF,-1.6,-28.7,-7.2
24/07/2020 19:06:34.948,1277862,AM1V310 @305F47,171521,C1FF20FFB4FF,-6.3,-22.4,-7.6
24/07/2020 19:06:35.011,1277924,AM1V310 @305F47,171528,79FF46FFECFF,-13.5,-18.6,-2
24/07/2020 19:06:35.068,1277982,AM1V310 @305F47,171534,93FF88FF2900,-10.9,-12,4.1
24/07/2020 19:06:35.098,1278011,AM1V310 @305F47,171540,AEFF8EFF7100,-8.2,-11.4,11.3
24/07/2020 19:06:35.158,1278071,AM1V310 @305F47,171546,87FFE9FF2C00,-12.1,-2.3,4.4
24/07/2020 19:06:35.219,1278132,AM1V310 @305F47,171553,BAFFCFFF2300,-7,-4.9,3.5
24/07/2020 19:06:35.248,1278161,AM1V310 @305F47,171559,F8FFE5FF3800,-0.8,-2.7,5.6
24/07/2020 19:06:35.308,1278221,AM1V310 @305F47,171565,E2FFCCFFFAFF,-3,-5.2,-0.6
24/07/2020 19:06:35.368,1278282,AM1V310 @305F47,171571,CBFFE4FF2800,-5.3,-2.8,4
24/07/2020 19:06:35.398,1278311,AM1V310 @305F47,171578,CBFFEAFF1B00,-5.3,-2.2,2.7
24/07/2020 19:06:35.459,1278372,AM1V310 @305F47,171584,D1FFE3FFFBFF,-4.7,-2.9,-0.5
24/07/2020 19:06:35.519,1278432,AM1V310 @305F47,171590,79FFF0FF3300,-13.5,-1.6,5.1
24/07/2020 19:06:35.548,1278461,AM1V310 @305F47,171596,A5FF25001200,-9.1,3.7,1.8
24/07/2020 19:06:35.608,1278521,AM1V310 @305F47,171603,F2FF1A000600,-1.4,2.6,0.6
24/07/2020 19:06:35.669,1278582,AM1V310 @305F47,171609,FCFFF9FF0200,-0.4,-0.7,0.2
24/07/2020 19:06:35.698,1278611,AM1V310 @305F47,171615,E2FF11002600,-3,1.7,3.8
24/07/2020 19:06:35.759,1278672,AM1V310 @305F47,171621,E2FF0A002E00,-3,1,4.6
24/07/2020 19:06:35.818,1278732,AM1V310 @305F47,171628,0D00EDFF0700,1.3,-1.9,0.7
24/07/2020 19:06:35.848,1278762,AM1V310 @305F47,171634,CCFF2A004300,-5.2,4.2,6.7
24/07/2020 19:06:35.908,1278822,AM1V310 @305F47,171640,F2FF2A001900,-1.4,4.2,2.5
24/07/2020 19:06:35.968,1278882,AM1V310 @305F47,171646,2900FDFFF0FF,4.1,-0.3,-1.6
