Logged started on,24/07/2020 15:06:32
Feature,Gyroscope
Nodes,AM1V310 @395930

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (dps),Y (dps),Z (dps)
24/07/2020 15:13:43.582,431371,AM1V310 @395930,110486,7400CD0202FF,11.6,71.7,-25.4
24/07/2020 15:13:43.612,431389,AM1V310 @395930,110492,EBFD4AFF1D00,-53.3,-18.2,2.9
24/07/2020 15:13:43.672,431450,AM1V310 @395930,110498,0100CBFF26FF,0.1,-5.3,-21.8
24/07/2020 15:13:43.732,431510,AM1V310 @395930,110505,19005BFF09FF,2.5,-16.5,-24.7
24/07/2020 15:13:43.823,431601,AM1V310 @395930,110511,B200A3FF6BFF,17.8,-9.3,-14.9
24/07/2020 15:13:43.846,431623,AM1V310 @395930,110517,72005100C1FF,11.4,8.1,-6.3
24/07/2020 15:13:43.913,431690,AM1V310 @395930,110530,5D012E005800,34.9,4.6,8.8
24/07/2020 15:13:43.913,431690,AM1V310 @395930,110523,4001FDFE6900,32,-25.9,10.5
24/07/2020 15:13:43.972,431749,AM1V310 @395930,110536,8A0094000900,13.8,14.8,0.9
24/07/2020 15:13:44.032,431809,AM1V310 @395930,110542,1E0106FFEBFF,28.6,-25,-2.1
24/07/2020 15:13:44.062,431839,AM1V310 @395930,110548,CCFF24FF0600,-5.2,-22,0.6
24/07/2020 15:13:44.123,431901,AM1V310 @395930,110555,C7FF4FFF3300,-5.7,-17.7,5.1
24/07/2020 15:13:44.182,431960,AM1V310 @395930,110561,61FF2EFFC300,-15.9,-21,19.5
24/07/2020 15:13:44.212,431989,AM1V310 @395930,110567,97FFB2FF7D00,-10.5,-7.8,12.5
24/07/2020 15:13:44.273,432050,AM1V310 @395930,110573,DCFF07001C00,-3.6,0.7,2.8
24/07/2020 15:13:44.333,432110,AM1V310 @395930,110580,BDFF7F00E9FF,-6.7,12.7,-2.3
24/07/2020 15:13:44.362,432139,AM1V310 @395930,110586,BEFF40000200,-6.6,6.4,0.2
24/07/2020 15:13:44.423,432200,AM1V310 @395930,110592,E1FFEBFF2D00,-3.1,-2.1,4.5
24/07/2020 15:13:44.482,432260,AM1V310 @395930,110598,D0FFEEFF3F00,-4.8,-1.8,6.3
24/07/2020 15:13:44.512,432290,AM1V310 @395930,110605,DCFF4F002400,-3.6,7.9,3.6
24/07/2020 15:13:44.573,432351,AM1V310 @395930,110611,C1FF0B006000,-6.3,1.1,9.6
24/07/2020 15:13:44.633,432411,AM1V310 @395930,110617,A1FF02004F00,-9.5,0.2,7.9
24/07/2020 15:13:44.662,432439,AM1V310 @395930,110623,95FF19005800,-10.7,2.5,8.8
24/07/2020 15:13:44.723,432500,AM1V310 @395930,110630,86FF30003A00,-12.2,4.8,5.8
24/07/2020 15:13:44.783,432560,AM1V310 @395930,110636,B1FF13000C00,-7.9,1.9,1.2
24/07/2020 15:13:44.812,432589,AM1V310 @395930,110642,D9FF1D00F4FF,-3.9,2.9,-1.2
24/07/2020 15:13:44.876,432653,AM1V310 @395930,110648,BFFF1F002D00,-6.5,3.1,4.5
24/07/2020 15:13:44.933,432711,AM1V310 @395930,110655,BCFF21004500,-6.8,3.3,6.9
24/07/2020 15:13:44.993,432770,AM1V310 @395930,110661,B0FF46006600,-8,7,10.2
24/07/2020 15:13:45.022,432799,AM1V310 @395930,110667,B2FF2E008400,-7.8,4.6,13.2
24/07/2020 15:13:45.083,432860,AM1V310 @395930,110673,ACFF0E006900,-8.4,1.4,10.5
24/07/2020 15:13:45.112,432889,AM1V310 @395930,110680,F9FF00004B00,-0.7,0,7.5
24/07/2020 15:13:45.173,432950,AM1V310 @395930,110686,09000A002100,0.9,1,3.3
24/07/2020 15:13:45.233,433010,AM1V310 @395930,110692,F8FFEEFF1900,-0.8,-1.8,2.5
24/07/2020 15:13:45.262,433039,AM1V310 @395930,110698,2000E4FF1D00,3.2,-2.8,2.9
24/07/2020 15:13:45.323,433100,AM1V310 @395930,110705,FAFF0A001C00,-0.6,1,2.8
24/07/2020 15:13:45.383,433160,AM1V310 @395930,110711,0C00F7FF2000,1.2,-0.9,3.2
24/07/2020 15:13:45.412,433190,AM1V310 @395930,110717,ECFFFFFF2400,-2,-0.1,3.6
24/07/2020 15:13:45.474,433251,AM1V310 @395930,110723,E9FFF7FF4100,-2.3,-0.9,6.5
24/07/2020 15:13:45.533,433310,AM1V310 @395930,110730,D6FF00004400,-4.2,0,6.8
24/07/2020 15:13:45.562,433339,AM1V310 @395930,110736,BCFFE0FF4F00,-6.8,-3.2,7.9
24/07/2020 15:13:45.623,433400,AM1V310 @395930,110742,B7FFE7FF3C00,-7.3,-2.5,6
24/07/2020 15:13:45.683,433460,AM1V310 @395930,110748,C2FFAAFF4600,-6.2,-8.6,7
24/07/2020 15:13:45.712,433489,AM1V310 @395930,110755,88FFEEFF6E00,-12,-1.8,11
24/07/2020 15:13:45.772,433550,AM1V310 @395930,110761,A3FFA0FF9E00,-9.3,-9.6,15.8
24/07/2020 15:13:45.833,433611,AM1V310 @395930,110767,B4FF75FFE000,-7.6,-13.9,22.4
24/07/2020 15:13:45.862,433639,AM1V310 @395930,110773,C2FF87FFEB00,-6.2,-12.1,23.5
24/07/2020 15:13:45.922,433699,AM1V310 @395930,110780,370041FF0301,5.5,-19.1,25.9
