Logged started on,24/07/2020 18:45:17
Feature,Gyroscope
Nodes,AM1V310 @305F47

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (dps),Y (dps),Z (dps)
24/07/2020 18:52:39.010,441932,AM1V310 @305F47,67015,0000F2FFDEFF,0,-1.4,-3.4
24/07/2020 18:52:39.040,441953,AM1V310 @305F47,67021,FCFFE7FFD9FF,-0.4,-2.5,-3.9
24/07/2020 18:52:39.100,442013,AM1V310 @305F47,67028,0200CDFFCCFF,0.2,-5.1,-5.2
24/07/2020 18:52:39.160,442073,AM1V310 @305F47,67034,0900A1FFBDFF,0.9,-9.5,-6.7
24/07/2020 18:52:39.190,442103,AM1V310 @305F47,67040,6201CDFF5B00,35.4,-5.1,9.1
24/07/2020 18:52:39.250,442163,AM1V310 @305F47,67046,460024FFD1FF,7,-22,-4.7
24/07/2020 18:52:39.310,442223,AM1V310 @305F47,67053,3A00F5FFEEFF,5.8,-1.1,-1.8
24/07/2020 18:52:39.340,442253,AM1V310 @305F47,67059,C1FF4600AEFF,-6.3,7,-8.2
24/07/2020 18:52:39.400,442313,AM1V310 @305F47,67065,81FFAC000100,-12.7,17.2,0.1
24/07/2020 18:52:39.460,442373,AM1V310 @305F47,67071,94FFC900A8FF,-10.8,20.1,-8.8
24/07/2020 18:52:39.490,442403,AM1V310 @305F47,67078,D2FFDD00D9FF,-4.6,22.1,-3.9
24/07/2020 18:52:39.550,442463,AM1V310 @305F47,67084,9FFF1C010C00,-9.7,28.4,1.2
24/07/2020 18:52:39.610,442524,AM1V310 @305F47,67090,42FF7700C8FF,-19,11.9,-5.6
24/07/2020 18:52:39.640,442553,AM1V310 @305F47,67096,A9FFB7005100,-8.7,18.3,8.1
24/07/2020 18:52:39.700,442614,AM1V310 @305F47,67103,60FFBB00A000,-16,18.7,16
24/07/2020 18:52:39.760,442673,AM1V310 @305F47,67109,BFFF1F002000,-6.5,3.1,3.2
24/07/2020 18:52:39.790,442703,AM1V310 @305F47,67115,B8FF5D005F00,-7.2,9.3,9.5
24/07/2020 18:52:39.850,442763,AM1V310 @305F47,67121,B7FF0E007400,-7.3,1.4,11.6
24/07/2020 18:52:39.910,442823,AM1V310 @305F47,67128,F2FFCFFF0E00,-1.4,-4.9,1.4
24/07/2020 18:52:39.940,442853,AM1V310 @305F47,67134,DCFF5EFFF3FF,-3.6,-16.2,-1.3
24/07/2020 18:52:40.000,442913,AM1V310 @305F47,67140,B6FF2DFF1800,-7.4,-21.1,2.4
24/07/2020 18:52:40.060,442973,AM1V310 @305F47,67146,CAFFC1FEE4FF,-5.4,-31.9,-2.8
24/07/2020 18:52:40.090,443003,AM1V310 @305F47,67153,EBFF7FFDD3FF,-2.1,-64.1,-4.5
24/07/2020 18:52:40.150,443063,AM1V310 @305F47,67159,FEFF17FF60FF,-0.2,-23.3,-16
24/07/2020 18:52:40.210,443123,AM1V310 @305F47,67165,5B00E0FF7400,9.1,-3.2,11.6
24/07/2020 18:52:40.240,443153,AM1V310 @305F47,67171,D4FFF8FF0400,-4.4,-0.8,0.4
24/07/2020 18:52:40.300,443214,AM1V310 @305F47,67178,38FF2DFFB0FF,-20,-21.1,-8
24/07/2020 18:52:40.360,443274,AM1V310 @305F47,67184,7AFFAC001E00,-13.4,17.2,3
24/07/2020 18:52:40.390,443303,AM1V310 @305F47,67190,6CFFB600D9FF,-14.8,18.2,-3.9
24/07/2020 18:52:40.450,443363,AM1V310 @305F47,67196,6AFF33019700,-15,30.7,15.1
24/07/2020 18:52:40.510,443423,AM1V310 @305F47,67203,BBFF28007400,-6.9,4,11.6
24/07/2020 18:52:40.540,443453,AM1V310 @305F47,67209,E4FFD2FF3300,-2.8,-4.6,5.1
24/07/2020 18:52:40.600,443514,AM1V310 @305F47,67215,A3FF54001E00,-9.3,8.4,3
24/07/2020 18:52:40.660,443573,AM1V310 @305F47,67221,AEFE1CFF0000,-33.8,-22.8,0
24/07/2020 18:52:40.714,443627,AM1V310 @305F47,67228,5FFF72FFE8FF,-16.1,-14.2,-2.4
24/07/2020 18:52:40.750,443663,AM1V310 @305F47,67234,FEFF6F00C9FF,-0.2,11.1,-5.5
24/07/2020 18:52:40.810,443723,AM1V310 @305F47,67240,43FF0EFFA6FF,-18.9,-24.2,-9
24/07/2020 18:52:40.840,443753,AM1V310 @305F47,67246,3100FFFF9EFF,4.9,-0.1,-9.8
24/07/2020 18:52:40.900,443813,AM1V310 @305F47,67253,5600150091FF,8.6,2.1,-11.1
24/07/2020 18:52:40.960,443873,AM1V310 @305F47,67259,6D00EE00A1FF,10.9,23.8,-9.5
24/07/2020 18:52:40.990,443903,AM1V310 @305F47,67265,3B008E000D00,5.9,14.2,1.3
24/07/2020 18:52:41.050,443963,AM1V310 @305F47,67271,310027004500,4.9,3.9,6.9
24/07/2020 18:52:41.110,444023,AM1V310 @305F47,67278,3C0070003801,6,11.2,31.2
24/07/2020 18:52:41.140,444052,AM1V310 @305F47,67284,4F009BFFD100,7.9,-10.1,20.9
24/07/2020 18:52:41.200,444114,AM1V310 @305F47,67290,1E0066FF1401,3,-15.4,27.6
24/07/2020 18:52:41.260,444173,AM1V310 @305F47,67296,1A0073FFB400,2.6,-14.1,18
24/07/2020 18:52:41.290,444203,AM1V310 @305F47,67303,DEFF42FF5400,-3.4,-19,8.4
24/07/2020 18:52:41.350,444263,AM1V310 @305F47,67309,A1FF4BFF7200,-9.5,-18.1,11.4
24/07/2020 18:52:41.410,444323,AM1V310 @305F47,67315,B4FF46003A00,-7.6,7,5.8
24/07/2020 18:52:41.440,444353,AM1V310 @305F47,67321,19002C00ECFF,2.5,4.4,-2
24/07/2020 18:52:41.500,444413,AM1V310 @305F47,67328,2A000D000700,4.2,1.3,0.7
24/07/2020 18:52:41.560,444473,AM1V310 @305F47,67334,24000F002D00,3.6,1.5,4.5
24/07/2020 18:52:41.590,444503,AM1V310 @305F47,67340,FFFF4F002C00,-0.1,7.9,4.4
24/07/2020 18:52:41.650,444563,AM1V310 @305F47,67346,43004F004F00,6.7,7.9,7.9
24/07/2020 18:52:41.710,444623,AM1V310 @305F47,67353,2E007E009200,4.6,12.6,14.6
24/07/2020 18:52:41.740,444653,AM1V310 @305F47,67359,A8FFF0FFF9FF,-8.8,-1.6,-0.7
24/07/2020 18:52:41.800,444713,AM1V310 @305F47,67365,09005B00E1FF,0.9,9.1,-3.1
24/07/2020 18:52:41.860,444773,AM1V310 @305F47,67371,CFFF3100E9FF,-4.9,4.9,-2.3
24/07/2020 18:52:41.890,444803,AM1V310 @305F47,67378,DBFF09003400,-3.7,0.9,5.2
24/07/2020 18:52:41.950,444863,AM1V310 @305F47,67384,A0FFCEFF5100,-9.6,-5,8.1
24/07/2020 18:52:42.010,444923,AM1V310 @305F47,67390,D0FF25003D00,-4.8,3.7,6.1
24/07/2020 18:52:42.040,444953,AM1V310 @305F47,67396,E2FF23000200,-3,3.5,0.2
