Logged started on,24/07/2020 18:45:17
Feature,Accelerometer
Nodes,AM1V310 @305F47

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (mg),Y (mg),Z (mg)
24/07/2020 18:53:24.189,487109,AM1V310 @305F47,72665,58FFFDFB2D00,-168,-1027,45
24/07/2020 18:53:24.249,487163,AM1V310 @305F47,72671,2AFF00FC0B00,-214,-1024,11
24/07/2020 18:53:24.279,487192,AM1V310 @305F47,72678,2CFFD4FB6500,-212,-1068,101
24/07/2020 18:53:24.339,487253,AM1V310 @305F47,72684,9EFF28FC3C00,-98,-984,60
24/07/2020 18:53:24.400,487313,AM1V310 @305F47,72690,64FF02FC2100,-156,-1022,33
24/07/2020 18:53:24.429,487342,AM1V310 @305F47,72696,DDFF0FFC5900,-35,-1009,89
24/07/2020 18:53:24.489,487403,AM1V310 @305F47,72703,F3FF18FC5700,-13,-1000,87
24/07/2020 18:53:24.549,487463,AM1V310 @305F47,72709,0A000CFC4700,10,-1012,71
24/07/2020 18:53:24.579,487492,AM1V310 @305F47,72715,000019FC8100,0,-999,129
24/07/2020 18:53:24.639,487552,AM1V310 @305F47,72721,EBFF31FC4400,-21,-975,68
24/07/2020 18:53:24.700,487613,AM1V310 @305F47,72728,9DFF2EFC2900,-99,-978,41
24/07/2020 18:53:24.729,487642,AM1V310 @305F47,72734,A3FF26FC3600,-93,-986,54
24/07/2020 18:53:24.789,487703,AM1V310 @305F47,72740,FFFF42FC2900,-1,-958,41
24/07/2020 18:53:24.849,487763,AM1V310 @305F47,72746,EBFF0DFC5800,-21,-1011,88
24/07/2020 18:53:24.879,487792,AM1V310 @305F47,72753,200020FC3200,32,-992,50
24/07/2020 18:53:24.940,487853,AM1V310 @305F47,72759,000020FC5100,0,-992,81
24/07/2020 18:53:24.999,487913,AM1V310 @305F47,72765,020025FC1D00,2,-987,29
24/07/2020 18:53:25.030,487942,AM1V310 @305F47,72771,E2FF0BFC4000,-30,-1013,64
24/07/2020 18:53:25.090,488003,AM1V310 @305F47,72778,FAFF1FFC3E00,-6,-993,62
24/07/2020 18:53:25.149,488063,AM1V310 @305F47,72784,A9FF26FC1F00,-87,-986,31
24/07/2020 18:53:25.179,488092,AM1V310 @305F47,72790,A6FF13FC6100,-90,-1005,97
24/07/2020 18:53:25.239,488153,AM1V310 @305F47,72796,91FF3DFC1800,-111,-963,24
24/07/2020 18:53:25.314,488227,AM1V310 @305F47,72803,3CFF07FC4C00,-196,-1017,76
24/07/2020 18:53:25.346,488259,AM1V310 @305F47,72809,39FF0BFC2A00,-199,-1013,42
24/07/2020 18:53:25.389,488302,AM1V310 @305F47,72815,A9FF18FC2800,-87,-1000,40
24/07/2020 18:53:25.462,488375,AM1V310 @305F47,72821,570046FC2800,87,-954,40
24/07/2020 18:53:25.479,488392,AM1V310 @305F47,72828,25003BFC5900,37,-965,89
24/07/2020 18:53:25.540,488453,AM1V310 @305F47,72834,520043FC3300,82,-957,51
24/07/2020 18:53:25.599,488512,AM1V310 @305F47,72840,5D0043FC2200,93,-957,34
24/07/2020 18:53:25.629,488542,AM1V310 @305F47,72846,C4000BFCFE00,196,-1013,254
24/07/2020 18:53:25.689,488603,AM1V310 @305F47,72853,EEFFFAFBC200,-18,-1030,194
24/07/2020 18:53:25.749,488662,AM1V310 @305F47,72859,94000CFCA100,148,-1012,161
24/07/2020 18:53:25.779,488692,AM1V310 @305F47,72865,D9FFF1FBA000,-39,-1039,160
24/07/2020 18:53:25.840,488753,AM1V310 @305F47,72871,17000AFC7500,23,-1014,117
24/07/2020 18:53:25.899,488812,AM1V310 @305F47,72878,72001FFC8100,114,-993,129
24/07/2020 18:53:25.930,488843,AM1V310 @305F47,72884,9AFF05FC4300,-102,-1019,67
24/07/2020 18:53:25.989,488902,AM1V310 @305F47,72890,BBFF19FC3600,-69,-999,54
24/07/2020 18:53:26.049,488962,AM1V310 @305F47,72896,C0FF1DFC2D00,-64,-995,45
24/07/2020 18:53:26.079,488992,AM1V310 @305F47,72903,CBFF0EFC4C00,-53,-1010,76
24/07/2020 18:53:26.139,489053,AM1V310 @305F47,72909,D2FF1FFC2100,-46,-993,33
24/07/2020 18:53:26.199,489113,AM1V310 @305F47,72915,91FF22FC3900,-111,-990,57
24/07/2020 18:53:26.230,489143,AM1V310 @305F47,72921,B9FF24FC4100,-71,-988,65
24/07/2020 18:53:26.289,489203,AM1V310 @305F47,72928,97FF18FC3600,-105,-1000,54
24/07/2020 18:53:26.349,489263,AM1V310 @305F47,72934,FFFF2CFC4000,-1,-980,64
24/07/2020 18:53:26.379,489292,AM1V310 @305F47,72940,72FF02FC7600,-142,-1022,118
