Logged started on,24/07/2020 18:45:17
Feature,Gyroscope
Nodes,AM1V310 @305F47

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (dps),Y (dps),Z (dps)
24/07/2020 18:55:52.718,635640,AM1V310 @305F47,91234,8BFF95FFA8FF,-11.7,-10.7,-8.8
24/07/2020 18:55:52.778,635691,AM1V310 @305F47,91240,7301A1FF77FF,37.1,-9.5,-13.7
24/07/2020 18:55:52.838,635752,AM1V310 @305F47,91246,980175FF7E00,40.8,-13.9,12.6
24/07/2020 18:55:52.868,635781,AM1V310 @305F47,91253,740028010301,11.6,29.6,25.9
24/07/2020 18:55:52.928,635841,AM1V310 @305F47,91259,D9FFC701DB00,-3.9,45.5,21.9
24/07/2020 18:55:52.988,635902,AM1V310 @305F47,91265,15FFC6004A00,-23.5,19.8,7.4
24/07/2020 18:55:53.018,635932,AM1V310 @305F47,91271,25FFF400C1FF,-21.9,24.4,-6.3
24/07/2020 18:55:53.079,635992,AM1V310 @305F47,91278,74FF9E0083FF,-14,15.8,-12.5
24/07/2020 18:55:53.138,636052,AM1V310 @305F47,91284,91002B014EFF,14.5,29.9,-17.8
24/07/2020 18:55:53.168,636082,AM1V310 @305F47,91290,FFFFEFFFE5FD,-0.1,-1.7,-53.9
24/07/2020 18:55:53.258,636172,AM1V310 @305F47,91296,1700AC0134FF,2.3,42.8,-20.4
24/07/2020 18:55:53.288,636201,AM1V310 @305F47,91303,76FF170095FF,-13.8,2.3,-10.7
24/07/2020 18:55:53.319,636232,AM1V310 @305F47,91309,C3FFEF006400,-6.1,23.9,10
24/07/2020 18:55:53.378,636291,AM1V310 @305F47,91315,8AFF6A009600,-11.8,10.6,15
24/07/2020 18:55:53.443,636356,AM1V310 @305F47,91321,B4FFEBFFC800,-7.6,-2.1,20
24/07/2020 18:55:53.474,636386,AM1V310 @305F47,91328,EDFFC2FFBA00,-1.9,-6.2,18.6
24/07/2020 18:55:53.558,636471,AM1V310 @305F47,91334,E3FFBEFF6A00,-2.9,-6.6,10.6
24/07/2020 18:55:53.588,636502,AM1V310 @305F47,91340,C6FFC8FF2300,-5.8,-5.6,3.5
24/07/2020 18:55:53.618,636532,AM1V310 @305F47,91346,DAFFF0FF2800,-3.8,-1.6,4
24/07/2020 18:55:53.678,636591,AM1V310 @305F47,91353,2800A1FFE9FF,4,-9.5,-2.3
24/07/2020 18:55:53.738,636651,AM1V310 @305F47,91359,2200F0FF2000,3.4,-1.6,3.2
24/07/2020 18:55:53.768,636681,AM1V310 @305F47,91365,0600F6FF2100,0.6,-1,3.3
24/07/2020 18:55:53.828,636742,AM1V310 @305F47,91371,EFFF1C002000,-1.7,2.8,3.2
24/07/2020 18:55:53.888,636801,AM1V310 @305F47,91378,D6FF35000E00,-4.2,5.3,1.4
24/07/2020 18:55:53.918,636832,AM1V310 @305F47,91384,C5FF1800CCFF,-5.9,2.4,-5.2
24/07/2020 18:55:53.978,636891,AM1V310 @305F47,91390,EFFF7900C6FF,-1.7,12.1,-5.8
24/07/2020 18:55:54.038,636952,AM1V310 @305F47,91396,C7FF4D00A3FF,-5.7,7.7,-9.3
24/07/2020 18:55:54.069,636982,AM1V310 @305F47,91403,CAFF4300E9FF,-5.4,6.7,-2.3
24/07/2020 18:55:54.128,637041,AM1V310 @305F47,91409,D3FFFAFF0E00,-4.5,-0.6,1.4
24/07/2020 18:55:54.188,637102,AM1V310 @305F47,91415,170026002800,2.3,3.8,4
24/07/2020 18:55:54.218,637132,AM1V310 @305F47,91421,FAFF02003100,-0.6,0.2,4.9
24/07/2020 18:55:54.278,637191,AM1V310 @305F47,91428,F5FFF4FFE7FF,-1.1,-1.2,-2.5
24/07/2020 18:55:54.338,637252,AM1V310 @305F47,91434,EEFF00000600,-1.8,0,0.6
24/07/2020 18:55:54.368,637281,AM1V310 @305F47,91440,F1FFC1FFFDFF,-1.5,-6.3,-0.3
24/07/2020 18:55:54.428,637341,AM1V310 @305F47,91446,1200E7FF1800,1.8,-2.5,2.4
