Logged started on,24/07/2020 20:28:02
Feature,Magnetometer
Nodes,AM1V310 @305F47

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (mGa),Y (mGa),Z (mGa)
24/07/2020 20:33:53.112,350436,AM1V310 @305F47,52105,F60066FFDFFE,246,-154,-289
24/07/2020 20:33:53.172,350487,AM1V310 @305F47,52111,EE005BFFC5FE,238,-165,-315
24/07/2020 20:33:53.233,350548,AM1V310 @305F47,52118,E5005AFFC1FE,229,-166,-319
24/07/2020 20:33:53.262,350577,AM1V310 @305F47,52124,DB005DFFAAFE,219,-163,-342
24/07/2020 20:33:53.322,350637,AM1V310 @305F47,52130,DF0061FF98FE,223,-159,-360
24/07/2020 20:33:53.382,350697,AM1V310 @305F47,52136,DB0055FFA4FE,219,-171,-348
24/07/2020 20:33:53.413,350727,AM1V310 @305F47,52143,CF0054FF97FE,207,-172,-361
24/07/2020 20:33:53.472,350787,AM1V310 @305F47,52149,DE005DFFA6FE,222,-163,-346
24/07/2020 20:33:53.532,350847,AM1V310 @305F47,52155,E8005DFFA6FE,232,-163,-346
24/07/2020 20:33:53.562,350877,AM1V310 @305F47,52161,F60069FFB8FE,246,-151,-328
24/07/2020 20:33:53.622,350937,AM1V310 @305F47,52168,FA0069FFBCFE,250,-151,-324
24/07/2020 20:33:53.682,350997,AM1V310 @305F47,52174,050172FFD9FE,261,-142,-295
24/07/2020 20:33:53.713,351028,AM1V310 @305F47,52180,0B0179FFEEFE,267,-135,-274
24/07/2020 20:33:53.772,351087,AM1V310 @305F47,52186,140187FF06FF,276,-121,-250
24/07/2020 20:33:53.832,351147,AM1V310 @305F47,52193,0E0185FF16FF,270,-123,-234
24/07/2020 20:33:53.862,351177,AM1V310 @305F47,52199,1A018AFF39FF,282,-118,-199
24/07/2020 20:33:53.922,351237,AM1V310 @305F47,52205,1D019AFF46FF,285,-102,-186
24/07/2020 20:33:53.983,351298,AM1V310 @305F47,52211,270196FF5BFF,295,-106,-165
24/07/2020 20:33:54.012,351327,AM1V310 @305F47,52218,24019CFF67FF,292,-100,-153
24/07/2020 20:33:54.072,351387,AM1V310 @305F47,52224,240197FF70FF,292,-105,-144
24/07/2020 20:33:54.132,351447,AM1V310 @305F47,52230,2A0196FF72FF,298,-106,-142
24/07/2020 20:33:54.162,351477,AM1V310 @305F47,52236,270197FF73FF,295,-105,-141
24/07/2020 20:33:54.222,351537,AM1V310 @305F47,52243,24019DFF64FF,292,-99,-156
24/07/2020 20:33:54.283,351598,AM1V310 @305F47,52249,240196FF58FF,292,-106,-168
24/07/2020 20:33:54.312,351627,AM1V310 @305F47,52255,240188FF46FF,292,-120,-186
24/07/2020 20:33:54.372,351687,AM1V310 @305F47,52261,110193FF31FF,273,-109,-207
24/07/2020 20:33:54.432,351747,AM1V310 @305F47,52268,FD0090FF13FF,253,-112,-237
24/07/2020 20:33:54.462,351777,AM1V310 @305F47,52274,F9008DFF03FF,249,-115,-253
24/07/2020 20:33:54.522,351837,AM1V310 @305F47,52280,EB0084FFECFE,235,-124,-276
24/07/2020 20:33:54.582,351897,AM1V310 @305F47,52286,D60087FFD6FE,214,-121,-298
24/07/2020 20:33:54.612,351927,AM1V310 @305F47,52293,D20085FFC4FE,210,-123,-316
24/07/2020 20:33:54.672,351987,AM1V310 @305F47,52299,C00085FFBBFE,192,-123,-325
24/07/2020 20:33:54.732,352047,AM1V310 @305F47,52305,BB007EFFA7FE,187,-130,-345
24/07/2020 20:33:54.762,352077,AM1V310 @305F47,52311,B1007CFF9EFE,177,-132,-354
24/07/2020 20:33:54.822,352137,AM1V310 @305F47,52318,AC0061FF89FE,172,-159,-375
