Logged started on,24/07/2020 20:28:02
Feature,Gyroscope
Nodes,AM1V310 @305F47

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (dps),Y (dps),Z (dps)
24/07/2020 20:28:21.675,19003,AM1V310 @305F47,10668,3700D2FF4300,5.5,-4.6,6.7
24/07/2020 20:28:21.705,19020,AM1V310 @305F47,10674,58000F005600,8.8,1.5,8.6
24/07/2020 20:28:21.766,19080,AM1V310 @305F47,10680,A5004700C600,16.5,7.1,19.8
24/07/2020 20:28:21.826,19141,AM1V310 @305F47,10686,D5008EFF6900,21.3,-11.4,10.5
24/07/2020 20:28:21.855,19170,AM1V310 @305F47,10693,75005EFD1801,11.7,-67.4,28
24/07/2020 20:28:21.916,19231,AM1V310 @305F47,10699,3700B2FD9C02,5.5,-59,66.8
24/07/2020 20:28:21.976,19291,AM1V310 @305F47,10705,55FF71FE0401,-17.1,-39.9,26
24/07/2020 20:28:22.005,19320,AM1V310 @305F47,10711,77FE72FED300,-39.3,-39.8,21.1
24/07/2020 20:28:22.066,19381,AM1V310 @305F47,10718,9DFEE9FF5A00,-35.5,-2.3,9
24/07/2020 20:28:22.125,19440,AM1V310 @305F47,10724,0DFE9B000B00,-49.9,15.5,1.1
24/07/2020 20:28:22.155,19470,AM1V310 @305F47,10730,3EFE8501F700,-45,38.9,24.7
24/07/2020 20:28:22.215,19530,AM1V310 @305F47,10736,30FEBA01A700,-46.4,44.2,16.7
24/07/2020 20:28:22.275,19590,AM1V310 @305F47,10743,7DFE19028000,-38.7,53.7,12.8
24/07/2020 20:28:22.305,19620,AM1V310 @305F47,10749,42FF3F02D8FF,-19,57.5,-4
24/07/2020 20:28:22.365,19680,AM1V310 @305F47,10755,62FF63034CFF,-15.8,86.7,-18
24/07/2020 20:28:22.426,19740,AM1V310 @305F47,10761,4800DC0287FE,7.2,73.2,-37.7
24/07/2020 20:28:22.455,19770,AM1V310 @305F47,10768,8C017D0350FF,39.6,89.3,-17.6
24/07/2020 20:28:22.516,19831,AM1V310 @305F47,10774,2D03B202D4FE,81.3,69,-30
24/07/2020 20:28:22.576,19891,AM1V310 @305F47,10780,DF03C7012EFF,99.1,45.5,-21
24/07/2020 20:28:22.606,19920,AM1V310 @305F47,10786,E404260174FF,125.2,29.4,-14
24/07/2020 20:28:22.665,19980,AM1V310 @305F47,10793,8405B1FF0200,141.2,-7.9,0.2
24/07/2020 20:28:22.726,20041,AM1V310 @305F47,10799,D20424FE7400,123.4,-47.6,11.6
24/07/2020 20:28:22.755,20070,AM1V310 @305F47,10805,9E0246FCCD00,67,-95.4,20.5
24/07/2020 20:28:22.816,20131,AM1V310 @305F47,10811,7500CEFC6501,11.7,-81.8,35.7
24/07/2020 20:28:22.875,20190,AM1V310 @305F47,10818,60FF4EFDE701,-16,-69,48.7
24/07/2020 20:28:22.905,20220,AM1V310 @305F47,10824,ACFEC7FCEA01,-34,-82.5,49
24/07/2020 20:28:22.966,20281,AM1V310 @305F47,10830,5CFDFAFD1C02,-67.6,-51.8,54
24/07/2020 20:28:23.026,20341,AM1V310 @305F47,10836,6DFCA3FEE1FF,-91.5,-34.9,-3.1
24/07/2020 20:28:23.055,20370,AM1V310 @305F47,10843,79FCB90035FF,-90.3,18.5,-20.3
24/07/2020 20:28:23.116,20430,AM1V310 @305F47,10849,83FD2002C9FE,-63.7,54.4,-31.1
24/07/2020 20:28:23.176,20490,AM1V310 @305F47,10855,8CFE5702C2FE,-37.2,59.9,-31.8
24/07/2020 20:28:23.205,20520,AM1V310 @305F47,10861,97FFA90169FF,-10.5,42.5,-15.1
24/07/2020 20:28:23.266,20580,AM1V310 @305F47,10868,48002201CAFF,7.2,29,-5.4
24/07/2020 20:28:23.326,20640,AM1V310 @305F47,10874,C900B800C4FF,20.1,18.4,-6
24/07/2020 20:28:23.355,20670,AM1V310 @305F47,10880,980039000400,15.2,5.7,0.4
24/07/2020 20:28:23.416,20731,AM1V310 @305F47,10886,3E001B00F3FF,6.2,2.7,-1.3
24/07/2020 20:28:23.476,20791,AM1V310 @305F47,10893,0000B6FFF6FF,0,-7.4,-1
24/07/2020 20:28:23.505,20820,AM1V310 @305F47,10899,CBFF9EFF3300,-5.3,-9.8,5.1
24/07/2020 20:28:23.587,20902,AM1V310 @305F47,10905,B8FF9FFF3F00,-7.2,-9.7,6.3
24/07/2020 20:28:23.625,20940,AM1V310 @305F47,10911,D2FFC8FF6A00,-4.6,-5.6,10.6
24/07/2020 20:28:23.655,20970,AM1V310 @305F47,10918,CAFF5DFF2500,-5.4,-16.3,3.7
24/07/2020 20:28:23.715,21030,AM1V310 @305F47,10924,E9FFBAFF3C00,-2.3,-7,6
24/07/2020 20:28:23.776,21090,AM1V310 @305F47,10930,1000B1FFFDFF,1.6,-7.9,-0.3
24/07/2020 20:28:23.805,21120,AM1V310 @305F47,10936,2900E7FF0C00,4.1,-2.5,1.2
24/07/2020 20:28:23.866,21180,AM1V310 @305F47,10943,1300DDFFF7FF,1.9,-3.5,-0.9
24/07/2020 20:28:23.926,21241,AM1V310 @305F47,10949,3100E7FF0F00,4.9,-2.5,1.5
24/07/2020 20:28:23.955,21270,AM1V310 @305F47,10955,1900F9FF2400,2.5,-0.7,3.6
24/07/2020 20:28:24.015,21330,AM1V310 @305F47,10961,E2FFCBFF1200,-3,-5.3,1.8
24/07/2020 20:28:24.076,21391,AM1V310 @305F47,10968,0200E4FF2200,0.2,-2.8,3.4
24/07/2020 20:28:24.105,21420,AM1V310 @305F47,10974,0F00F0FF1700,1.5,-1.6,2.3
24/07/2020 20:28:24.165,21480,AM1V310 @305F47,10980,020003001300,0.2,0.3,1.9
24/07/2020 20:28:24.241,21556,AM1V310 @305F47,10986,2700FCFFF6FF,3.9,-0.4,-1
24/07/2020 20:28:24.255,21570,AM1V310 @305F47,10993,F4FF25000700,-1.2,3.7,0.7
24/07/2020 20:28:24.315,21630,AM1V310 @305F47,10999,F6FF00000700,-1,0,0.7
24/07/2020 20:28:24.376,21690,AM1V310 @305F47,11005,EEFF01001E00,-1.8,0.1,3
24/07/2020 20:28:24.405,21720,AM1V310 @305F47,11011,D8FF17000000,-4,2.3,0
24/07/2020 20:28:24.465,21781,AM1V310 @305F47,11018,D2FF0E00E0FF,-4.6,1.4,-3.2
24/07/2020 20:28:24.526,21840,AM1V310 @305F47,11024,D4FF3A00E5FF,-4.4,5.8,-2.7
24/07/2020 20:28:24.555,21870,AM1V310 @305F47,11030,0C000B000A00,1.2,1.1,1
24/07/2020 20:28:24.615,21930,AM1V310 @305F47,11036,C5FFE8FFDBFF,-5.9,-2.4,-3.7
