Logged started on,24/07/2020 20:28:02
Feature,Accelerometer
Nodes,AM1V310 @305F47

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (mg),Y (mg),Z (mg)
24/07/2020 20:31:54.801,232121,AM1V310 @305F47,37311,CFFF11FCECFF,-49,-1007,-20
24/07/2020 20:31:54.853,232168,AM1V310 @305F47,37318,CAFF1AFCE9FF,-54,-998,-23
24/07/2020 20:31:54.884,232198,AM1V310 @305F47,37324,D0FF3BFCE0FF,-48,-965,-32
24/07/2020 20:31:54.944,232259,AM1V310 @305F47,37330,E3FF66FCD7FF,-29,-922,-41
24/07/2020 20:31:55.004,232319,AM1V310 @305F47,37336,C4FF66FC2400,-60,-922,36
24/07/2020 20:31:55.033,232348,AM1V310 @305F47,37343,100164FC2D00,272,-924,45
24/07/2020 20:31:55.094,232409,AM1V310 @305F47,37349,B700AFFB6C00,183,-1105,108
24/07/2020 20:31:55.153,232468,AM1V310 @305F47,37355,87003FFB2700,135,-1217,39
24/07/2020 20:31:55.184,232498,AM1V310 @305F47,37361,33FE5CFA7A00,-461,-1444,122
24/07/2020 20:31:55.244,232559,AM1V310 @305F47,37368,C5FEDFFAE7FF,-315,-1313,-25
24/07/2020 20:31:55.303,232618,AM1V310 @305F47,37374,2BFEE2FAD8FF,-469,-1310,-40
24/07/2020 20:31:55.333,232648,AM1V310 @305F47,37380,BAFD13FB2200,-582,-1261,34
24/07/2020 20:31:55.394,232709,AM1V310 @305F47,37386,CBFDBCFBDDFF,-565,-1092,-35
24/07/2020 20:31:55.453,232768,AM1V310 @305F47,37393,05FE3EFC8FFF,-507,-962,-113
24/07/2020 20:31:55.483,232798,AM1V310 @305F47,37399,35FEE3FCFEFE,-459,-797,-258
24/07/2020 20:31:55.544,232859,AM1V310 @305F47,37405,09FEB1FCD9FF,-503,-847,-39
24/07/2020 20:31:55.603,232918,AM1V310 @305F47,37411,C7FD8DFD0BFF,-569,-627,-245
24/07/2020 20:31:55.633,232948,AM1V310 @305F47,37418,59FEA9FDD4FF,-423,-599,-44
24/07/2020 20:31:55.694,233009,AM1V310 @305F47,37424,D8FE3BFE3BFF,-296,-453,-197
24/07/2020 20:31:55.753,233068,AM1V310 @305F47,37430,3FFF30FE65FF,-193,-464,-155
24/07/2020 20:31:55.784,233098,AM1V310 @305F47,37436,170072FE36FF,23,-398,-202
24/07/2020 20:31:55.844,233159,AM1V310 @305F47,37443,100014FE73FF,16,-492,-141
24/07/2020 20:31:55.903,233218,AM1V310 @305F47,37449,330179FDB2FF,307,-647,-78
24/07/2020 20:31:55.934,233248,AM1V310 @305F47,37455,6F005CFC2800,111,-932,40
24/07/2020 20:31:55.994,233309,AM1V310 @305F47,37461,C800F0FBA600,200,-1040,166
24/07/2020 20:31:56.053,233368,AM1V310 @305F47,37468,9D00DBFB3900,157,-1061,57
24/07/2020 20:31:56.083,233398,AM1V310 @305F47,37474,C4018EFB9200,452,-1138,146
24/07/2020 20:31:56.144,233459,AM1V310 @305F47,37480,F80058FBB900,248,-1192,185
24/07/2020 20:31:56.203,233518,AM1V310 @305F47,37486,6F007AFB7100,111,-1158,113
24/07/2020 20:31:56.233,233548,AM1V310 @305F47,37493,75005FFB1D01,117,-1185,285
24/07/2020 20:31:56.294,233609,AM1V310 @305F47,37499,E8FE4EFBD000,-280,-1202,208
24/07/2020 20:31:56.353,233668,AM1V310 @305F47,37505,E6FE7CFBC300,-282,-1156,195
24/07/2020 20:31:56.384,233698,AM1V310 @305F47,37511,DFFEABFBBB00,-289,-1109,187
24/07/2020 20:31:56.443,233758,AM1V310 @305F47,37518,E0FD05FBF600,-544,-1275,246
24/07/2020 20:31:56.503,233818,AM1V310 @305F47,37524,0FFF89FB0601,-241,-1143,262
24/07/2020 20:31:56.533,233848,AM1V310 @305F47,37530,69FED3FBE000,-407,-1069,224
24/07/2020 20:31:56.593,233908,AM1V310 @305F47,37536,20FF18FC2501,-224,-1000,293
24/07/2020 20:31:56.662,233977,AM1V310 @305F47,37543,0DFF6EFCC100,-243,-914,193
24/07/2020 20:31:56.693,234008,AM1V310 @305F47,37549,2AFF96FC8D00,-214,-874,141
24/07/2020 20:31:56.743,234058,AM1V310 @305F47,37555,6DFF97FC7400,-147,-873,116
24/07/2020 20:31:56.804,234119,AM1V310 @305F47,37561,89FF72FC6400,-119,-910,100
24/07/2020 20:31:56.833,234148,AM1V310 @305F47,37568,7AFF39FC7700,-134,-967,119
24/07/2020 20:31:56.893,234208,AM1V310 @305F47,37574,AFFF07FCB300,-81,-1017,179
24/07/2020 20:31:56.953,234268,AM1V310 @305F47,37580,A5FF09FC9A00,-91,-1015,154
24/07/2020 20:31:56.983,234298,AM1V310 @305F47,37586,BFFF10FC9100,-65,-1008,145
24/07/2020 20:31:57.043,234358,AM1V310 @305F47,37593,94FF1CFC9C00,-108,-996,156
24/07/2020 20:31:57.103,234418,AM1V310 @305F47,37599,94FF2CFC8800,-108,-980,136
24/07/2020 20:31:57.133,234448,AM1V310 @305F47,37605,8FFF3DFC8100,-113,-963,129
24/07/2020 20:31:57.193,234508,AM1V310 @305F47,37611,9FFF38FC9400,-97,-968,148
24/07/2020 20:31:57.255,234571,AM1V310 @305F47,37618,74FF29FCB000,-140,-983,176
24/07/2020 20:31:57.283,234598,AM1V310 @305F47,37624,90FF21FCA600,-112,-991,166
24/07/2020 20:31:57.344,234658,AM1V310 @305F47,37630,A7FF28FCBC00,-89,-984,188
24/07/2020 20:31:57.403,234718,AM1V310 @305F47,37636,82FF3DFC9300,-126,-963,147
24/07/2020 20:31:57.433,234748,AM1V310 @305F47,37643,76FF43FC8000,-138,-957,128
24/07/2020 20:31:57.493,234808,AM1V310 @305F47,37649,53FF40FC8600,-173,-960,134
24/07/2020 20:31:57.553,234869,AM1V310 @305F47,37655,5CFF70FC8800,-164,-912,136
24/07/2020 20:31:57.583,234898,AM1V310 @305F47,37661,AFFFC0FC3800,-81,-832,56
24/07/2020 20:31:57.644,234959,AM1V310 @305F47,37668,A6FF93FCF200,-90,-877,242
24/07/2020 20:31:57.703,235018,AM1V310 @305F47,37674,FEFFA1FC2C01,-2,-863,300
24/07/2020 20:31:57.733,235048,AM1V310 @305F47,37680,060071FCF701,6,-911,503
