Logged started on,29/07/2020 21:49:05
Feature,Accelerometer
Nodes,AM1V310 @395930

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (mg),Y (mg),Z (mg)
29/07/2020 21:50:31.010,85989,AM1V310 @395930,15638,B8FED7FBCB00,-328,-1065,203
29/07/2020 21:50:31.070,86047,AM1V310 @395930,15644,D7FE00FCB800,-297,-1024,184
29/07/2020 21:50:31.130,86107,AM1V310 @395930,15650,E9FE19FC9B00,-279,-999,155
29/07/2020 21:50:31.159,86136,AM1V310 @395930,15657,E8FE5DFC5A00,-280,-931,90
29/07/2020 21:50:31.220,86197,AM1V310 @395930,15663,08FF6AFC3C00,-248,-918,60
29/07/2020 21:50:31.280,86258,AM1V310 @395930,15669,DEFE84FC2200,-290,-892,34
29/07/2020 21:50:31.310,86287,AM1V310 @395930,15675,22FFACFCE3FF,-222,-852,-29
29/07/2020 21:50:31.370,86347,AM1V310 @395930,15682,53FFB5FC0400,-173,-843,4
29/07/2020 21:50:31.431,86408,AM1V310 @395930,15688,73FFB0FCC2FF,-141,-848,-62
29/07/2020 21:50:31.459,86436,AM1V310 @395930,15694,BCFFBCFC0100,-68,-836,1
29/07/2020 21:50:31.520,86497,AM1V310 @395930,15700,1800DEFCFFFF,24,-802,-1
29/07/2020 21:50:31.581,86558,AM1V310 @395930,15707,68001AFDF1FF,104,-742,-15
29/07/2020 21:50:31.610,86587,AM1V310 @395930,15713,6600F4FC2A00,102,-780,42
29/07/2020 21:50:31.670,86648,AM1V310 @395930,15719,5C0092FC1400,92,-878,20
29/07/2020 21:50:31.730,86708,AM1V310 @395930,15725,B50020FCF500,181,-992,245
29/07/2020 21:50:31.759,86736,AM1V310 @395930,15732,7901ECFBAF00,377,-1044,175
29/07/2020 21:50:31.820,86797,AM1V310 @395930,15738,7901B5FB5201,377,-1099,338
29/07/2020 21:50:31.880,86858,AM1V310 @395930,15744,5C01C4FB4501,348,-1084,325
29/07/2020 21:50:31.909,86887,AM1V310 @395930,15750,B800D9FB5D01,184,-1063,349
