Logged started on,29/07/2020 21:49:05
Feature,Magnetometer
Nodes,AM1V310 @395930

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (mGa),Y (mGa),Z (mGa)
29/07/2020 21:52:52.760,227751,AM1V310 @395930,33357,25001900BA01,37,25,442
29/07/2020 21:52:52.791,227768,AM1V310 @395930,33363,25001200C501,37,18,453
29/07/2020 21:52:52.851,227828,AM1V310 @395930,33369,2B000700D201,43,7,466
29/07/2020 21:52:52.910,227887,AM1V310 @395930,33375,1C00FFFFD501,28,-1,469
29/07/2020 21:52:52.940,227917,AM1V310 @395930,33382,2800F7FFD501,40,-9,469
29/07/2020 21:52:53.001,227978,AM1V310 @395930,33388,2100EEFFDE01,33,-18,478
29/07/2020 21:52:53.061,228038,AM1V310 @395930,33394,2800E8FFD801,40,-24,472
29/07/2020 21:52:53.090,228067,AM1V310 @395930,33400,2D00E2FFD801,45,-30,472
29/07/2020 21:52:53.151,228128,AM1V310 @395930,33407,2A00C6FFD701,42,-58,471
29/07/2020 21:52:53.211,228188,AM1V310 @395930,33413,2500CAFFD701,37,-54,471
29/07/2020 21:52:53.241,228217,AM1V310 @395930,33419,2700BAFFD501,39,-70,469
29/07/2020 21:52:53.301,228278,AM1V310 @395930,33425,2D00B1FFD201,45,-79,466
29/07/2020 21:52:53.361,228339,AM1V310 @395930,33432,2700AEFFD701,39,-82,471
29/07/2020 21:52:53.390,228367,AM1V310 @395930,33438,3300A0FFD801,51,-96,472
29/07/2020 21:52:53.451,228428,AM1V310 @395930,33444,300097FFCE01,48,-105,462
29/07/2020 21:52:53.511,228488,AM1V310 @395930,33450,27008EFFCF01,39,-114,463
29/07/2020 21:52:53.540,228517,AM1V310 @395930,33457,34008DFFD101,52,-115,465
29/07/2020 21:52:53.601,228578,AM1V310 @395930,33463,360084FFC601,54,-124,454
29/07/2020 21:52:53.662,228639,AM1V310 @395930,33469,310079FFBC01,49,-135,444
29/07/2020 21:52:53.690,228667,AM1V310 @395930,33475,37006DFFBF01,55,-147,447
29/07/2020 21:52:53.751,228728,AM1V310 @395930,33482,3D0066FFC301,61,-154,451
29/07/2020 21:52:53.811,228788,AM1V310 @395930,33488,400064FFAE01,64,-156,430
29/07/2020 21:52:53.840,228817,AM1V310 @395930,33494,450057FFB301,69,-169,435
29/07/2020 21:52:53.901,228878,AM1V310 @395930,33500,450051FFA801,69,-175,424
29/07/2020 21:52:53.961,228938,AM1V310 @395930,33507,4E004EFF9F01,78,-178,415
29/07/2020 21:52:53.991,228968,AM1V310 @395930,33513,52004CFFA501,82,-180,421
29/07/2020 21:52:54.051,229028,AM1V310 @395930,33519,5E0046FF9801,94,-186,408
29/07/2020 21:52:54.111,229088,AM1V310 @395930,33525,5E0045FF9301,94,-187,403
29/07/2020 21:52:54.141,229117,AM1V310 @395930,33532,5D0040FF8F01,93,-192,399
29/07/2020 21:52:54.201,229178,AM1V310 @395930,33538,690042FF8701,105,-190,391
29/07/2020 21:52:54.262,229239,AM1V310 @395930,33544,610039FF8601,97,-199,390
29/07/2020 21:52:54.290,229267,AM1V310 @395930,33550,6C003DFF7E01,108,-195,382
29/07/2020 21:52:54.351,229328,AM1V310 @395930,33557,6D0040FF8301,109,-192,387
29/07/2020 21:52:54.411,229388,AM1V310 @395930,33563,72003FFF8301,114,-193,387
29/07/2020 21:52:54.440,229417,AM1V310 @395930,33569,7C0042FF7A01,124,-190,378
29/07/2020 21:52:54.501,229479,AM1V310 @395930,33575,760042FF6F01,118,-190,367
29/07/2020 21:52:54.562,229539,AM1V310 @395930,33582,870043FF6C01,135,-189,364
29/07/2020 21:52:54.592,229569,AM1V310 @395930,33588,8B0046FF6801,139,-186,360
29/07/2020 21:52:54.650,229627,AM1V310 @395930,33594,8E003FFF6001,142,-193,352
29/07/2020 21:52:54.711,229688,AM1V310 @395930,33600,96004BFF5F01,150,-181,351
29/07/2020 21:52:54.740,229717,AM1V310 @395930,33607,8E004BFF6801,142,-181,360
29/07/2020 21:52:54.801,229778,AM1V310 @395930,33613,8E0052FF6201,142,-174,354
29/07/2020 21:52:54.861,229838,AM1V310 @395930,33619,9A0055FF5601,154,-171,342
29/07/2020 21:52:54.891,229868,AM1V310 @395930,33625,990058FF5F01,153,-168,351
29/07/2020 21:52:54.951,229928,AM1V310 @395930,33632,9A0066FF5C01,154,-154,348
29/07/2020 21:52:55.011,229988,AM1V310 @395930,33638,A60072FF5A01,166,-142,346
29/07/2020 21:52:55.040,230017,AM1V310 @395930,33644,9F0072FF5001,159,-142,336
29/07/2020 21:52:55.101,230078,AM1V310 @395930,33650,A80075FF4B01,168,-139,331
29/07/2020 21:52:55.161,230138,AM1V310 @395930,33657,A8008AFF4B01,168,-118,331
29/07/2020 21:52:55.191,230168,AM1V310 @395930,33663,AB008DFF4701,171,-115,327
29/07/2020 21:52:55.251,230228,AM1V310 @395930,33669,AE0090FF4201,174,-112,322
29/07/2020 21:52:55.311,230289,AM1V310 @395930,33675,AE0097FF4501,174,-105,325
29/07/2020 21:52:55.340,230317,AM1V310 @395930,33682,AB00A6FF3E01,171,-90,318
29/07/2020 21:52:55.401,230378,AM1V310 @395930,33688,AB00B5FF3F01,171,-75,319
29/07/2020 21:52:55.462,230439,AM1V310 @395930,33694,B700BDFF3F01,183,-67,319
29/07/2020 21:52:55.490,230467,AM1V310 @395930,33700,AB00DBFF4101,171,-37,321
29/07/2020 21:52:55.551,230528,AM1V310 @395930,33707,A800E7FF4701,168,-25,327
29/07/2020 21:52:55.611,230588,AM1V310 @395930,33713,A900F0FF3F01,169,-16,319
29/07/2020 21:52:55.640,230617,AM1V310 @395930,33719,AB00F7FF4701,171,-9,327
29/07/2020 21:52:55.701,230678,AM1V310 @395930,33725,A3000D004B01,163,13,331
29/07/2020 21:52:55.761,230739,AM1V310 @395930,33732,9A0019004D01,154,25,333
29/07/2020 21:52:55.790,230767,AM1V310 @395930,33738,970028004D01,151,40,333
29/07/2020 21:52:55.851,230828,AM1V310 @395930,33744,870030005401,135,48,340
