Logged started on,29/07/2020 21:49:05
Feature,Gyroscope
Nodes,AM1V310 @395930

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (dps),Y (dps),Z (dps)
29/07/2020 21:53:32.151,267139,AM1V310 @395930,38282,5D016F01E8FD,34.9,36.7,-53.6
29/07/2020 21:53:32.180,267157,AM1V310 @395930,38288,A40187017FFD,42,39.1,-64.1
29/07/2020 21:53:32.241,267219,AM1V310 @395930,38294,CA01340122FD,45.8,30.8,-73.4
29/07/2020 21:53:32.301,267279,AM1V310 @395930,38300,E5015B016DFD,48.5,34.7,-65.9
29/07/2020 21:53:32.330,267307,AM1V310 @395930,38307,F101E000EBFD,49.7,22.4,-53.3
29/07/2020 21:53:32.392,267369,AM1V310 @395930,38313,E501D500DFFE,48.5,21.3,-28.9
29/07/2020 21:53:32.451,267428,AM1V310 @395930,38319,F001E700B8FF,49.6,23.1,-7.2
29/07/2020 21:53:32.480,267457,AM1V310 @395930,38325,F4019C002200,50,15.6,3.4
29/07/2020 21:53:32.542,267520,AM1V310 @395930,38332,B9019F00A400,44.1,15.9,16.4
29/07/2020 21:53:32.601,267579,AM1V310 @395930,38338,C001EBFFCD00,44.8,-2.1,20.5
29/07/2020 21:53:32.630,267607,AM1V310 @395930,38344,BA016FFF2401,44.2,-14.5,29.2
29/07/2020 21:53:32.692,267669,AM1V310 @395930,38350,CE0161FFCA01,46.2,-15.9,45.8
29/07/2020 21:53:32.751,267729,AM1V310 @395930,38357,A201F2FE0502,41.8,-27,51.7
29/07/2020 21:53:32.780,267757,AM1V310 @395930,38363,7301B3FE5502,37.1,-33.3,59.7
29/07/2020 21:53:32.841,267818,AM1V310 @395930,38369,160194FE7E02,27.8,-36.4,63.8
29/07/2020 21:53:32.901,267879,AM1V310 @395930,38375,5C00D1FE1903,9.2,-30.3,79.3
29/07/2020 21:53:32.930,267907,AM1V310 @395930,38382,E5FF15FF5803,-2.7,-23.5,85.6
29/07/2020 21:53:32.991,267968,AM1V310 @395930,38388,B4FF02FF3803,-7.6,-25.4,82.4
29/07/2020 21:53:33.050,268027,AM1V310 @395930,38394,8CFF41FF2403,-11.6,-19.1,80.4
