Logged started on,24/07/2020 20:28:02
Feature,Accelerometer
Nodes,AM1V310 @305F47

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (mg),Y (mg),Z (mg)
24/07/2020 20:34:43.782,401103,AM1V310 @305F47,58436,63007DFC5400,99,-899,84
24/07/2020 20:34:43.812,401126,AM1V310 @305F47,58443,77008CFC4E00,119,-884,78
24/07/2020 20:34:43.872,401187,AM1V310 @305F47,58449,BE0030FCB100,190,-976,177
24/07/2020 20:34:43.932,401247,AM1V310 @305F47,58455,8600F4FBE300,134,-1036,227
24/07/2020 20:34:43.962,401276,AM1V310 @305F47,58461,B4FF71FB3E01,-76,-1167,318
24/07/2020 20:34:44.022,401337,AM1V310 @305F47,58468,80FF67FB0801,-128,-1177,264
24/07/2020 20:34:44.082,401397,AM1V310 @305F47,58474,18FFA1FBE600,-232,-1119,230
24/07/2020 20:34:44.112,401427,AM1V310 @305F47,58480,68FE6AFBFF00,-408,-1174,255
24/07/2020 20:34:44.172,401487,AM1V310 @305F47,58486,57FE2AFB2601,-425,-1238,294
24/07/2020 20:34:44.232,401547,AM1V310 @305F47,58493,5CFE48FB0C01,-420,-1208,268
24/07/2020 20:34:44.262,401577,AM1V310 @305F47,58499,A1FEA5FBE700,-351,-1115,231
24/07/2020 20:34:44.322,401637,AM1V310 @305F47,58505,02FF2EFC8300,-254,-978,131
24/07/2020 20:34:44.382,401697,AM1V310 @305F47,58511,E0FEFDFB9E00,-288,-1027,158
24/07/2020 20:34:44.412,401726,AM1V310 @305F47,58518,4EFE90FCEFFF,-434,-880,-17
24/07/2020 20:34:44.472,401787,AM1V310 @305F47,58524,08FE6AFC2400,-504,-918,36
24/07/2020 20:34:44.532,401847,AM1V310 @305F47,58530,FDFD74FC4C00,-515,-908,76
24/07/2020 20:34:44.562,401877,AM1V310 @305F47,58536,8CFEE0FCC8FF,-372,-800,-56
24/07/2020 20:34:44.622,401937,AM1V310 @305F47,58543,B3FEF4FC7FFF,-333,-780,-129
24/07/2020 20:34:44.682,401997,AM1V310 @305F47,58549,D8FE15FDA3FF,-296,-747,-93
24/07/2020 20:34:44.712,402027,AM1V310 @305F47,58555,32FF2DFD5CFF,-206,-723,-164
24/07/2020 20:34:44.772,402087,AM1V310 @305F47,58561,26FF38FD06FF,-218,-712,-250
24/07/2020 20:34:44.832,402147,AM1V310 @305F47,58568,3EFF25FD39FF,-194,-731,-199
24/07/2020 20:34:44.862,402177,AM1V310 @305F47,58574,A3FF3EFD55FF,-93,-706,-171
24/07/2020 20:34:44.922,402237,AM1V310 @305F47,58580,9DFF49FD61FF,-99,-695,-159
24/07/2020 20:34:44.982,402297,AM1V310 @305F47,58586,E7FF50FDA1FF,-25,-688,-95
24/07/2020 20:34:45.012,402326,AM1V310 @305F47,58593,5300FBFCB8FF,83,-773,-72
24/07/2020 20:34:45.072,402387,AM1V310 @305F47,58599,2900C2FC0500,41,-830,5
24/07/2020 20:34:45.132,402447,AM1V310 @305F47,58605,C3FF18FCBD00,-61,-1000,189
24/07/2020 20:34:45.162,402476,AM1V310 @305F47,58611,4D00D9FB5101,77,-1063,337
24/07/2020 20:34:45.222,402537,AM1V310 @305F47,58618,B4000BFC5901,180,-1013,345
24/07/2020 20:34:45.282,402597,AM1V310 @305F47,58624,EDFFB7FB4F01,-19,-1097,335
24/07/2020 20:34:45.312,402626,AM1V310 @305F47,58630,2100FBFB6301,33,-1029,355
24/07/2020 20:34:45.372,402687,AM1V310 @305F47,58636,A7FFA4FB7501,-89,-1116,373
24/07/2020 20:34:45.432,402747,AM1V310 @305F47,58643,2B00BCFB8301,43,-1092,387
24/07/2020 20:34:45.462,402776,AM1V310 @305F47,58649,EBFFEEFB8301,-21,-1042,387
24/07/2020 20:34:45.522,402837,AM1V310 @305F47,58655,8C0027FCA401,140,-985,420
24/07/2020 20:34:45.582,402897,AM1V310 @305F47,58661,C3FFEEFBD001,-61,-1042,464
24/07/2020 20:34:45.612,402926,AM1V310 @305F47,58668,FFFF5EFC9F01,-1,-930,415
24/07/2020 20:34:45.672,402987,AM1V310 @305F47,58674,A2FF13FCAC01,-94,-1005,428
