Logged started on,24/07/2020 20:28:02
Feature,Gyroscope
Nodes,AM1V310 @305F47

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (dps),Y (dps),Z (dps)
24/07/2020 20:29:35.115,92437,AM1V310 @305F47,19849,AE00F2FF0A00,17.4,-1.4,1
24/07/2020 20:29:35.145,92460,AM1V310 @305F47,19855,6E01C7FF6B00,36.6,-5.7,10.7
24/07/2020 20:29:35.205,92520,AM1V310 @305F47,19861,160249FE7D01,53.4,-43.9,38.1
24/07/2020 20:29:35.265,92580,AM1V310 @305F47,19868,570296FE7F03,59.9,-36.2,89.5
24/07/2020 20:29:35.295,92610,AM1V310 @305F47,19874,AB01B7FD4007,42.7,-58.5,185.6
24/07/2020 20:29:35.355,92670,AM1V310 @305F47,19880,BAFF8EFE4603,-7,-37,83.8
24/07/2020 20:29:35.415,92730,AM1V310 @305F47,19886,63FE9EFF9E01,-41.3,-9.8,41.4
24/07/2020 20:29:35.445,92760,AM1V310 @305F47,19893,70FDE8FF0EFF,-65.6,-2.4,-24.2
24/07/2020 20:29:35.505,92820,AM1V310 @305F47,19899,03FD580298FD,-76.5,60,-61.6
24/07/2020 20:29:35.565,92880,AM1V310 @305F47,19905,D0FD570346FD,-56,85.5,-69.8
24/07/2020 20:29:35.595,92910,AM1V310 @305F47,19911,EDFEA5047FFE,-27.5,118.9,-38.5
24/07/2020 20:29:35.655,92970,AM1V310 @305F47,19918,2BFF8E0335FF,-21.3,91,-20.3
24/07/2020 20:29:35.715,93030,AM1V310 @305F47,19924,1BFF910316FF,-22.9,91.3,-23.4
24/07/2020 20:29:35.745,93059,AM1V310 @305F47,19930,D1FFCE024BFE,-4.7,71.8,-43.7
24/07/2020 20:29:35.805,93120,AM1V310 @305F47,19936,4F001803F2FE,7.9,79.2,-27
24/07/2020 20:29:35.865,93180,AM1V310 @305F47,19943,A3018B023CFE,41.9,65.1,-45.2
24/07/2020 20:29:35.894,93209,AM1V310 @305F47,19949,5C02E701A7FE,60.4,48.7,-34.5
24/07/2020 20:29:35.955,93270,AM1V310 @305F47,19955,6F03BC003FFF,87.9,18.8,-19.3
24/07/2020 20:29:36.015,93330,AM1V310 @305F47,19961,B20354FF1C01,94.6,-17.2,28.4
24/07/2020 20:29:36.045,93360,AM1V310 @305F47,19968,E4038DFE9501,99.6,-37.1,40.5
24/07/2020 20:29:36.105,93420,AM1V310 @305F47,19974,A00297FDBA02,67.2,-61.7,69.8
24/07/2020 20:29:36.165,93480,AM1V310 @305F47,19980,86025EFDBF01,64.6,-67.4,44.7
24/07/2020 20:29:36.195,93510,AM1V310 @305F47,19986,D80012FDC201,21.6,-75,45
24/07/2020 20:29:36.255,93570,AM1V310 @305F47,19993,85001DFC2601,13.3,-99.5,29.4
24/07/2020 20:29:36.315,93630,AM1V310 @305F47,19999,46FF94FD1903,-18.6,-62,79.3
24/07/2020 20:29:36.345,93660,AM1V310 @305F47,20005,15FF19FE8701,-23.5,-48.7,39.1
24/07/2020 20:29:36.405,93720,AM1V310 @305F47,20011,43FEB4FE4D01,-44.5,-33.2,33.3
24/07/2020 20:29:36.465,93780,AM1V310 @305F47,20018,32FDCBFF8E00,-71.8,-5.3,14.2
24/07/2020 20:29:36.494,93809,AM1V310 @305F47,20024,E6FCDB0086FF,-79.4,21.9,-12.2
24/07/2020 20:29:36.555,93870,AM1V310 @305F47,20030,86FDCE01DDFD,-63.4,46.2,-54.7
24/07/2020 20:29:36.615,93930,AM1V310 @305F47,20036,48FEE30146FE,-44,48.3,-44.2
24/07/2020 20:29:36.645,93959,AM1V310 @305F47,20043,69FFA0011DFF,-15.1,41.6,-22.7
24/07/2020 20:29:36.705,94020,AM1V310 @305F47,20049,2B00A8014CFF,4.3,42.4,-18
24/07/2020 20:29:36.765,94080,AM1V310 @305F47,20055,8E004C0137FF,14.2,33.2,-20.1
24/07/2020 20:29:36.794,94109,AM1V310 @305F47,20061,8600D3003AFF,13.4,21.1,-19.8
24/07/2020 20:29:36.855,94170,AM1V310 @305F47,20068,7400310064FF,11.6,4.9,-15.6
24/07/2020 20:29:36.915,94230,AM1V310 @305F47,20074,7700FBFF4FFF,11.9,-0.5,-17.7
24/07/2020 20:29:36.946,94260,AM1V310 @305F47,20080,2E00C9FFF4FF,4.6,-5.5,-1.2
24/07/2020 20:29:37.005,94320,AM1V310 @305F47,20086,E9FFD1FF1700,-2.3,-4.7,2.3
24/07/2020 20:29:37.065,94380,AM1V310 @305F47,20093,D9FFB3FF0800,-3.9,-7.7,0.8
24/07/2020 20:29:37.094,94409,AM1V310 @305F47,20099,F0FFBFFF0800,-1.6,-6.5,0.8
24/07/2020 20:29:37.155,94470,AM1V310 @305F47,20105,0500E9FFFBFF,0.5,-2.3,-0.5
24/07/2020 20:29:37.215,94530,AM1V310 @305F47,20111,1600CDFFEFFF,2.2,-5.1,-1.7
24/07/2020 20:29:37.245,94559,AM1V310 @305F47,20118,00002D00FCFF,0,4.5,-0.4
24/07/2020 20:29:37.305,94620,AM1V310 @305F47,20124,08002C00D6FF,0.8,4.4,-4.2
24/07/2020 20:29:37.365,94680,AM1V310 @305F47,20130,0B000A00DEFF,1.1,1,-3.4
24/07/2020 20:29:37.394,94709,AM1V310 @305F47,20136,F7FFECFFFCFF,-0.9,-2,-0.4
24/07/2020 20:29:37.455,94769,AM1V310 @305F47,20143,F5FFF4FFFCFF,-1.1,-1.2,-0.4
24/07/2020 20:29:37.515,94829,AM1V310 @305F47,20149,E9FFC2FFFDFF,-2.3,-6.2,-0.3
24/07/2020 20:29:37.544,94859,AM1V310 @305F47,20155,DBFF09001900,-3.7,0.9,2.5
24/07/2020 20:29:37.604,94919,AM1V310 @305F47,20161,EBFFCFFF0400,-2.1,-4.9,0.4
24/07/2020 20:29:37.665,94980,AM1V310 @305F47,20168,EBFFF6FF0300,-2.1,-1,0.3
24/07/2020 20:29:37.694,95009,AM1V310 @305F47,20174,02000E00EEFF,0.2,1.4,-1.8
24/07/2020 20:29:37.755,95069,AM1V310 @305F47,20180,00004200F4FF,0,6.6,-1.2
24/07/2020 20:29:37.815,95130,AM1V310 @305F47,20186,2F00F7FFD6FF,4.7,-0.9,-4.2
24/07/2020 20:29:37.844,95159,AM1V310 @305F47,20193,1C001E00FCFF,2.8,3,-0.4
24/07/2020 20:29:37.905,95220,AM1V310 @305F47,20199,0900FCFF0800,0.9,-0.4,0.8
24/07/2020 20:29:37.965,95280,AM1V310 @305F47,20205,F1FF12001E00,-1.5,1.8,3
24/07/2020 20:29:37.994,95309,AM1V310 @305F47,20211,0E00E2FF0D00,1.4,-3,1.3
