Logged started on,24/07/2020 20:28:02
Feature,Gyroscope
Nodes,AM1V310 @305F47

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (dps),Y (dps),Z (dps)
24/07/2020 20:30:58.154,175479,AM1V310 @305F47,30230,BD00FAFFE200,18.9,-0.6,22.6
24/07/2020 20:30:58.184,175499,AM1V310 @305F47,30236,780077FF2601,12,-13.7,29.4
24/07/2020 20:30:58.245,175560,AM1V310 @305F47,30243,2500A4FE5401,3.7,-34.8,34
24/07/2020 20:30:58.305,175619,AM1V310 @305F47,30249,92FF4EFEFA00,-11,-43.4,25
24/07/2020 20:30:58.334,175649,AM1V310 @305F47,30255,1BFF08FE2801,-22.9,-50.4,29.6
24/07/2020 20:30:58.395,175710,AM1V310 @305F47,30261,0AFFCFFD6001,-24.6,-56.1,35.2
24/07/2020 20:30:58.455,175769,AM1V310 @305F47,30268,70FE0EFFB901,-40,-24.2,44.1
24/07/2020 20:30:58.484,175799,AM1V310 @305F47,30274,30FE9AFF2301,-46.4,-10.2,29.1
24/07/2020 20:30:58.544,175859,AM1V310 @305F47,30280,D6FE9C00F500,-29.8,15.6,24.5
24/07/2020 20:30:58.604,175919,AM1V310 @305F47,30286,73FEC9016600,-39.7,45.7,10.2
24/07/2020 20:30:58.634,175949,AM1V310 @305F47,30293,55FEED014600,-42.7,49.3,7
24/07/2020 20:30:58.694,176009,AM1V310 @305F47,30299,BBFE50022700,-32.5,59.2,3.9
24/07/2020 20:30:58.754,176069,AM1V310 @305F47,30305,26FF7602F8FE,-21.8,63,-26.4
24/07/2020 20:30:58.784,176099,AM1V310 @305F47,30311,80FFBF0283FF,-12.8,70.3,-12.5
24/07/2020 20:30:58.844,176159,AM1V310 @305F47,30318,FBFFAE0202FF,-0.5,68.6,-25.4
24/07/2020 20:30:58.904,176219,AM1V310 @305F47,30324,7800820334FF,12,89.8,-20.4
24/07/2020 20:30:58.934,176249,AM1V310 @305F47,30330,F3005B021BFF,24.3,60.3,-22.9
24/07/2020 20:30:58.994,176309,AM1V310 @305F47,30336,830161028CFF,38.7,60.9,-11.6
24/07/2020 20:30:59.054,176369,AM1V310 @305F47,30343,37023D0299FF,56.7,57.3,-10.3
24/07/2020 20:30:59.084,176399,AM1V310 @305F47,30349,7102A601A5FF,62.5,42.2,-9.1
24/07/2020 20:30:59.144,176459,AM1V310 @305F47,30355,D8020601D7FF,72.8,26.2,-4.1
24/07/2020 20:30:59.204,176519,AM1V310 @305F47,30361,5A02E3FF5B00,60.2,-2.9,9.1
24/07/2020 20:30:59.234,176549,AM1V310 @305F47,30368,6C028EFF5D00,62,-11.4,9.3
24/07/2020 20:30:59.294,176609,AM1V310 @305F47,30374,5302CCFE5C00,59.5,-30.8,9.2
24/07/2020 20:30:59.354,176669,AM1V310 @305F47,30380,0702FDFDC100,51.9,-51.5,19.3
24/07/2020 20:30:59.384,176699,AM1V310 @305F47,30386,5001E7FDC000,33.6,-53.7,19.2
24/07/2020 20:30:59.444,176759,AM1V310 @305F47,30393,BC000FFEB700,18.8,-49.7,18.3
24/07/2020 20:30:59.504,176819,AM1V310 @305F47,30399,8D000AFD4100,14.1,-75.8,6.5
24/07/2020 20:30:59.534,176849,AM1V310 @305F47,30405,5300F1FDDB00,8.3,-52.7,21.9
24/07/2020 20:30:59.594,176909,AM1V310 @305F47,30411,860076FD0401,13.4,-65,26
24/07/2020 20:30:59.655,176969,AM1V310 @305F47,30418,F7FFFFFDFC00,-0.9,-51.3,25.2
24/07/2020 20:30:59.684,176999,AM1V310 @305F47,30424,B2FF70FE8701,-7.8,-40,39.1
24/07/2020 20:30:59.744,177059,AM1V310 @305F47,30430,52FF84FE2801,-17.4,-38,29.6
24/07/2020 20:30:59.804,177119,AM1V310 @305F47,30436,E6FEE4FE1C01,-28.2,-28.4,28.4
24/07/2020 20:30:59.834,177149,AM1V310 @305F47,30443,9CFE64FFBE00,-35.6,-15.6,19
24/07/2020 20:30:59.894,177209,AM1V310 @305F47,30449,8BFED1FF4800,-37.3,-4.7,7.2
24/07/2020 20:30:59.955,177269,AM1V310 @305F47,30455,B0FE1C001200,-33.6,2.8,1.8
24/07/2020 20:30:59.984,177299,AM1V310 @305F47,30461,B5FE4A00FFFF,-33.1,7.4,-0.1
24/07/2020 20:31:00.045,177360,AM1V310 @305F47,30468,27FF4100EEFF,-21.7,6.5,-1.8
24/07/2020 20:31:00.109,177423,AM1V310 @305F47,30474,6DFF5100E5FF,-14.7,8.1,-2.7
24/07/2020 20:31:00.137,177452,AM1V310 @305F47,30480,A8FF6300D2FF,-8.8,9.9,-4.6
