Logged started on,24/07/2020 20:28:02
Feature,Magnetometer
Nodes,AM1V310 @305F47

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (mGa),Y (mGa),Z (mGa)
24/07/2020 20:33:13.693,311017,AM1V310 @305F47,47174,F70058FFDDFE,247,-168,-291
24/07/2020 20:33:13.722,311037,AM1V310 @305F47,47180,FF005AFFD3FE,255,-166,-301
24/07/2020 20:33:13.782,311097,AM1V310 @305F47,47186,020151FFD1FE,258,-175,-303
24/07/2020 20:33:13.843,311158,AM1V310 @305F47,47193,EE0057FFD3FE,238,-169,-301
24/07/2020 20:33:13.872,311187,AM1V310 @305F47,47199,F90055FFCBFE,249,-171,-309
24/07/2020 20:33:13.932,311247,AM1V310 @305F47,47205,F0005AFFC7FE,240,-166,-313
24/07/2020 20:33:13.993,311308,AM1V310 @305F47,47211,E10060FFC2FE,225,-160,-318
24/07/2020 20:33:14.023,311337,AM1V310 @305F47,47218,E20066FFBBFE,226,-154,-325
24/07/2020 20:33:14.082,311397,AM1V310 @305F47,47224,D8006DFFA9FE,216,-147,-343
24/07/2020 20:33:14.143,311458,AM1V310 @305F47,47230,D9006AFFACFE,217,-150,-340
24/07/2020 20:33:14.173,311488,AM1V310 @305F47,47236,D30066FFA7FE,211,-154,-345
24/07/2020 20:33:14.232,311547,AM1V310 @305F47,47243,DF0067FFADFE,223,-153,-339
24/07/2020 20:33:14.293,311608,AM1V310 @305F47,47249,D6006CFFA7FE,214,-148,-345
24/07/2020 20:33:14.323,311637,AM1V310 @305F47,47255,E4006DFFB3FE,228,-147,-333
24/07/2020 20:33:14.382,311697,AM1V310 @305F47,47261,E50075FFB2FE,229,-139,-334
24/07/2020 20:33:14.443,311758,AM1V310 @305F47,47268,F10073FFBEFE,241,-141,-322
24/07/2020 20:33:14.472,311787,AM1V310 @305F47,47274,F90070FFC8FE,249,-144,-312
24/07/2020 20:33:14.532,311847,AM1V310 @305F47,47280,02017FFFD1FE,258,-129,-303
24/07/2020 20:33:14.593,311908,AM1V310 @305F47,47286,FC008BFFE9FE,252,-117,-279
24/07/2020 20:33:14.623,311938,AM1V310 @305F47,47293,FC008DFF04FF,252,-115,-252
24/07/2020 20:33:14.682,311997,AM1V310 @305F47,47299,090191FF09FF,265,-111,-247
24/07/2020 20:33:14.743,312057,AM1V310 @305F47,47305,0F019CFF19FF,271,-100,-231
24/07/2020 20:33:14.773,312087,AM1V310 @305F47,47311,0C01A2FF24FF,268,-94,-220
24/07/2020 20:33:14.832,312147,AM1V310 @305F47,47318,1101A0FF2EFF,273,-96,-210
24/07/2020 20:33:14.893,312207,AM1V310 @305F47,47324,1801A2FF3FFF,280,-94,-193
24/07/2020 20:33:14.923,312238,AM1V310 @305F47,47330,23019CFF3DFF,291,-100,-195
24/07/2020 20:33:14.982,312297,AM1V310 @305F47,47336,1D0196FF39FF,285,-106,-199
24/07/2020 20:33:15.043,312358,AM1V310 @305F47,47343,150193FF30FF,277,-109,-208
24/07/2020 20:33:15.072,312387,AM1V310 @305F47,47349,0F0194FF28FF,271,-108,-216
24/07/2020 20:33:15.132,312447,AM1V310 @305F47,47355,0B0185FF1EFF,267,-123,-226
24/07/2020 20:33:15.192,312507,AM1V310 @305F47,47361,08018BFF03FF,264,-117,-253
24/07/2020 20:33:15.222,312537,AM1V310 @305F47,47368,F70091FFF2FE,247,-111,-270
24/07/2020 20:33:15.282,312597,AM1V310 @305F47,47374,E7008DFFE8FE,231,-115,-280
24/07/2020 20:33:15.342,312658,AM1V310 @305F47,47380,D9008DFFD3FE,217,-115,-301
24/07/2020 20:33:15.372,312687,AM1V310 @305F47,47386,CA0093FFC1FE,202,-109,-319
24/07/2020 20:33:15.432,312747,AM1V310 @305F47,47393,CF008BFFB9FE,207,-117,-327
24/07/2020 20:33:15.493,312808,AM1V310 @305F47,47399,C30084FFB5FE,195,-124,-331
24/07/2020 20:33:15.522,312837,AM1V310 @305F47,47405,C10081FFB0FE,193,-127,-336
24/07/2020 20:33:15.582,312897,AM1V310 @305F47,47411,C70073FFB0FE,199,-141,-336
24/07/2020 20:33:15.642,312957,AM1V310 @305F47,47418,C9006FFFA4FE,201,-145,-348
24/07/2020 20:33:15.672,312987,AM1V310 @305F47,47424,C6006AFFA3FE,198,-150,-349
24/07/2020 20:33:15.732,313047,AM1V310 @305F47,47430,C1005EFF94FE,193,-162,-364
24/07/2020 20:33:15.793,313107,AM1V310 @305F47,47436,C3005DFF94FE,195,-163,-364
24/07/2020 20:33:15.822,313137,AM1V310 @305F47,47443,C10051FF89FE,193,-175,-375
24/07/2020 20:33:15.882,313197,AM1V310 @305F47,47449,BA0052FF7FFE,186,-174,-385
24/07/2020 20:33:15.942,313257,AM1V310 @305F47,47455,C3004EFF85FE,195,-178,-379
24/07/2020 20:33:15.972,313287,AM1V310 @305F47,47461,CF004BFF89FE,207,-181,-375
24/07/2020 20:33:16.032,313347,AM1V310 @305F47,47468,DB004CFF9EFE,219,-180,-354
24/07/2020 20:33:16.093,313408,AM1V310 @305F47,47474,E5004CFFA4FE,229,-180,-348
24/07/2020 20:33:16.122,313437,AM1V310 @305F47,47480,EA0057FFBCFE,234,-169,-324
24/07/2020 20:33:16.182,313497,AM1V310 @305F47,47486,F4005BFFBEFE,244,-165,-322
24/07/2020 20:33:16.243,313557,AM1V310 @305F47,47493,FA005DFFC5FE,250,-163,-315
24/07/2020 20:33:16.273,313588,AM1V310 @305F47,47499,F40063FFCBFE,244,-157,-309
24/07/2020 20:33:16.332,313647,AM1V310 @305F47,47505,FD0067FFD4FE,253,-153,-300
24/07/2020 20:33:16.392,313707,AM1V310 @305F47,47511,F90069FFD0FE,249,-151,-304
24/07/2020 20:33:16.422,313737,AM1V310 @305F47,47518,F90067FFCDFE,249,-153,-307
24/07/2020 20:33:16.482,313797,AM1V310 @305F47,47524,00015DFFD6FE,256,-163,-298
24/07/2020 20:33:16.543,313858,AM1V310 @305F47,47530,FD0063FFD4FE,253,-157,-300
24/07/2020 20:33:16.572,313887,AM1V310 @305F47,47536,F70067FFCBFE,247,-153,-309
24/07/2020 20:33:16.632,313947,AM1V310 @305F47,47543,F90060FFD1FE,249,-160,-303
24/07/2020 20:33:16.693,314008,AM1V310 @305F47,47549,F40063FFCAFE,244,-157,-310
24/07/2020 20:33:16.722,314037,AM1V310 @305F47,47555,F40058FFCDFE,244,-168,-307
24/07/2020 20:33:16.783,314098,AM1V310 @305F47,47561,F30061FFBFFE,243,-159,-321
