Logged started on,24/07/2020 15:06:32
Feature,Magnetometer
Nodes,AM1V310 @395930

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (mGa),Y (mGa),Z (mGa)
24/07/2020 15:25:23.366,1131162,AM1V310 @395930,197961,22FF49FE94FF,-222,-439,-108
24/07/2020 15:25:23.366,1131162,AM1V310 @395930,197967,10FF58FE93FF,-240,-424,-109
24/07/2020 15:25:23.366,1131162,AM1V310 @395930,197973,12FF49FE8EFF,-238,-439,-114
24/07/2020 15:25:23.424,1131201,AM1V310 @395930,197980,0AFF4FFE90FF,-246,-433,-112
24/07/2020 15:25:23.513,1131291,AM1V310 @395930,197986,0DFF47FE94FF,-243,-441,-108
24/07/2020 15:25:23.536,1131313,AM1V310 @395930,197992,0DFF47FE8DFF,-243,-441,-115
24/07/2020 15:25:23.573,1131350,AM1V310 @395930,197998,07FF4DFE96FF,-249,-435,-106
24/07/2020 15:25:23.634,1131412,AM1V310 @395930,198005,01FF4AFE9AFF,-255,-438,-102
24/07/2020 15:25:23.663,1131441,AM1V310 @395930,198011,FEFE3EFE93FF,-258,-450,-109
24/07/2020 15:25:23.724,1131501,AM1V310 @395930,198017,FAFE47FE9CFF,-262,-441,-100
24/07/2020 15:25:23.783,1131561,AM1V310 @395930,198023,F8FE41FEA8FF,-264,-447,-88
24/07/2020 15:25:23.812,1131589,AM1V310 @395930,198030,FAFE43FEA9FF,-262,-445,-87
24/07/2020 15:25:23.873,1131651,AM1V310 @395930,198036,FBFE3DFEB5FF,-261,-451,-75
24/07/2020 15:25:23.934,1131712,AM1V310 @395930,198042,F7FE3BFEB2FF,-265,-453,-78
24/07/2020 15:25:23.966,1131743,AM1V310 @395930,198048,FAFE37FEB2FF,-262,-457,-78
24/07/2020 15:25:24.023,1131800,AM1V310 @395930,198055,F1FE34FEB4FF,-271,-460,-76
24/07/2020 15:25:24.083,1131861,AM1V310 @395930,198061,F7FE40FEB5FF,-265,-448,-75
24/07/2020 15:25:24.113,1131890,AM1V310 @395930,198067,FAFE3BFEB5FF,-262,-453,-75
24/07/2020 15:25:24.173,1131951,AM1V310 @395930,198073,FDFE38FEB5FF,-259,-456,-75
24/07/2020 15:25:24.233,1132011,AM1V310 @395930,198080,F5FE37FEB7FF,-267,-457,-73
24/07/2020 15:25:24.262,1132040,AM1V310 @395930,198086,F8FE35FEB5FF,-264,-459,-75
24/07/2020 15:25:24.324,1132101,AM1V310 @395930,198092,F5FE37FEB2FF,-267,-457,-78
24/07/2020 15:25:24.383,1132160,AM1V310 @395930,198098,F2FE40FEB8FF,-270,-448,-72
24/07/2020 15:25:24.413,1132190,AM1V310 @395930,198105,F5FE34FEB4FF,-267,-460,-76
24/07/2020 15:25:24.473,1132251,AM1V310 @395930,198111,F7FE3AFEB7FF,-265,-454,-73
24/07/2020 15:25:24.534,1132312,AM1V310 @395930,198117,F4FE35FEB2FF,-268,-459,-78
24/07/2020 15:25:24.563,1132340,AM1V310 @395930,198123,00FF3AFEB4FF,-256,-454,-76
24/07/2020 15:25:24.624,1132401,AM1V310 @395930,198130,F5FE37FEB5FF,-267,-457,-75
24/07/2020 15:25:24.683,1132460,AM1V310 @395930,198136,F5FE37FEB5FF,-267,-457,-75
24/07/2020 15:25:24.712,1132490,AM1V310 @395930,198142,FDFE3AFEB5FF,-259,-454,-75
24/07/2020 15:25:24.773,1132550,AM1V310 @395930,198148,F4FE3BFEB8FF,-268,-453,-72
24/07/2020 15:25:24.834,1132612,AM1V310 @395930,198155,F5FE37FEB4FF,-267,-457,-76
24/07/2020 15:25:24.863,1132640,AM1V310 @395930,198161,F2FE38FEB7FF,-270,-456,-73
24/07/2020 15:25:24.924,1132701,AM1V310 @395930,198167,F2FE32FEBBFF,-270,-462,-69
24/07/2020 15:25:24.983,1132761,AM1V310 @395930,198173,EFFE3BFEB8FF,-273,-453,-72
24/07/2020 15:25:25.012,1132790,AM1V310 @395930,198180,EBFE3DFEB2FF,-277,-451,-78
24/07/2020 15:25:25.073,1132851,AM1V310 @395930,198186,F4FE37FEB5FF,-268,-457,-75
24/07/2020 15:25:25.134,1132912,AM1V310 @395930,198192,FAFE37FEBBFF,-262,-457,-69
24/07/2020 15:25:25.163,1132940,AM1V310 @395930,198198,FEFE37FEBAFF,-258,-457,-70
24/07/2020 15:25:25.224,1133001,AM1V310 @395930,198205,F4FE3AFEB8FF,-268,-454,-72
24/07/2020 15:25:25.284,1133061,AM1V310 @395930,198211,F7FE38FEBBFF,-265,-456,-69
24/07/2020 15:25:25.315,1133092,AM1V310 @395930,198217,F4FE31FEBAFF,-268,-463,-70
24/07/2020 15:25:25.373,1133151,AM1V310 @395930,198223,00FF41FEB7FF,-256,-447,-73
24/07/2020 15:25:25.434,1133211,AM1V310 @395930,198230,F8FE3DFEB4FF,-264,-451,-76
24/07/2020 15:25:25.462,1133239,AM1V310 @395930,198236,F7FE38FEB2FF,-265,-456,-78
24/07/2020 15:25:25.524,1133301,AM1V310 @395930,198242,F7FE41FEB7FF,-265,-447,-73
24/07/2020 15:25:25.613,1133390,AM1V310 @395930,198248,F8FE43FEB1FF,-264,-445,-79
24/07/2020 15:25:25.632,1133409,AM1V310 @395930,198255,EFFE43FEA6FF,-273,-445,-90
24/07/2020 15:25:25.673,1133450,AM1V310 @395930,198261,EEFE43FEB5FF,-274,-445,-75
24/07/2020 15:25:25.734,1133511,AM1V310 @395930,198267,EEFE49FEAFFF,-274,-439,-81
24/07/2020 15:25:25.763,1133540,AM1V310 @395930,198273,F4FE3BFEB2FF,-268,-453,-78
24/07/2020 15:25:25.824,1133601,AM1V310 @395930,198280,FDFE3DFEB1FF,-259,-451,-79
24/07/2020 15:25:25.884,1133661,AM1V310 @395930,198286,07FF4FFEABFF,-249,-433,-85
24/07/2020 15:25:25.912,1133689,AM1V310 @395930,198292,09FF3EFEAFFF,-247,-450,-81
24/07/2020 15:25:25.974,1133751,AM1V310 @395930,198298,13FF38FEA9FF,-237,-456,-87
