Logged started on,24/07/2020 18:45:17
Feature,Magnetometer
Nodes,AM1V310 @305F47

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (mGa),Y (mGa),Z (mGa)
24/07/2020 19:15:55.639,1838561,AM1V310 @305F47,241615,F30027FFC5FE,243,-217,-315
24/07/2020 19:15:55.699,1838613,AM1V310 @305F47,241621,DE002BFFB3FE,222,-213,-333
24/07/2020 19:15:55.729,1838643,AM1V310 @305F47,241628,EB002BFFB6FE,235,-213,-330
24/07/2020 19:15:55.790,1838703,AM1V310 @305F47,241634,F9003AFFD6FE,249,-198,-298
24/07/2020 19:15:55.850,1838763,AM1V310 @305F47,241640,05013FFFF7FE,261,-193,-265
24/07/2020 19:15:55.880,1838793,AM1V310 @305F47,241646,120145FF04FF,274,-187,-252
24/07/2020 19:15:55.940,1838853,AM1V310 @305F47,241653,1B0151FF12FF,283,-175,-238
24/07/2020 19:15:56.000,1838913,AM1V310 @305F47,241659,320152FF39FF,306,-174,-199
24/07/2020 19:15:56.030,1838943,AM1V310 @305F47,241665,320154FF57FF,306,-172,-169
24/07/2020 19:15:56.089,1839003,AM1V310 @305F47,241671,380152FF6CFF,312,-174,-148
24/07/2020 19:15:56.149,1839063,AM1V310 @305F47,241678,45014FFF7CFF,325,-177,-132
24/07/2020 19:15:56.179,1839093,AM1V310 @305F47,241684,42014EFF90FF,322,-178,-112
24/07/2020 19:15:56.240,1839153,AM1V310 @305F47,241690,48014FFFA2FF,328,-177,-94
24/07/2020 19:15:56.299,1839213,AM1V310 @305F47,241696,4E014FFFAEFF,334,-177,-82
24/07/2020 19:15:56.329,1839242,AM1V310 @305F47,241703,570140FFBBFF,343,-192,-69
24/07/2020 19:15:56.389,1839302,AM1V310 @305F47,241709,53014BFFC4FF,339,-181,-60
24/07/2020 19:15:56.449,1839363,AM1V310 @305F47,241715,4E0140FFC9FF,334,-192,-55
24/07/2020 19:15:56.479,1839393,AM1V310 @305F47,241721,530143FFCCFF,339,-189,-52
24/07/2020 19:15:56.540,1839453,AM1V310 @305F47,241728,540140FFC7FF,340,-192,-57
24/07/2020 19:15:56.600,1839513,AM1V310 @305F47,241734,510148FFD3FF,337,-184,-45
24/07/2020 19:15:56.629,1839542,AM1V310 @305F47,241740,590145FFD5FF,345,-187,-43
24/07/2020 19:15:56.689,1839602,AM1V310 @305F47,241746,56014BFFD6FF,342,-181,-42
24/07/2020 19:15:56.749,1839662,AM1V310 @305F47,241753,51014EFFDBFF,337,-178,-37
24/07/2020 19:15:56.780,1839693,AM1V310 @305F47,241759,54014EFFD3FF,340,-178,-45
24/07/2020 19:15:56.839,1839752,AM1V310 @305F47,241765,4D0154FFD3FF,333,-172,-45
24/07/2020 19:15:56.899,1839813,AM1V310 @305F47,241771,480151FFCFFF,328,-175,-49
24/07/2020 19:15:56.929,1839843,AM1V310 @305F47,241778,4E0154FFD6FF,334,-172,-42
24/07/2020 19:15:56.989,1839903,AM1V310 @305F47,241784,53014CFFD0FF,339,-180,-48
24/07/2020 19:15:57.049,1839962,AM1V310 @305F47,241790,530148FFC9FF,339,-184,-55
24/07/2020 19:15:57.079,1839992,AM1V310 @305F47,241796,4B0151FFC9FF,331,-175,-55
24/07/2020 19:15:57.139,1840052,AM1V310 @305F47,241803,4D0151FFD3FF,333,-175,-45
24/07/2020 19:15:57.199,1840113,AM1V310 @305F47,241809,4B0154FFD5FF,331,-172,-43
24/07/2020 19:15:57.229,1840142,AM1V310 @305F47,241815,480158FFCFFF,328,-168,-49
24/07/2020 19:15:57.289,1840203,AM1V310 @305F47,241821,53014FFFCDFF,339,-177,-51
24/07/2020 19:15:57.349,1840263,AM1V310 @305F47,241828,450157FFD0FF,325,-169,-48
24/07/2020 19:15:57.379,1840292,AM1V310 @305F47,241834,4B0158FFCDFF,331,-168,-51
24/07/2020 19:15:57.470,1840383,AM1V310 @305F47,241840,4E0155FFCFFF,334,-171,-49
24/07/2020 19:15:57.500,1840413,AM1V310 @305F47,241846,500154FFD0FF,336,-172,-48
24/07/2020 19:15:57.529,1840442,AM1V310 @305F47,241853,4E0152FFD2FF,334,-174,-46
