Logged started on,24/07/2020 18:45:17
Feature,Accelerometer
Nodes,AM1V310 @305F47

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (mg),Y (mg),Z (mg)
24/07/2020 19:12:27.477,1630396,AM1V310 @305F47,215590,260016FC1300,38,-1002,19
24/07/2020 19:12:27.507,1630421,AM1V310 @305F47,215596,10000DFC0100,16,-1011,1
24/07/2020 19:12:27.567,1630481,AM1V310 @305F47,215603,0E0004FCFFFF,14,-1020,-1
24/07/2020 19:12:27.627,1630541,AM1V310 @305F47,215609,4D0004FCEEFF,77,-1020,-18
24/07/2020 19:12:27.657,1630570,AM1V310 @305F47,215615,00005EFB6EFF,0,-1186,-146
24/07/2020 19:12:27.717,1630631,AM1V310 @305F47,215621,93FFE9FA5E00,-109,-1303,94
24/07/2020 19:12:27.778,1630691,AM1V310 @305F47,215628,75002FFBEC00,117,-1233,236
24/07/2020 19:12:27.807,1630720,AM1V310 @305F47,215634,EBFF13FB8501,-21,-1261,389
24/07/2020 19:12:27.868,1630781,AM1V310 @305F47,215640,0E007AFBFA00,14,-1158,250
24/07/2020 19:12:27.928,1630841,AM1V310 @305F47,215646,C8FFE4FB9B00,-56,-1052,155
24/07/2020 19:12:27.958,1630871,AM1V310 @305F47,215653,76FF1CFCAB00,-138,-996,171
24/07/2020 19:12:28.017,1630931,AM1V310 @305F47,215659,CDFF57FC1D00,-51,-937,29
24/07/2020 19:12:28.077,1630991,AM1V310 @305F47,215665,F1FF99FCD6FF,-15,-871,-42
24/07/2020 19:12:28.107,1631020,AM1V310 @305F47,215671,F8FFE3FC77FF,-8,-797,-137
24/07/2020 19:12:28.167,1631080,AM1V310 @305F47,215678,7EFFA6FC20FF,-130,-858,-224
24/07/2020 19:12:28.227,1631141,AM1V310 @305F47,215684,DCFF75FC56FF,-36,-907,-170
24/07/2020 19:12:28.257,1631170,AM1V310 @305F47,215690,A9FF68FCFEFE,-87,-920,-258
24/07/2020 19:12:28.318,1631231,AM1V310 @305F47,215696,C1FF8EFC91FE,-63,-882,-367
24/07/2020 19:12:28.377,1631291,AM1V310 @305F47,215703,91FF35FC49FF,-111,-971,-183
24/07/2020 19:12:28.408,1631321,AM1V310 @305F47,215709,A0FF10FC26FF,-96,-1008,-218
24/07/2020 19:12:28.467,1631380,AM1V310 @305F47,215715,BBFFECFB43FF,-69,-1044,-189
24/07/2020 19:12:28.528,1631441,AM1V310 @305F47,215721,58FFF7FBA6FE,-168,-1033,-346
24/07/2020 19:12:28.557,1631470,AM1V310 @305F47,215728,13006CFCBCFE,19,-916,-324
24/07/2020 19:12:28.617,1631531,AM1V310 @305F47,215734,260092FCB5FE,38,-878,-331
24/07/2020 19:12:28.678,1631591,AM1V310 @305F47,215740,2C00BCFC71FE,44,-836,-399
24/07/2020 19:12:28.708,1631621,AM1V310 @305F47,215746,FAFFB8FC80FE,-6,-840,-384
24/07/2020 19:12:28.767,1631680,AM1V310 @305F47,215753,FAFFD7FC76FE,-6,-809,-394
24/07/2020 19:12:28.827,1631740,AM1V310 @305F47,215759,07002EFD8DFE,7,-722,-371
24/07/2020 19:12:28.857,1631770,AM1V310 @305F47,215765,4F0058FDA7FE,79,-680,-345
24/07/2020 19:12:28.918,1631831,AM1V310 @305F47,215771,0E001CFD7BFE,14,-740,-389
24/07/2020 19:12:28.977,1631891,AM1V310 @305F47,215778,A4FFC0FC25FE,-92,-832,-475
24/07/2020 19:12:29.008,1631921,AM1V310 @305F47,215784,A3FF82FC3BFE,-93,-894,-453
24/07/2020 19:12:29.067,1631980,AM1V310 @305F47,215790,A3FF86FC18FE,-93,-890,-488
24/07/2020 19:12:29.128,1632041,AM1V310 @305F47,215796,D7FF86FC28FE,-41,-890,-472
24/07/2020 19:12:29.157,1632070,AM1V310 @305F47,215803,D9FF69FC65FE,-39,-919,-411
24/07/2020 19:12:29.217,1632131,AM1V310 @305F47,215809,CEFF69FC57FE,-50,-919,-425
24/07/2020 19:12:29.277,1632191,AM1V310 @305F47,215815,D5FF64FC67FE,-43,-924,-409
24/07/2020 19:12:29.307,1632220,AM1V310 @305F47,215821,EAFF63FC76FE,-22,-925,-394
24/07/2020 19:12:29.367,1632280,AM1V310 @305F47,215828,CEFF5FFC48FE,-50,-929,-440
24/07/2020 19:12:29.427,1632340,AM1V310 @305F47,215834,D7FF7AFC40FE,-41,-902,-448
24/07/2020 19:12:29.457,1632370,AM1V310 @305F47,215840,E6FF79FC4EFE,-26,-903,-434
24/07/2020 19:12:29.517,1632431,AM1V310 @305F47,215846,FEFF7DFC7AFE,-2,-899,-390
24/07/2020 19:12:29.577,1632491,AM1V310 @305F47,215853,C5FF7DFC63FE,-59,-899,-413
24/07/2020 19:12:29.607,1632520,AM1V310 @305F47,215859,C1FF77FC50FE,-63,-905,-432
24/07/2020 19:12:29.668,1632581,AM1V310 @305F47,215865,C0FF69FC8CFE,-64,-919,-372
24/07/2020 19:12:29.728,1632641,AM1V310 @305F47,215871,A5FF68FC46FE,-91,-920,-442
24/07/2020 19:12:29.757,1632670,AM1V310 @305F47,215878,C6FF61FC9EFE,-58,-927,-354
24/07/2020 19:12:29.817,1632731,AM1V310 @305F47,215884,CCFF6BFC6EFE,-52,-917,-402
