Logged started on,26/07/2020 19:34:00
Feature,Magnetometer
Nodes,AM1V310 @395930

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (mGa),Y (mGa),Z (mGa)
26/07/2020 19:43:46.124,585578,AM1V310 @395930,92928,A20031FFC9FF,162,-207,-55
26/07/2020 19:43:46.183,585623,AM1V310 @395930,92934,A20034FFC3FF,162,-204,-61
26/07/2020 19:43:46.212,585652,AM1V310 @395930,92940,A6002DFFC6FF,166,-211,-58
26/07/2020 19:43:46.273,585713,AM1V310 @395930,92946,A30034FFC7FF,163,-204,-57
26/07/2020 19:43:46.333,585773,AM1V310 @395930,92953,AE0024FFD3FF,174,-220,-45
26/07/2020 19:43:46.362,585802,AM1V310 @395930,92959,AB002AFFD8FF,171,-214,-40
26/07/2020 19:43:46.424,585865,AM1V310 @395930,92965,AE0024FFE7FF,174,-220,-25
26/07/2020 19:43:46.483,585923,AM1V310 @395930,92971,B40028FFEAFF,180,-216,-22
26/07/2020 19:43:46.512,585952,AM1V310 @395930,92978,BA002DFFF9FF,186,-211,-7
26/07/2020 19:43:46.572,586012,AM1V310 @395930,92984,B2003AFFF6FF,178,-198,-10
26/07/2020 19:43:46.632,586072,AM1V310 @395930,92990,BE0045FF0A00,190,-187,10
26/07/2020 19:43:46.662,586102,AM1V310 @395930,92996,CA0052FF0A00,202,-174,10
26/07/2020 19:43:46.722,586163,AM1V310 @395930,93003,C7005DFF1500,199,-163,21
26/07/2020 19:43:46.782,586223,AM1V310 @395930,93009,BE0063FF1200,190,-157,18
26/07/2020 19:43:46.813,586253,AM1V310 @395930,93015,BE0066FF0400,190,-154,4
26/07/2020 19:43:46.873,586313,AM1V310 @395930,93021,C3006FFFF6FF,195,-145,-10
26/07/2020 19:43:46.933,586373,AM1V310 @395930,93028,B5006FFFEDFF,181,-145,-19
26/07/2020 19:43:46.962,586402,AM1V310 @395930,93034,B10072FFE7FF,177,-142,-25
26/07/2020 19:43:47.023,586463,AM1V310 @395930,93040,AC0076FFE1FF,172,-138,-31
26/07/2020 19:43:47.083,586523,AM1V310 @395930,93046,A20078FFD6FF,162,-136,-42
26/07/2020 19:43:47.112,586552,AM1V310 @395930,93053,AE0076FFD0FF,174,-138,-48
26/07/2020 19:43:47.173,586613,AM1V310 @395930,93059,A20072FFCAFF,162,-142,-54
26/07/2020 19:43:47.233,586673,AM1V310 @395930,93065,A30079FFC0FF,163,-135,-64
26/07/2020 19:43:47.262,586702,AM1V310 @395930,93071,A80079FFC9FF,168,-135,-55
26/07/2020 19:43:47.323,586763,AM1V310 @395930,93078,A90070FFD3FF,169,-144,-45
