Logged started on,26/07/2020 19:34:00
Feature,Accelerometer
Nodes,AM1V310 @395930

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (mg),Y (mg),Z (mg)
26/07/2020 19:39:15.251,314698,AM1V310 @395930,59065,0A00A7FE4503,10,-345,837
26/07/2020 19:39:15.311,314751,AM1V310 @395930,59071,26008EFE6303,38,-370,867
26/07/2020 19:39:15.401,314841,AM1V310 @395930,59078,F8FF36FEF003,-8,-458,1008
26/07/2020 19:39:15.424,314864,AM1V310 @395930,59084,28000CFEF804,40,-500,1272
26/07/2020 19:39:15.461,314901,AM1V310 @395930,59090,5E004FFE0B05,94,-433,1291
26/07/2020 19:39:15.520,314960,AM1V310 @395930,59096,2D0039FDC503,45,-711,965
26/07/2020 19:39:15.550,314990,AM1V310 @395930,59103,ABFF7BFDB202,-85,-645,690
26/07/2020 19:39:15.610,315050,AM1V310 @395930,59109,B6FFF0FD0302,-74,-528,515
26/07/2020 19:39:15.671,315111,AM1V310 @395930,59115,96FF15FFDC01,-106,-235,476
26/07/2020 19:39:15.731,315171,AM1V310 @395930,59121,81FFB4FFB201,-127,-76,434
26/07/2020 19:39:15.761,315201,AM1V310 @395930,59128,71FF91002202,-143,145,546
26/07/2020 19:39:15.821,315261,AM1V310 @395930,59134,6BFF72013203,-149,370,818
26/07/2020 19:39:15.850,315290,AM1V310 @395930,59140,C2FFC0017F04,-62,448,1151
26/07/2020 19:39:15.910,315350,AM1V310 @395930,59146,99FF03012A05,-103,259,1322
26/07/2020 19:39:15.970,315411,AM1V310 @395930,59153,5AFFAA008105,-166,170,1409
26/07/2020 19:39:16.000,315440,AM1V310 @395930,59159,9AFF2E006A05,-102,46,1386
26/07/2020 19:39:16.061,315500,AM1V310 @395930,59165,3600CAFF7105,54,-54,1393
26/07/2020 19:39:16.121,315562,AM1V310 @395930,59171,2D00E4FE4705,45,-284,1351
26/07/2020 19:39:16.150,315590,AM1V310 @395930,59178,7D00A8FE3C05,125,-344,1340
26/07/2020 19:39:16.211,315652,AM1V310 @395930,59184,A9006CFE8404,169,-404,1156
26/07/2020 19:39:16.272,315712,AM1V310 @395930,59190,850061FEF603,133,-415,1014
26/07/2020 19:39:16.301,315740,AM1V310 @395930,59196,A7FF0AFE0703,-89,-502,775
26/07/2020 19:39:16.362,315802,AM1V310 @395930,59203,9AFF15FE8A02,-102,-491,650
26/07/2020 19:39:16.420,315861,AM1V310 @395930,59209,4EFFD7FE5002,-178,-297,592
26/07/2020 19:39:16.450,315890,AM1V310 @395930,59215,54FF7AFE5D01,-172,-390,349
26/07/2020 19:39:16.510,315950,AM1V310 @395930,59221,5EFFF7FFC501,-162,-9,453
26/07/2020 19:39:16.571,316011,AM1V310 @395930,59228,11005A011602,17,346,534
26/07/2020 19:39:16.600,316040,AM1V310 @395930,59234,CCFFD6016003,-52,470,864
26/07/2020 19:39:16.663,316103,AM1V310 @395930,59240,98009C02D704,152,668,1239
26/07/2020 19:39:16.721,316162,AM1V310 @395930,59246,B6FF2C02C205,-74,556,1474
26/07/2020 19:39:16.750,316190,AM1V310 @395930,59253,23FF52007804,-221,82,1144
26/07/2020 19:39:16.811,316251,AM1V310 @395930,59259,95FF1000A203,-107,16,930
26/07/2020 19:39:16.871,316312,AM1V310 @395930,59265,0E0084008703,14,132,903
26/07/2020 19:39:16.900,316340,AM1V310 @395930,59271,8FFFDC012D05,-113,476,1325
26/07/2020 19:39:16.962,316401,AM1V310 @395930,59278,DEFF36011D04,-34,310,1053
26/07/2020 19:39:17.021,316461,AM1V310 @395930,59284,8FFF43001C03,-113,67,796
26/07/2020 19:39:17.050,316490,AM1V310 @395930,59290,CEFFE6008C04,-50,230,1164
26/07/2020 19:39:17.110,316550,AM1V310 @395930,59296,190080006C03,25,128,876
26/07/2020 19:39:17.171,316611,AM1V310 @395930,59303,29000101EB03,41,257,1003
26/07/2020 19:39:17.200,316640,AM1V310 @395930,59309,F7FFFA00E703,-9,250,999
26/07/2020 19:39:17.262,316701,AM1V310 @395930,59315,F9FFD500D003,-7,213,976
26/07/2020 19:39:17.321,316762,AM1V310 @395930,59321,CDFF0F010904,-51,271,1033
26/07/2020 19:39:17.350,316790,AM1V310 @395930,59328,E8FFB500C003,-24,181,960
26/07/2020 19:39:17.411,316851,AM1V310 @395930,59334,6AFFBD00E103,-150,189,993
