Logged started on,26/07/2020 19:34:00
Feature,Accelerometer
Nodes,AM1V310 @395930

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (mg),Y (mg),Z (mg)
26/07/2020 19:41:16.662,436105,AM1V310 @395930,74240,AC0088FEE804,172,-376,1256
26/07/2020 19:41:16.691,436131,AM1V310 @395930,74246,89007BFE2704,137,-389,1063
26/07/2020 19:41:16.753,436193,AM1V310 @395930,74253,760015FE3F03,118,-491,831
26/07/2020 19:41:16.812,436252,AM1V310 @395930,74259,390005FE6602,57,-507,614
26/07/2020 19:41:16.842,436282,AM1V310 @395930,74265,630075FE2302,99,-395,547
26/07/2020 19:41:16.902,436342,AM1V310 @395930,74271,38005CFE6801,56,-420,360
26/07/2020 19:41:16.962,436402,AM1V310 @395930,74278,90FF0BFFCA01,-112,-245,458
26/07/2020 19:41:16.991,436431,AM1V310 @395930,74284,93FFEBFF7402,-109,-21,628
26/07/2020 19:41:17.051,436491,AM1V310 @395930,74290,2CFF9F003E03,-212,159,830
26/07/2020 19:41:17.112,436552,AM1V310 @395930,74296,30FFD8000304,-208,216,1027
26/07/2020 19:41:17.142,436582,AM1V310 @395930,74303,22FF9F00D904,-222,159,1241
26/07/2020 19:41:17.202,436642,AM1V310 @395930,74309,68FF2A00FC04,-152,42,1276
26/07/2020 19:41:17.262,436702,AM1V310 @395930,74315,0C00F1FF0E05,12,-15,1294
26/07/2020 19:41:17.291,436731,AM1V310 @395930,74321,0B0013005105,11,19,1361
26/07/2020 19:41:17.352,436792,AM1V310 @395930,74328,FFFFB1FF5405,-1,-79,1364
26/07/2020 19:41:17.412,436852,AM1V310 @395930,74334,190077FF6005,25,-137,1376
26/07/2020 19:41:17.442,436882,AM1V310 @395930,74340,F7FF16FF1505,-9,-234,1301
26/07/2020 19:41:17.501,436941,AM1V310 @395930,74346,0000FCFEA604,0,-260,1190
26/07/2020 19:41:17.561,437002,AM1V310 @395930,74353,3B00AEFEE703,59,-338,999
26/07/2020 19:41:17.591,437031,AM1V310 @395930,74359,11001CFE5D03,17,-484,861
26/07/2020 19:41:17.652,437092,AM1V310 @395930,74365,15000CFE0903,21,-500,777
26/07/2020 19:41:17.711,437152,AM1V310 @395930,74371,F1FF21FEEC02,-15,-479,748
26/07/2020 19:41:17.741,437181,AM1V310 @395930,74378,D2FF28FEF402,-46,-472,756
26/07/2020 19:41:17.801,437241,AM1V310 @395930,74384,BEFFF7FD5B02,-66,-521,603
26/07/2020 19:41:17.861,437301,AM1V310 @395930,74390,AEFF80FE7402,-82,-384,628
26/07/2020 19:41:17.891,437331,AM1V310 @395930,74396,C4FFAAFE5C02,-60,-342,604
26/07/2020 19:41:17.952,437392,AM1V310 @395930,74403,84FF47FF6002,-124,-185,608
26/07/2020 19:41:18.012,437453,AM1V310 @395930,74409,86FFDAFFAD02,-122,-38,685
26/07/2020 19:41:18.041,437481,AM1V310 @395930,74415,75FF5700E102,-139,87,737
26/07/2020 19:41:18.102,437542,AM1V310 @395930,74421,B4FFCF00E003,-76,207,992
26/07/2020 19:41:18.161,437601,AM1V310 @395930,74428,BBFF8F01FA05,-69,399,1530
26/07/2020 19:41:18.191,437631,AM1V310 @395930,74434,AAFF54001B05,-86,84,1307
26/07/2020 19:41:18.253,437693,AM1V310 @395930,74440,3CFF2E00DD04,-196,46,1245
26/07/2020 19:41:18.312,437753,AM1V310 @395930,74446,72FF35006304,-142,53,1123
26/07/2020 19:41:18.342,437782,AM1V310 @395930,74453,A7FF25002E04,-89,37,1070
