Logged started on,26/07/2020 19:34:00
Feature,Magnetometer
Nodes,AM1V310 @395930

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (mGa),Y (mGa),Z (mGa)
26/07/2020 19:43:18.882,558337,AM1V310 @395930,89521,A600E2FE0F00,166,-286,15
26/07/2020 19:43:18.943,558383,AM1V310 @395930,89528,AC00F5FE1500,172,-267,21
26/07/2020 19:43:18.972,558411,AM1V310 @395930,89534,B50004FF1500,181,-252,21
26/07/2020 19:43:19.033,558473,AM1V310 @395930,89540,C0000CFF1800,192,-244,24
26/07/2020 19:43:19.093,558533,AM1V310 @395930,89546,BB0019FF1E00,187,-231,30
26/07/2020 19:43:19.122,558561,AM1V310 @395930,89553,C90034FF2100,201,-204,33
26/07/2020 19:43:19.182,558623,AM1V310 @395930,89559,C70042FF2700,199,-190,39
26/07/2020 19:43:19.243,558684,AM1V310 @395930,89565,CD005DFF2400,205,-163,36
26/07/2020 19:43:19.272,558711,AM1V310 @395930,89571,C7005AFF1C00,199,-166,28
26/07/2020 19:43:19.333,558773,AM1V310 @395930,89578,C00063FF1000,192,-157,16
26/07/2020 19:43:19.392,558832,AM1V310 @395930,89584,BD0069FF0400,189,-151,4
26/07/2020 19:43:19.423,558863,AM1V310 @395930,89590,AF0067FFF4FF,175,-153,-12
26/07/2020 19:43:19.482,558922,AM1V310 @395930,89596,AF0061FFEAFF,175,-159,-22
26/07/2020 19:43:19.634,559074,AM1V310 @395930,89603,B7005DFFF3FF,183,-163,-13
26/07/2020 19:43:19.634,559075,AM1V310 @395930,89615,AE0060FFDEFF,174,-160,-34
26/07/2020 19:43:19.634,559076,AM1V310 @395930,89609,A6005AFFE2FF,166,-166,-30
26/07/2020 19:43:19.755,559196,AM1V310 @395930,89628,B7004BFFEAFF,183,-181,-22
26/07/2020 19:43:19.755,559196,AM1V310 @395930,89621,B10052FFE5FF,177,-174,-27
26/07/2020 19:43:19.786,559226,AM1V310 @395930,89634,B8004EFFF0FF,184,-178,-16
26/07/2020 19:43:19.844,559284,AM1V310 @395930,89640,BB004FFFFDFF,187,-177,-3
26/07/2020 19:43:19.873,559313,AM1V310 @395930,89646,BE005AFF0C00,190,-166,12
26/07/2020 19:43:19.933,559373,AM1V310 @395930,89653,C6005BFF0D00,198,-165,13
26/07/2020 19:43:19.993,559433,AM1V310 @395930,89659,CC0069FF1300,204,-151,19
26/07/2020 19:43:20.022,559461,AM1V310 @395930,89665,C90079FF1300,201,-135,19
26/07/2020 19:43:20.083,559524,AM1V310 @395930,89671,C40088FF1200,196,-120,18
26/07/2020 19:43:20.143,559584,AM1V310 @395930,89678,BA0090FF0900,186,-112,9
26/07/2020 19:43:20.172,559611,AM1V310 @395930,89684,BA009DFF0000,186,-99,0
26/07/2020 19:43:20.233,559673,AM1V310 @395930,89690,B800A6FFFDFF,184,-90,-3
26/07/2020 19:43:20.293,559733,AM1V310 @395930,89696,A800ABFFF0FF,168,-85,-16
26/07/2020 19:43:20.322,559761,AM1V310 @395930,89703,9C00A6FFE8FF,156,-90,-24
26/07/2020 19:43:20.384,559824,AM1V310 @395930,89709,9700ABFFDEFF,151,-85,-34
26/07/2020 19:43:20.444,559884,AM1V310 @395930,89715,8700A8FFD8FF,135,-88,-40
26/07/2020 19:43:20.472,559912,AM1V310 @395930,89721,850099FFC9FF,133,-103,-55
26/07/2020 19:43:20.533,559973,AM1V310 @395930,89728,7B009DFFC6FF,123,-99,-58
26/07/2020 19:43:20.592,560032,AM1V310 @395930,89734,66009AFFBEFF,102,-102,-66
