Logged started on,26/07/2020 19:34:00
Feature,Gyroscope
Nodes,AM1V310 @395930

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (dps),Y (dps),Z (dps)
26/07/2020 19:37:56.200,235651,AM1V310 @395930,49181,37FFDBFFD300,-20.1,-3.7,21.1
26/07/2020 19:37:56.260,235700,AM1V310 @395930,49187,16FF1E002401,-23.4,3,29.2
26/07/2020 19:37:56.290,235730,AM1V310 @395930,49193,8DFEFEFF6401,-37.1,-0.2,35.6
26/07/2020 19:37:56.350,235791,AM1V310 @395930,49200,2EFFB7005B01,-21,18.3,34.7
26/07/2020 19:37:56.411,235851,AM1V310 @395930,49206,63FF69004D01,-15.7,10.5,33.3
26/07/2020 19:37:56.441,235881,AM1V310 @395930,49212,E000F000BF00,22.4,24,19.1
26/07/2020 19:37:56.501,235941,AM1V310 @395930,49218,8901BDFF1501,39.3,-6.7,27.7
26/07/2020 19:37:56.561,236001,AM1V310 @395930,49225,AB025FFFBC00,68.3,-16.1,18.8
26/07/2020 19:37:56.590,236029,AM1V310 @395930,49231,B80222FF4600,69.6,-22.2,7
26/07/2020 19:37:56.651,236091,AM1V310 @395930,49237,B70280FFF4FF,69.5,-12.8,-1.2
26/07/2020 19:37:56.711,236151,AM1V310 @395930,49243,790232FFBFFF,63.3,-20.6,-6.5
26/07/2020 19:37:56.741,236181,AM1V310 @395930,49250,EA0154FF90FF,49,-17.2,-11.2
26/07/2020 19:37:56.801,236241,AM1V310 @395930,49256,F9009EFF81FF,24.9,-9.8,-12.7
26/07/2020 19:37:56.861,236302,AM1V310 @395930,49262,F000460067FF,24,7,-15.3
26/07/2020 19:37:56.890,236329,AM1V310 @395930,49268,F6FFE3FFBBFF,-1,-2.9,-6.9
26/07/2020 19:37:56.951,236391,AM1V310 @395930,49275,B8FECAFFDDFF,-32.8,-5.4,-3.5
26/07/2020 19:37:57.011,236451,AM1V310 @395930,49281,39FE07000900,-45.5,0.7,0.9
26/07/2020 19:37:57.041,236481,AM1V310 @395930,49287,25FD90FFAA00,-73.1,-11.2,17
26/07/2020 19:37:57.101,236541,AM1V310 @395930,49293,9AFD6B000701,-61.4,10.7,26.3
26/07/2020 19:37:57.161,236601,AM1V310 @395930,49300,6AFE6F007501,-40.6,11.1,37.3
26/07/2020 19:37:57.190,236629,AM1V310 @395930,49306,07FE0A008A01,-50.5,1,39.4
26/07/2020 19:37:57.281,236721,AM1V310 @395930,49312,F2FEBF002401,-27,19.1,29.2
26/07/2020 19:37:57.310,236750,AM1V310 @395930,49318,BDFF27FFCA01,-6.7,-21.7,45.8
26/07/2020 19:37:57.341,236781,AM1V310 @395930,49325,CD00C5FF4301,20.5,-5.9,32.3
26/07/2020 19:37:57.402,236842,AM1V310 @395930,49331,65012A00D400,35.7,4.2,21.2
26/07/2020 19:37:57.461,236901,AM1V310 @395930,49337,50028CFE0A01,59.2,-37.2,26.6
26/07/2020 19:37:57.490,236929,AM1V310 @395930,49343,BC0304001C00,95.6,0.4,2.8
26/07/2020 19:37:57.551,236991,AM1V310 @395930,49350,6D03ADFE3500,87.7,-33.9,5.3
26/07/2020 19:37:57.611,237051,AM1V310 @395930,49356,74034EFF2C00,88.4,-17.8,4.4
26/07/2020 19:37:57.640,237080,AM1V310 @395930,49362,8D0086FF0000,14.1,-12.2,0
26/07/2020 19:37:57.701,237141,AM1V310 @395930,49368,FC00F9FF1900,25.2,-0.7,2.5
26/07/2020 19:37:57.760,237200,AM1V310 @395930,49375,6C0177FFD9FF,36.4,-13.7,-3.9
