Logged started on,29/07/2020 20:06:38
Feature,Accelerometer
Nodes,AM1V310 @305F47

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (mg),Y (mg),Z (mg)
29/07/2020 20:12:41.680,363205,AM1V310 @305F47,48408,0200CEFF7203,2,-50,882
29/07/2020 20:12:41.740,363259,AM1V310 @305F47,48414,C4FF92FF3504,-60,-110,1077
29/07/2020 20:12:41.800,363320,AM1V310 @305F47,48420,89005CFF1003,137,-164,784
29/07/2020 20:12:41.830,363349,AM1V310 @305F47,48427,C2FF48FFDF04,-62,-184,1247
29/07/2020 20:12:41.890,363410,AM1V310 @305F47,48433,FBFF98FF9705,-5,-104,1431
29/07/2020 20:12:41.950,363470,AM1V310 @305F47,48439,D5FFBCFF0F04,-43,-68,1039
29/07/2020 20:12:41.980,363500,AM1V310 @305F47,48445,D9FF87FF5205,-39,-121,1362
29/07/2020 20:12:42.040,363560,AM1V310 @305F47,48452,EDFF1FFF1104,-19,-225,1041
29/07/2020 20:12:42.100,363620,AM1V310 @305F47,48458,A50073FEAB02,165,-397,683
29/07/2020 20:12:42.130,363649,AM1V310 @305F47,48464,0101A7FDE202,257,-601,738
29/07/2020 20:12:42.190,363710,AM1V310 @305F47,48470,2A0115FD7E02,298,-747,638
29/07/2020 20:12:42.250,363770,AM1V310 @305F47,48477,3601C4FC1801,310,-828,280
29/07/2020 20:12:42.280,363800,AM1V310 @305F47,48483,B100E2FCCC02,177,-798,716
29/07/2020 20:12:42.340,363860,AM1V310 @305F47,48489,D0006CFDA200,208,-660,162
29/07/2020 20:12:42.400,363920,AM1V310 @305F47,48495,200015FECE02,32,-491,718
29/07/2020 20:12:42.430,363949,AM1V310 @305F47,48502,66002EFFF3FF,102,-210,-13
29/07/2020 20:12:42.490,364010,AM1V310 @305F47,48508,47000200F104,71,2,1265
29/07/2020 20:12:42.550,364070,AM1V310 @305F47,48514,C1FFEC008B00,-63,236,139
29/07/2020 20:12:42.580,364100,AM1V310 @305F47,48520,EAFF37014306,-22,311,1603
29/07/2020 20:12:42.640,364160,AM1V310 @305F47,48527,A1FFF201F602,-95,498,758
29/07/2020 20:12:42.700,364220,AM1V310 @305F47,48533,3500EC01B404,53,492,1204
29/07/2020 20:12:42.730,364249,AM1V310 @305F47,48539,A7FF01027503,-89,513,885
29/07/2020 20:12:42.790,364310,AM1V310 @305F47,48545,6000E501B503,96,485,949
