Logged started on,29/07/2020 20:06:38
Feature,Gyroscope
Nodes,AM1V310 @305F47

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (dps),Y (dps),Z (dps)
29/07/2020 20:12:41.680,363207,AM1V310 @305F47,48408,CE0080FF9900,20.6,-12.8,15.3
29/07/2020 20:12:41.740,363260,AM1V310 @305F47,48414,5801EEFFA800,34.4,-1.8,16.8
29/07/2020 20:12:41.800,363320,AM1V310 @305F47,48420,740079FE9900,11.6,-39.1,15.3
29/07/2020 20:12:41.830,363349,AM1V310 @305F47,48427,9FFEE8FD7E00,-35.3,-53.6,12.6
29/07/2020 20:12:41.890,363410,AM1V310 @305F47,48433,97FDE5FDC8FF,-61.7,-53.9,-5.6
29/07/2020 20:12:41.950,363470,AM1V310 @305F47,48439,2DF905FD0FFF,-174.7,-76.3,-24.1
29/07/2020 20:12:41.980,363500,AM1V310 @305F47,48445,F3F8E4FF32FE,-180.5,-2.8,-46.2
29/07/2020 20:12:42.040,363560,AM1V310 @305F47,48452,99F756FF3EFE,-215.1,-17,-45
29/07/2020 20:12:42.100,363620,AM1V310 @305F47,48458,95F8A9FF76FE,-189.9,-8.7,-39.4
29/07/2020 20:12:42.130,363650,AM1V310 @305F47,48464,30FB03016DFF,-123.2,25.9,-14.7
29/07/2020 20:12:42.190,363710,AM1V310 @305F47,48470,84FD8E012200,-63.6,39.8,3.4
29/07/2020 20:12:42.250,363770,AM1V310 @305F47,48477,76FFCB01E800,-13.8,45.9,23.2
29/07/2020 20:12:42.280,363800,AM1V310 @305F47,48483,530122024901,33.9,54.6,32.9
29/07/2020 20:12:42.340,363860,AM1V310 @305F47,48489,8504EF01A601,115.7,49.5,42.2
29/07/2020 20:12:42.400,363920,AM1V310 @305F47,48495,DC057B00C201,150,12.3,45
29/07/2020 20:12:42.430,363949,AM1V310 @305F47,48502,5B089700FC01,213.9,15.1,50.8
29/07/2020 20:12:42.490,364010,AM1V310 @305F47,48508,6E0A8CFF1F03,267,-11.6,79.9
29/07/2020 20:12:42.550,364070,AM1V310 @305F47,48514,1309ADFFF401,232.3,-8.3,50
29/07/2020 20:12:42.580,364100,AM1V310 @305F47,48520,89074FFF0E03,192.9,-17.7,78.2
29/07/2020 20:12:42.640,364160,AM1V310 @305F47,48527,61060B005B01,163.3,1.1,34.7
29/07/2020 20:12:42.700,364220,AM1V310 @305F47,48533,6B035AFFA101,87.5,-16.6,41.7
29/07/2020 20:12:42.730,364249,AM1V310 @305F47,48539,0D01A0FE6201,26.9,-35.2,35.4
29/07/2020 20:12:42.790,364310,AM1V310 @305F47,48545,78FF1FFFB600,-13.6,-22.5,18.2
29/07/2020 20:12:42.850,364370,AM1V310 @305F47,48552,A8FFDAFE0C01,-8.8,-29.4,26.8
29/07/2020 20:12:42.880,364399,AM1V310 @305F47,48558,B9FD04FEEE00,-58.3,-50.8,23.8
29/07/2020 20:12:42.940,364460,AM1V310 @305F47,48564,02FD12FFD200,-76.6,-23.8,21
29/07/2020 20:12:43.000,364520,AM1V310 @305F47,48570,84FA7BFFA5FF,-140.4,-13.3,-9.1
29/07/2020 20:12:43.030,364549,AM1V310 @305F47,48577,FDF7BDFF1EFF,-205.1,-6.7,-22.6
29/07/2020 20:12:43.090,364610,AM1V310 @305F47,48583,BCF7DA00EDFE,-211.6,21.8,-27.5
29/07/2020 20:12:43.150,364670,AM1V310 @305F47,48589,39F7180149FF,-224.7,28,-18.3
29/07/2020 20:12:43.180,364699,AM1V310 @305F47,48595,DEF90B0187FF,-157,26.7,-12.1
29/07/2020 20:12:43.240,364760,AM1V310 @305F47,48602,BFFA1102F0FF,-134.5,52.9,-1.6
29/07/2020 20:12:43.300,364820,AM1V310 @305F47,48608,02FF5A0261FF,-25.4,60.2,-15.9
29/07/2020 20:12:43.330,364850,AM1V310 @305F47,48614,9E00690142FF,15.8,36.1,-19
29/07/2020 20:12:43.390,364910,AM1V310 @305F47,48620,36055302D100,133.4,59.5,20.9
29/07/2020 20:12:43.450,364970,AM1V310 @305F47,48627,980739FFEB00,194.4,-19.9,23.5
29/07/2020 20:12:43.480,364999,AM1V310 @305F47,48633,A90761002201,196.1,9.7,29
29/07/2020 20:12:43.540,365060,AM1V310 @305F47,48639,BE0991FD9D02,249.4,-62.3,66.9
29/07/2020 20:12:43.600,365120,AM1V310 @305F47,48645,6907CFFF7600,189.7,-4.9,11.8
29/07/2020 20:12:43.630,365149,AM1V310 @305F47,48652,AD0520008600,145.3,3.2,13.4
29/07/2020 20:12:43.690,365209,AM1V310 @305F47,48658,8403C4FF2801,90,-6,29.6
29/07/2020 20:12:43.750,365270,AM1V310 @305F47,48664,FB01A0FFE000,50.7,-9.6,22.4
29/07/2020 20:12:43.780,365300,AM1V310 @305F47,48670,10012EFF0501,27.2,-21,26.1
29/07/2020 20:12:43.840,365360,AM1V310 @305F47,48677,17FFC8FF5300,-23.3,-5.6,8.3
29/07/2020 20:12:43.900,365420,AM1V310 @305F47,48683,61FB19003F00,-118.3,2.5,6.3
29/07/2020 20:12:43.930,365450,AM1V310 @305F47,48689,A0FBAD01A3FE,-112,42.9,-34.9
29/07/2020 20:12:43.990,365510,AM1V310 @305F47,48695,22FB5D0025FF,-124.6,9.3,-21.9
29/07/2020 20:12:44.050,365570,AM1V310 @305F47,48702,73FBF70017FF,-116.5,24.7,-23.3
29/07/2020 20:12:44.080,365600,AM1V310 @305F47,48708,69FB510089FF,-117.5,8.1,-11.9
29/07/2020 20:12:44.140,365660,AM1V310 @305F47,48714,E8FBD3007AFF,-104.8,21.1,-13.4
29/07/2020 20:12:44.200,365719,AM1V310 @305F47,48720,C1FB55006AFF,-108.7,8.5,-15
29/07/2020 20:12:44.230,365749,AM1V310 @305F47,48727,04FDB70086FF,-76.4,18.3,-12.2
29/07/2020 20:12:44.290,365810,AM1V310 @305F47,48733,FCFC4F005DFF,-77.2,7.9,-16.3
29/07/2020 20:12:44.350,365869,AM1V310 @305F47,48739,C4FEFD00E9FF,-31.6,25.3,-2.3
29/07/2020 20:12:44.380,365899,AM1V310 @305F47,48745,94FF9800F5FF,-10.8,15.2,-1.1
29/07/2020 20:12:44.440,365960,AM1V310 @305F47,48752,8101BC006B00,38.5,18.8,10.7
29/07/2020 20:12:44.500,366020,AM1V310 @305F47,48758,770058001600,11.9,8.8,2.2
29/07/2020 20:12:44.529,366049,AM1V310 @305F47,48764,6B01C4007700,36.3,19.6,11.9
29/07/2020 20:12:44.590,366109,AM1V310 @305F47,48770,240014005600,3.6,2,8.6
29/07/2020 20:12:44.650,366170,AM1V310 @305F47,48777,5A0087006200,9,13.5,9.8
29/07/2020 20:12:44.680,366199,AM1V310 @305F47,48783,7C000E007A00,12.4,1.4,12.2
29/07/2020 20:12:44.740,366260,AM1V310 @305F47,48789,430015006800,6.7,2.1,10.4
29/07/2020 20:12:44.800,366320,AM1V310 @305F47,48795,4A00C1FF2C00,7.4,-6.3,4.4
29/07/2020 20:12:44.830,366349,AM1V310 @305F47,48802,0F00D2FFEBFF,1.5,-4.6,-2.1
29/07/2020 20:12:44.890,366409,AM1V310 @305F47,48808,F8FFCBFFD2FF,-0.8,-5.3,-4.6
29/07/2020 20:12:44.950,366470,AM1V310 @305F47,48814,D9FF1000EFFF,-3.9,1.6,-1.7
29/07/2020 20:12:44.980,366499,AM1V310 @305F47,48820,C3FF2100F7FF,-6.1,3.3,-0.9
29/07/2020 20:12:45.040,366560,AM1V310 @305F47,48827,90FFD6FFFDFF,-11.2,-4.2,-0.3
29/07/2020 20:12:45.100,366620,AM1V310 @305F47,48833,93FFD0FF0600,-10.9,-4.8,0.6
29/07/2020 20:12:45.130,366650,AM1V310 @305F47,48839,CAFFEFFF0400,-5.4,-1.7,0.4
29/07/2020 20:12:45.190,366710,AM1V310 @305F47,48845,B8FFD4FF0700,-7.2,-4.4,0.7
29/07/2020 20:12:45.250,366770,AM1V310 @305F47,48852,BEFFF7FF1900,-6.6,-0.9,2.5
29/07/2020 20:12:45.280,366799,AM1V310 @305F47,48858,48FF04001700,-18.4,0.4,2.3
