,Date_x,HostTimestamp,NodeName,NodeTimestamp_x,RawData_x,X (dps),Y (dps),Z (dps),move_type_x,Date_y,NodeTimestamp_y,RawData_y,X (mg),Y (mg),Z (mg),move_type_y,Date,NodeTimestamp,RawData,X (mGa),Y (mGa),Z (mGa),move_type
0,24/07/2020 19:27:09.374,2512295,AM1V310 @305F47,325840,5702A4FE8200,59.9,-34.8,13.0,D,24/07/2020 19:27:09.374,325840,F0FFAAFC3000,-16,-854,48,D,,,,,,,
1,24/07/2020 19:27:09.434,2512347,AM1V310 @305F47,325846,83FFBCFE5200,-12.5,-32.4,8.2,D,24/07/2020 19:27:09.434,325846,BEFE0BFC0A00,-322,-1013,10,D,24/07/2020 19:27:09.434,325846.0,1A0151FFE9FE,282.0,-175.0,-279.0,D
2,24/07/2020 19:27:09.464,2512377,AM1V310 @305F47,325853,D1FF0E000E00,-4.7,1.4,1.4,D,24/07/2020 19:27:09.464,325853,5DFFADFB2800,-163,-1107,40,D,24/07/2020 19:27:09.464,325853.0,2D0143FFE2FE,301.0,-189.0,-286.0,D
3,24/07/2020 19:27:09.525,2512438,AM1V310 @305F47,325859,E40090FF89FF,22.8,-11.2,-11.9,D,24/07/2020 19:27:09.525,325859,08FF85FB4900,-248,-1147,73,D,24/07/2020 19:27:09.525,325859.0,230149FFCBFE,291.0,-183.0,-309.0,D
4,24/07/2020 19:27:09.584,2512498,AM1V310 @305F47,325865,3B018DFF01FF,31.5,-11.5,-25.5,D,24/07/2020 19:27:09.584,325865,88FFDBFB3A00,-120,-1061,58,D,24/07/2020 19:27:09.584,325865.0,170131FFC4FE,279.0,-207.0,-316.0,D
5,24/07/2020 19:27:09.614,2512527,AM1V310 @305F47,325871,6300A9001700,9.9,16.9,2.3,D,24/07/2020 19:27:09.614,325871,EFFF3BFC2E00,-17,-965,46,D,24/07/2020 19:27:09.614,325871.0,150133FFC4FE,277.0,-205.0,-316.0,D
6,24/07/2020 19:27:09.674,2512587,AM1V310 @305F47,325878,F0FF27FF00FF,-1.6,-21.7,-25.6,D,24/07/2020 19:27:09.674,325878,81FF19FC3600,-127,-999,54,D,24/07/2020 19:27:09.674,325878.0,150134FFB8FE,277.0,-204.0,-328.0,D
7,24/07/2020 19:27:09.734,2512647,AM1V310 @305F47,325884,B700BFFF9FFF,18.3,-6.5,-9.7,D,24/07/2020 19:27:09.734,325884,8CFFD1FBB500,-116,-1071,181,D,24/07/2020 19:27:09.734,325884.0,120128FFADFE,274.0,-216.0,-339.0,D
8,24/07/2020 19:27:09.764,2512677,AM1V310 @305F47,325890,9E0056FF84FE,15.8,-17.0,-38.0,D,24/07/2020 19:27:09.764,325890,8FFF1BFC2C00,-113,-997,44,D,24/07/2020 19:27:09.764,325890.0,120128FF9EFE,274.0,-216.0,-354.0,D
9,24/07/2020 19:27:09.824,2512737,AM1V310 @305F47,325896,67012E0023FF,35.9,4.6,-22.1,D,24/07/2020 19:27:09.824,325896,06FFA8FBBA00,-250,-1112,186,D,24/07/2020 19:27:09.824,325896.0,0E0113FFA1FE,270.0,-237.0,-351.0,D
10,24/07/2020 19:27:09.884,2512797,AM1V310 @305F47,325903,2F0108000BFF,30.3,0.8,-24.5,D,24/07/2020 19:27:09.884,325903,5B00C7FBB000,91,-1081,176,D,24/07/2020 19:27:09.884,325903.0,FD000CFF98FE,253.0,-244.0,-360.0,D
11,24/07/2020 19:27:09.914,2512827,AM1V310 @305F47,325909,4500B5FFB1FF,6.9,-7.5,-7.9,D,24/07/2020 19:27:09.914,325909,D1FFACFB4500,-47,-1108,69,D,24/07/2020 19:27:09.914,325909.0,F90004FF89FE,249.0,-252.0,-375.0,D
12,24/07/2020 19:27:09.974,2512887,AM1V310 @305F47,325915,5C00CDFF0B00,9.2,-5.1,1.1,D,24/07/2020 19:27:09.974,325915,91FF7FFB8800,-111,-1153,136,D,24/07/2020 19:27:09.974,325915.0,F60006FF82FE,246.0,-250.0,-382.0,D
13,24/07/2020 19:27:10.034,2512947,AM1V310 @305F47,325921,35000200AAFF,5.3,0.2,-8.6,D,24/07/2020 19:27:10.034,325921,4AFFFBFADD00,-182,-1285,221,D,24/07/2020 19:27:10.034,325921.0,F40000FF80FE,244.0,-256.0,-384.0,D
14,24/07/2020 19:27:10.064,2512977,AM1V310 @305F47,325928,B500250025FF,18.1,3.7,-21.9,D,24/07/2020 19:27:10.064,325928,FBFF71FB5301,-5,-1167,339,D,24/07/2020 19:27:10.064,325928.0,F400FEFE85FE,244.0,-258.0,-379.0,D
15,24/07/2020 19:27:10.125,2513038,AM1V310 @305F47,325934,1D000C005DFF,2.9,1.2,-16.3,D,24/07/2020 19:27:10.125,325934,0D00C7FB7B00,13,-1081,123,D,24/07/2020 19:27:10.125,325934.0,FA00F8FE7FFE,250.0,-264.0,-385.0,D
16,24/07/2020 19:27:10.184,2513097,AM1V310 @305F47,325940,E6FF48000700,-2.6,7.2,0.7,D,24/07/2020 19:27:10.184,325940,2700D7FBD700,39,-1065,215,D,24/07/2020 19:27:10.125,325934.0,FA00F8FE7FFE,250.0,-264.0,-385.0,D
17,24/07/2020 19:27:10.214,2513127,AM1V310 @305F47,325946,B8FF1000B6FF,-7.2,1.6,-7.4,D,24/07/2020 19:27:10.214,325946,2F0018FC8000,47,-1000,128,D,24/07/2020 19:27:10.214,325946.0,F400F2FE82FE,244.0,-270.0,-382.0,D
18,24/07/2020 19:27:10.274,2513187,AM1V310 @305F47,325953,B3FFE7FFA6FF,-7.7,-2.5,-9.0,D,24/07/2020 19:27:10.274,325953,260022FCAB00,38,-990,171,D,24/07/2020 19:27:10.274,325953.0,0301F1FE88FE,259.0,-271.0,-376.0,D
19,24/07/2020 19:27:10.334,2513247,AM1V310 @305F47,325959,5DFFD9FFEEFF,-16.3,-3.9,-1.8,D,24/07/2020 19:27:10.334,325959,D7FFEAFB7900,-41,-1046,121,D,24/07/2020 19:27:10.334,325959.0,FA00F2FE86FE,250.0,-270.0,-378.0,D
20,24/07/2020 19:27:10.364,2513277,AM1V310 @305F47,325965,26002100BCFF,3.8,3.3,-6.8,D,24/07/2020 19:27:10.364,325965,F8FF2BFC3300,-8,-981,51,D,24/07/2020 19:27:10.364,325965.0,FC00EFFE85FE,252.0,-273.0,-379.0,D
21,24/07/2020 19:27:10.423,2513336,AM1V310 @305F47,325971,CDFF270097FF,-5.1,3.9,-10.5,D,24/07/2020 19:27:10.423,325971,6D0016FC9D00,109,-1002,157,D,24/07/2020 19:27:10.364,325965.0,FC00EFFE85FE,252.0,-273.0,-379.0,D
22,24/07/2020 19:27:10.484,2513397,AM1V310 @305F47,325978,BDFF280097FF,-6.7,4.0,-10.5,D,24/07/2020 19:27:10.484,325978,0000CEFBAF00,0,-1074,175,D,24/07/2020 19:27:10.484,325978.0,0601EFFE7FFE,262.0,-273.0,-385.0,D
23,24/07/2020 19:27:10.514,2513427,AM1V310 @305F47,325984,0F001A00C8FF,1.5,2.6,-5.6,D,24/07/2020 19:27:10.514,325984,680032FC6B00,104,-974,107,D,24/07/2020 19:27:10.514,325984.0,0801E6FE8CFE,264.0,-282.0,-372.0,D
24,24/07/2020 19:27:10.574,2513487,AM1V310 @305F47,325990,46002200CDFF,7.0,3.4,-5.1,D,24/07/2020 19:27:10.574,325990,60001DFCAF00,96,-995,175,D,24/07/2020 19:27:10.514,325984.0,0801E6FE8CFE,264.0,-282.0,-372.0,D
25,24/07/2020 19:27:10.634,2513547,AM1V310 @305F47,325996,FEFF19001F00,-0.2,2.5,3.1,D,24/07/2020 19:27:10.634,325996,750026FCC700,117,-986,199,D,24/07/2020 19:27:10.634,325996.0,FC00E9FE80FE,252.0,-279.0,-384.0,D
26,24/07/2020 19:27:10.664,2513577,AM1V310 @305F47,326003,FCFF0400F5FF,-0.4,0.4,-1.1,D,24/07/2020 19:27:10.664,326003,2D0020FC8800,45,-992,136,D,24/07/2020 19:27:10.664,326003.0,FD00EBFE82FE,253.0,-277.0,-382.0,D
27,24/07/2020 19:27:10.724,2513637,AM1V310 @305F47,326009,0B002000FEFF,1.1,3.2,-0.2,D,24/07/2020 19:27:10.724,326009,55001AFC9E00,85,-998,158,D,24/07/2020 19:27:10.724,326009.0,F300EFFE80FE,243.0,-273.0,-384.0,D
28,24/07/2020 19:27:10.784,2513697,AM1V310 @305F47,326015,EBFF09002600,-2.1,0.9,3.8,D,24/07/2020 19:27:10.784,326015,330025FC8900,51,-987,137,D,24/07/2020 19:27:10.784,326015.0,F900F2FE7AFE,249.0,-270.0,-390.0,D
