sr_no,HostTimestamp,X_mg,Y_mg,Z_mg,X_dps,Y_dps,Z_dps,move_type
1,156162,21.0,-75.0,1126.0,9.6,0.0,14.1,D
2,156222,-74.0,-111.0,1162.0,2.1,19.6,23.1,D
3,156282,-99.0,-98.0,1296.0,-11.8,58.6,18.9,D
4,156311,-150.0,-120.0,1037.0,-17.2,50.5,31.2,D
5,156371,-325.0,-116.0,1059.0,-19.6,35.8,31.6,D
6,156431,-352.0,-146.0,895.0,2.9,16.1,9.3,D
7,156462,-224.0,-79.0,1081.0,35.4,-19.6,-4.1,D
8,156522,-195.0,-89.0,1184.0,0.7,3.2,2.6,D
9,156582,-178.0,-75.0,1063.0,4.2,1.8,3.3,D
10,156611,-194.0,-87.0,1040.0,-0.8,-1.7,5.1,D
11,156671,-229.0,-94.0,989.0,-0.9,-5.2,3.2,D
12,156732,-182.0,-86.0,951.0,-0.9,-5.2,3.2,D
13,156761,-203.0,-87.0,960.0,-1.5,0.1,1.2,D
14,156822,-176.0,-76.0,1003.0,5.7,-5.6,-0.5,D
15,156881,-162.0,-80.0,1015.0,4.2,-5.6,0.2,D
16,156911,-148.0,-63.0,1019.0,-3.2,-2.6,1.4,D
17,156972,-173.0,-73.0,939.0,-1.5,1.8,4.2,D
18,157032,-187.0,-83.0,990.0,0.1,-0.7,1.8,D
19,157061,-179.0,-83.0,959.0,3.0,0.7,1.6,D
20,157121,-196.0,-77.0,1046.0,7.3,-2.4,0.0,D
21,157182,-167.0,-73.0,1007.0,2.1,-3.7,-0.5,D
22,157211,-165.0,-74.0,1009.0,1.9,-4.2,0.0,D
23,157272,-142.0,-78.0,975.0,-2.5,-2.5,0.2,D
24,157332,-154.0,-79.0,1014.0,1.5,-1.6,0.3,D
25,157362,-168.0,-77.0,990.0,-0.7,-0.2,1.7,D
26,157422,-198.0,-77.0,999.0,1.3,-3.1,0.0,D
27,157482,-188.0,-71.0,992.0,-0.6,-1.5,-1.0,D
28,157511,-148.0,-68.0,1003.0,4.7,-7.1,-2.8,D
29,157571,-144.0,-72.0,1013.0,0.5,-3.8,-1.4,D
30,157632,-140.0,-68.0,998.0,3.2,-6.0,-0.9,D
31,157661,-124.0,-60.0,1023.0,4.1,-8.0,-1.4,D
32,157721,-121.0,-59.0,1053.0,-1.5,-3.2,0.7,D
33,157804,-145.0,-65.0,987.0,-1.5,-3.2,0.7,D
34,157811,-140.0,-74.0,1011.0,-2.8,-4.6,2.1,D
35,157871,-120.0,-77.0,1006.0,-3.2,-3.2,3.0,D
36,157931,-124.0,-92.0,989.0,-3.7,-3.2,1.7,D
37,157961,-120.0,-92.0,999.0,0.3,-2.1,1.4,D
