sr_no,HostTimestamp,NodeTimestamp,X_mg,Y_mg,Z_mg,X_mGa,Y_mGa,Z_mGa,X_dps,Y_dps,Z_dps,move_type
1,522804,70440,136,67,1001,-316.0,-451.0,-45.0,1.3,-0.7,3.2,L
2,522833,70446,128,59,1007,-313.0,-451.0,-46.0,-1.4,1.6,1.9,L
3,522895,70452,128,59,1007,-316.0,-450.0,-52.0,0.1,-0.2,1.6,L
4,522954,70459,116,62,1001,-312.0,-447.0,-40.0,-0.5,-0.9,2.1,L
5,523014,70465,133,67,998,-315.0,-448.0,-48.0,-0.1,-0.2,0.9,L
6,523043,70471,129,73,1008,-319.0,-447.0,-45.0,-0.5,0.4,1.8,L
7,523104,70477,107,67,1007,-315.0,-451.0,-46.0,-0.1,-0.8,2.5,L
8,523133,70484,133,71,1009,-316.0,-445.0,-49.0,-1.3,0.4,3.1,L
9,523194,70490,122,59,1003,-316.0,-451.0,-46.0,-1.2,0.0,2.9,L
10,523284,70496,122,59,1003,-316.0,-451.0,-46.0,-0.6,-1.1,2.9,L
11,523313,70502,122,58,1007,-313.0,-445.0,-51.0,0.6,-1.4,2.7,L
12,523343,70509,102,58,994,-316.0,-447.0,-40.0,1.8,-2.1,3.2,L
13,523404,70515,137,79,1011,-315.0,-453.0,-46.0,2.8,-0.8,2.2,L
14,523433,70521,129,69,1009,-309.0,-445.0,-52.0,1.0,0.0,1.8,L
15,523494,70527,121,61,1004,-309.0,-445.0,-52.0,1.2,-0.9,2.1,L
16,523554,70534,129,51,992,-312.0,-456.0,-43.0,0.2,-1.6,3.1,L
17,523584,70540,124,61,1001,-324.0,-448.0,-46.0,0.5,-0.8,1.5,L
18,523644,70546,164,71,995,-315.0,-459.0,-42.0,4.1,-5.1,3.2,L
19,523703,70552,164,71,995,-316.0,-450.0,-46.0,-0.2,0.4,2.1,L
20,523734,70559,132,69,1017,-313.0,-454.0,-43.0,1.5,-2.2,3.5,L
21,523794,70565,130,65,1009,-313.0,-453.0,-49.0,-0.7,-1.8,2.4,L
22,523854,70571,130,65,1009,-313.0,-453.0,-49.0,-0.8,-1.6,1.7,L
23,523883,70577,138,81,1013,-319.0,-465.0,-30.0,1.9,-3.0,1.6,L
24,523944,70584,116,114,985,-312.0,-447.0,-36.0,1.4,-1.4,1.1,L
25,524005,70590,71,466,1028,-310.0,-453.0,-31.0,19.7,-17.2,17.3,L
26,524034,70596,324,804,1130,-300.0,-465.0,-24.0,23.8,-30.8,49.5,L
27,524094,70602,324,804,1130,-300.0,-465.0,-24.0,7.1,-9.2,65.7,L
28,524154,70609,214,367,1122,-253.0,-474.0,-27.0,-8.1,14.6,87.4,L
29,524184,70615,21,-92,863,-216.0,-478.0,-45.0,-6.6,0.6,95.3,L
30,524244,70621,21,-92,863,-186.0,-481.0,-37.0,36.2,-35.0,104.0,L
31,524304,70627,132,-180,969,-156.0,-481.0,-31.0,15.5,-17.7,97.4,L
32,524334,70634,55,-346,893,-136.0,-483.0,-30.0,-17.4,9.7,68.5,L
33,524394,70640,55,-346,893,-136.0,-483.0,-30.0,-15.9,7.7,53.4,L
34,524454,70646,103,-359,813,-105.0,-477.0,-42.0,-10.3,8.8,31.7,L
35,524484,70652,166,-187,958,-100.0,-474.0,-42.0,-8.1,16.7,17.6,L
36,524544,70659,166,-187,958,-100.0,-474.0,-42.0,-12.5,27.2,2.7,L
37,524605,70665,142,-91,1069,-99.0,-468.0,-48.0,-1.7,14.1,-0.1,L
38,524633,70671,138,-53,1066,-96.0,-474.0,-58.0,-2.1,7.9,-6.1,L
39,524694,70677,138,-53,1066,-105.0,-466.0,-54.0,-0.4,2.1,-7.5,L
40,524754,70684,182,18,1073,-105.0,-466.0,-54.0,-2.5,1.9,-6.5,L
41,524783,70690,163,-17,980,-97.0,-469.0,-57.0,3.0,-1.0,-4.6,L
42,524844,70696,195,15,1022,-99.0,-459.0,-55.0,0.6,-1.4,0.0,L
43,524904,70702,185,-21,998,-99.0,-468.0,-60.0,-3.3,0.4,1.7,L
44,524933,70709,185,-49,982,-111.0,-468.0,-60.0,-1.3,1.6,1.0,L
45,524993,70715,173,-34,994,-111.0,-468.0,-60.0,0.2,3.7,2.0,L
46,525054,70721,149,-70,986,-102.0,-465.0,-61.0,-2.9,5.3,1.1,L
