sr_no,HostTimestamp,NodeTimestamp,X_mGa,Y_mGa,Z_mGa,X_mg,Y_mg,Z_mg,X_dps,Y_dps,Z_dps,move_type
0,1713796,219335,-220.0,-475.0,-42.0,150.0,-274.0,1044.0,-3.3,-5.9,-58.7,R
1,1713846,219341,-243.0,-472.0,-37.0,268.0,-303.0,1100.0,-19.5,2.3,-60.1,R
2,1713906,219347,-259.0,-466.0,-45.0,160.0,-236.0,1060.0,-37.5,10.0,-63.7,R
3,1713936,219353,-295.0,-460.0,-49.0,121.0,-254.0,899.0,-34.9,-16.2,-58.7,R
4,1713996,219360,-303.0,-460.0,-49.0,197.0,-121.0,928.0,-22.2,-24.9,-54.5,R
5,1714056,219366,-319.0,-453.0,-49.0,101.0,-67.0,868.0,-22.2,-24.9,-54.5,R
6,1714084,219372,-340.0,-438.0,-39.0,190.0,-24.0,919.0,-16.8,-14.4,-51.1,R
7,1714146,219378,-355.0,-441.0,-34.0,219.0,29.0,894.0,-8.4,-19.9,-43.1,R
8,1714206,219385,-361.0,-453.0,-31.0,384.0,71.0,898.0,-5.8,-15.2,-31.0,R
9,1714234,219391,-379.0,-436.0,-27.0,426.0,54.0,945.0,-14.6,6.8,-16.3,R
10,1714296,219397,-372.0,-439.0,-39.0,367.0,-8.0,944.0,-7.3,4.0,-1.8,R
11,1714356,219403,-372.0,-441.0,-39.0,366.0,-52.0,972.0,-5.1,0.8,8.8,R
12,1714384,219410,-361.0,-445.0,-36.0,311.0,-136.0,980.0,-1.4,-2.1,15.6,R
13,1714445,219416,-367.0,-445.0,-36.0,305.0,-153.0,991.0,0.1,-4.9,16.3,R
14,1714506,219422,-355.0,-450.0,-30.0,305.0,-153.0,991.0,-4.9,-4.2,14.9,R
15,1714534,219428,-352.0,-450.0,-37.0,287.0,-266.0,892.0,-8.3,3.0,15.6,R
16,1714597,219435,-349.0,-448.0,-43.0,246.0,-304.0,878.0,-3.5,-0.7,13.6,R
17,1714657,219441,-348.0,-451.0,-39.0,225.0,-289.0,898.0,5.1,-7.1,8.4,R
18,1714688,219447,-354.0,-447.0,-33.0,275.0,-262.0,932.0,7.2,-4.9,2.3,R
19,1714745,219453,-340.0,-448.0,-36.0,295.0,-255.0,937.0,5.1,-3.0,0.2,R
20,1714806,219460,-349.0,-454.0,-31.0,285.0,-235.0,955.0,2.8,-0.4,0.3,R
21,1714834,219466,-349.0,-451.0,-37.0,301.0,-203.0,966.0,1.7,-1.1,-1.8,R
22,1714896,219472,-352.0,-453.0,-37.0,308.0,-210.0,935.0,-1.2,0.5,-0.4,R
23,1714956,219478,-360.0,-453.0,-42.0,308.0,-208.0,937.0,1.6,-2.1,-0.2,R
24,1714986,219485,-352.0,-453.0,-36.0,309.0,-218.0,921.0,3.8,-3.7,-0.7,R
25,1715046,219491,-351.0,-453.0,-37.0,338.0,-201.0,926.0,5.7,-1.5,-4.4,R
26,1715106,219497,-354.0,-448.0,-31.0,349.0,-193.0,938.0,6.9,-3.5,-3.0,R
27,1715134,219503,-352.0,-456.0,-30.0,340.0,-188.0,949.0,4.0,-2.6,-0.1,R
28,1715196,219510,-360.0,-454.0,-31.0,331.0,-182.0,943.0,-0.4,0.8,2.5,R
29,1715373,219528,-361.0,-453.0,-27.0,312.0,-197.0,950.0,-1.6,1.2,4.2,R
30,1715373,219516,-360.0,-453.0,-25.0,312.0,-197.0,950.0,-1.6,1.2,4.2,R
31,1715373,219522,-363.0,-448.0,-31.0,312.0,-197.0,950.0,-1.6,1.2,4.2,R
32,1715482,219535,-352.0,-451.0,-33.0,329.0,-210.0,946.0,-0.8,-0.6,2.8,R
33,1715482,219541,-358.0,-442.0,-31.0,329.0,-210.0,946.0,-0.8,-0.6,2.8,R
34,1715497,219547,-352.0,-450.0,-28.0,337.0,-197.0,971.0,-1.7,1.2,2.4,R
35,1715556,219553,-351.0,-454.0,-37.0,300.0,-216.0,939.0,-3.5,0.4,2.8,R
36,1715585,219560,-355.0,-445.0,-43.0,308.0,-213.0,905.0,-3.3,1.1,1.8,R
37,1715646,219566,-343.0,-453.0,-34.0,293.0,-227.0,899.0,-2.4,3.9,3.2,R
38,1715706,219572,-355.0,-441.0,-27.0,287.0,-210.0,937.0,3.7,2.3,2.0,R
39,1715735,219578,-352.0,-459.0,-37.0,311.0,-204.0,954.0,5.5,1.5,1.8,R
40,1715856,219585,-348.0,-454.0,-33.0,311.0,-199.0,965.0,5.3,0.4,2.2,R
41,1715876,219591,-349.0,-456.0,-40.0,342.0,-192.0,968.0,2.3,1.8,3.3,R
42,1715888,219597,-355.0,-442.0,-42.0,290.0,-199.0,973.0,1.8,1.6,5.1,R
43,1715946,219603,-345.0,-453.0,-43.0,292.0,-199.0,962.0,-0.7,0.7,4.9,R
44,1716005,219610,-346.0,-451.0,-34.0,280.0,-228.0,940.0,-0.7,0.0,4.0,R
45,1716034,219616,-354.0,-436.0,-36.0,287.0,-215.0,947.0,1.5,-1.9,1.8,R
46,1716126,219622,-357.0,-451.0,-34.0,296.0,-195.0,966.0,0.7,-1.6,1.7,R
47,1716155,219628,-357.0,-445.0,-34.0,304.0,-195.0,943.0,-0.2,0.4,0.9,R
48,1716187,219635,-357.0,-450.0,-31.0,303.0,-210.0,931.0,-0.2,-0.8,2.1,R
49,1716246,219641,-361.0,-450.0,-42.0,301.0,-198.0,942.0,-0.9,0.0,3.0,R
50,1716306,219647,-348.0,-444.0,-36.0,299.0,-187.0,958.0,0.9,0.0,2.8,R
51,1716341,219653,-355.0,-448.0,-36.0,296.0,-195.0,953.0,0.7,0.4,2.3,R
52,1716396,219660,-349.0,-450.0,-40.0,297.0,-192.0,955.0,0.2,-2.0,4.6,R
53,1716456,219666,-351.0,-457.0,-30.0,296.0,-198.0,938.0,-2.1,0.6,5.1,R
54,1716484,219672,-348.0,-450.0,-30.0,298.0,-203.0,931.0,-0.2,-0.8,6.3,R
55,1716546,219678,-357.0,-448.0,-33.0,294.0,-197.0,942.0,1.3,-0.6,6.7,R
56,1716606,219685,-343.0,-453.0,-39.0,308.0,-205.0,955.0,2.4,-0.9,8.5,R
57,1716634,219691,-351.0,-448.0,-33.0,308.0,-185.0,979.0,0.5,-1.0,10.6,R
58,1716695,219697,-334.0,-457.0,-40.0,308.0,-176.0,945.0,-2.1,0.1,12.0,R
1,1756836,224716,-187.0,-457.0,-73.0,-88.0,-454.0,1040.0,0.2,-11.1,-33.7,R
2,1756897,224722,-205.0,-453.0,-69.0,13.0,-306.0,1059.0,3.7,-13.7,-45.8,R
3,1756955,224728,-235.0,-466.0,-73.0,84.0,-241.0,1035.0,-5.2,-7.7,-59.3,R
4,1756984,224735,-235.0,-466.0,-73.0,84.0,-241.0,1035.0,-10.5,-8.1,-50.9,R
5,1757045,224741,-250.0,-454.0,-69.0,76.0,-213.0,958.0,-12.3,-10.3,-46.2,R
6,1757106,224747,-277.0,-465.0,-60.0,156.0,-96.0,1027.0,-18.6,-21.2,-40.0,R
7,1757135,224753,-292.0,-460.0,-55.0,33.0,78.0,1036.0,-37.2,0.0,-48.2,R
8,1757196,224760,-298.0,-456.0,-64.0,99.0,-35.0,844.0,-35.9,-9.0,-47.2,R
9,1757256,224766,-312.0,-450.0,-61.0,243.0,96.0,908.0,-19.6,-13.2,-30.8,R
10,1757285,224772,-319.0,-450.0,-63.0,325.0,28.0,913.0,-17.4,2.1,-24.0,R
11,1757345,224778,-321.0,-453.0,-57.0,345.0,-10.0,974.0,-6.7,-1.9,-3.9,R
12,1757406,224785,-324.0,-445.0,-66.0,292.0,-112.0,965.0,-3.0,-0.9,10.4,R
13,1757435,224791,-310.0,-456.0,-63.0,191.0,-193.0,956.0,0.0,-0.6,13.3,R
14,1757495,224797,-316.0,-456.0,-57.0,170.0,-246.0,942.0,6.5,-7.4,13.8,R
15,1757556,224803,-312.0,-459.0,-60.0,192.0,-232.0,985.0,3.2,2.3,8.7,R
16,1757585,224810,-306.0,-459.0,-63.0,144.0,-270.0,979.0,2.9,1.3,4.6,R
17,1757645,224816,-315.0,-448.0,-57.0,214.0,-265.0,961.0,1.6,-3.1,4.6,R
18,1757708,224822,-307.0,-459.0,-51.0,197.0,-264.0,962.0,-0.7,0.2,2.7,R
19,1757739,224828,-318.0,-453.0,-64.0,198.0,-260.0,952.0,0.9,-1.4,-0.9,R
20,1757796,224835,-309.0,-453.0,-64.0,194.0,-233.0,967.0,0.7,0.5,-2.9,R
21,1757855,224841,-316.0,-445.0,-63.0,194.0,-233.0,967.0,0.7,-0.1,-2.7,R
22,1757885,224847,-318.0,-457.0,-51.0,204.0,-220.0,963.0,1.7,0.8,-2.1,R
23,1757945,224853,-313.0,-451.0,-58.0,215.0,-190.0,966.0,-0.2,2.3,-0.2,R
24,1758006,224860,-312.0,-450.0,-64.0,195.0,-233.0,926.0,-0.9,2.7,0.7,R
25,1758035,224866,-319.0,-444.0,-66.0,203.0,-211.0,952.0,1.6,2.0,1.1,R
26,1758125,224872,-315.0,-445.0,-61.0,219.0,-236.0,960.0,2.0,2.8,-0.2,R
27,1758155,224878,-324.0,-445.0,-67.0,207.0,-221.0,985.0,3.9,1.7,-1.4,R
28,1758185,224885,-319.0,-450.0,-64.0,218.0,-214.0,982.0,2.9,0.5,-1.4,R
29,1758246,224891,-324.0,-454.0,-64.0,211.0,-191.0,1000.0,1.1,0.6,1.7,R
30,1758307,224897,-324.0,-451.0,-63.0,199.0,-194.0,973.0,-0.5,-0.9,4.0,R
31,1758335,224903,-318.0,-450.0,-58.0,208.0,-225.0,944.0,-1.7,1.6,2.9,R
32,1758396,224910,-315.0,-448.0,-67.0,179.0,-223.0,961.0,0.0,1.7,4.2,R
33,1758456,224916,-315.0,-448.0,-67.0,179.0,-223.0,961.0,0.7,0.9,2.7,R
34,1758486,224922,-322.0,-444.0,-66.0,203.0,-225.0,971.0,0.8,-0.2,1.4,R
35,1758546,224928,-315.0,-453.0,-72.0,204.0,-218.0,981.0,0.4,-0.2,2.8,R
36,1758607,224935,-318.0,-445.0,-66.0,201.0,-236.0,967.0,-0.4,0.7,1.8,R
37,1758635,224941,-313.0,-447.0,-70.0,210.0,-213.0,977.0,0.0,1.0,3.2,R
38,1758696,224947,-313.0,-454.0,-61.0,170.0,-219.0,956.0,0.3,2.1,3.1,R
39,1758756,224953,-315.0,-450.0,-70.0,167.0,-214.0,960.0,5.4,-0.2,1.8,R
40,1758846,224960,-319.0,-447.0,-73.0,211.0,-197.0,982.0,6.5,-1.0,2.0,R
41,1758847,224966,-316.0,-454.0,-64.0,198.0,-204.0,967.0,3.7,3.4,2.9,R
42,1758936,224972,-319.0,-441.0,-70.0,192.0,-212.0,991.0,1.4,5.1,3.7,R
43,1758958,224978,-330.0,-453.0,-69.0,200.0,-222.0,981.0,0.4,4.7,3.4,R
44,1758995,224985,-321.0,-459.0,-75.0,174.0,-211.0,994.0,0.0,4.4,3.5,R
45,1759055,224991,-318.0,-451.0,-64.0,159.0,-235.0,987.0,-0.1,4.5,1.4,R
46,1759092,224997,-318.0,-441.0,-75.0,149.0,-213.0,1000.0,0.0,0.2,0.5,R
47,1759145,225003,-315.0,-436.0,-73.0,153.0,-208.0,991.0,-0.2,-0.6,1.1,R
48,1759205,225010,-315.0,-436.0,-73.0,153.0,-208.0,991.0,-0.6,-0.2,-0.4,R
49,1759235,225016,-327.0,-450.0,-75.0,175.0,-210.0,978.0,-0.2,-1.0,1.1,R
50,1759296,225022,-316.0,-442.0,-81.0,155.0,-207.0,973.0,-1.3,1.1,1.1,R
51,1759386,225028,-321.0,-439.0,-82.0,170.0,-200.0,983.0,1.1,-0.5,2.3,R
52,1759405,225035,-310.0,-448.0,-69.0,164.0,-191.0,975.0,0.0,0.2,1.5,R
53,1759445,225041,-325.0,-451.0,-79.0,170.0,-194.0,962.0,1.4,0.0,3.3,R
54,1759506,225047,-316.0,-442.0,-72.0,183.0,-194.0,973.0,2.0,1.8,3.9,R
55,1759535,225053,-310.0,-439.0,-70.0,176.0,-175.0,982.0,4.3,2.5,4.3,R
56,1759596,225060,-316.0,-448.0,-69.0,154.0,-191.0,954.0,3.0,0.8,7.4,R
57,1759656,225066,-319.0,-448.0,-78.0,196.0,-140.0,962.0,7.9,0.1,9.0,R
58,1759685,225072,-318.0,-448.0,-73.0,149.0,-172.0,928.0,15.5,1.6,12.2,R
1,1780836,227716,-306.0,-462.0,-36.0,185.0,-73.0,959.0,-19.3,-31.2,-48.0,R
2,1780897,227722,-312.0,-457.0,-37.0,224.0,-91.0,928.0,-35.5,-15.1,-47.6,R
3,1780925,227728,-324.0,-445.0,-37.0,165.0,-74.0,897.0,-22.0,-11.2,-39.9,R
4,1780986,227735,-340.0,-454.0,-34.0,137.0,-70.0,870.0,-19.3,-19.5,-33.7,R
5,1781046,227741,-351.0,-450.0,-28.0,211.0,-20.0,880.0,-15.8,-11.8,-39.9,R
6,1781075,227747,-358.0,-441.0,-33.0,232.0,25.0,886.0,-17.0,-8.0,-32.6,R
7,1781136,227753,-376.0,-436.0,-33.0,292.0,38.0,902.0,-14.0,-3.7,-22.9,R
8,1781197,227760,-378.0,-436.0,-34.0,384.0,64.0,973.0,-8.8,4.4,-15.1,R
9,1781225,227766,-384.0,-433.0,-31.0,356.0,5.0,977.0,-8.0,8.2,-2.3,R
10,1781286,227772,-378.0,-432.0,-43.0,323.0,-58.0,979.0,-4.2,5.9,7.2,R
11,1781377,227778,-376.0,-426.0,-43.0,303.0,-123.0,961.0,0.9,0.3,11.4,R
12,1781398,227785,-364.0,-435.0,-49.0,275.0,-160.0,980.0,0.3,0.9,12.5,R
13,1781436,227791,-378.0,-432.0,-43.0,244.0,-174.0,1004.0,2.1,-0.9,10.2,R
14,1781527,227797,-366.0,-436.0,-39.0,242.0,-186.0,973.0,-3.2,-0.7,7.8,R
15,1781528,227803,-366.0,-426.0,-39.0,242.0,-186.0,973.0,-2.9,-3.3,6.6,R
16,1781587,227810,-370.0,-444.0,-34.0,246.0,-181.0,948.0,-4.1,0.0,5.2,R
17,1781647,227816,-357.0,-447.0,-42.0,220.0,-210.0,925.0,-3.5,0.0,2.8,R
18,1781675,227822,-366.0,-439.0,-45.0,233.0,-187.0,928.0,0.6,-0.4,0.6,R
19,1781737,227828,-369.0,-441.0,-33.0,255.0,-149.0,967.0,6.0,-5.0,0.5,R
20,1781797,227835,-373.0,-430.0,-46.0,282.0,-149.0,954.0,3.7,0.9,-0.2,R
21,1781826,227841,-358.0,-435.0,-28.0,268.0,-167.0,953.0,0.9,3.2,0.4,R
22,1781917,227847,-367.0,-439.0,-46.0,272.0,-176.0,942.0,0.4,0.2,3.8,R
23,1781945,227853,-360.0,-444.0,-48.0,271.0,-168.0,945.0,0.0,2.1,4.6,R
24,1781976,227860,-363.0,-441.0,-49.0,265.0,-183.0,951.0,-1.1,5.2,3.9,R
25,1782037,227866,-372.0,-435.0,-48.0,247.0,-184.0,973.0,0.7,4.3,2.1,R
26,1782097,227872,-369.0,-441.0,-46.0,262.0,-154.0,1001.0,1.4,2.5,0.1,R
27,1782125,227878,-370.0,-441.0,-40.0,266.0,-148.0,1001.0,0.7,0.4,0.0,R
28,1782186,227885,-366.0,-439.0,-43.0,259.0,-150.0,978.0,-1.0,2.1,1.0,R
29,1782247,227891,-364.0,-438.0,-46.0,217.0,-156.0,973.0,-0.9,0.0,2.1,R
30,1782275,227897,-373.0,-442.0,-39.0,253.0,-155.0,961.0,0.0,-2.3,3.2,R
31,1782367,227903,-373.0,-441.0,-42.0,244.0,-168.0,945.0,-2.3,0.7,3.5,R
32,1782431,227910,-373.0,-441.0,-42.0,255.0,-160.0,957.0,0.4,1.5,3.5,R
33,1782455,227916,-367.0,-435.0,-46.0,260.0,-160.0,973.0,0.5,3.0,3.5,R
34,1782486,227922,-355.0,-432.0,-43.0,259.0,-180.0,965.0,-0.2,2.6,2.7,R
35,1782546,227928,-360.0,-438.0,-51.0,242.0,-170.0,981.0,-0.1,0.7,4.4,R
36,1782575,227935,-367.0,-436.0,-46.0,245.0,-183.0,962.0,-1.0,1.5,2.5,R
37,1782636,227941,-360.0,-439.0,-49.0,244.0,-165.0,979.0,0.2,0.1,3.7,R
38,1782697,227947,-357.0,-438.0,-51.0,245.0,-171.0,972.0,-1.2,0.1,4.2,R
39,1782726,227953,-355.0,-444.0,-48.0,234.0,-180.0,956.0,-1.9,2.4,2.1,R
40,1782787,227960,-358.0,-436.0,-54.0,226.0,-190.0,953.0,-0.7,-0.5,3.5,R
41,1782846,227966,-363.0,-432.0,-49.0,239.0,-194.0,944.0,-1.3,1.8,2.6,R
42,1782876,227972,-361.0,-436.0,-54.0,237.0,-190.0,963.0,1.0,2.0,1.4,R
43,1782937,227978,-361.0,-427.0,-61.0,241.0,-170.0,983.0,1.5,1.7,1.8,R
44,1782997,227985,-361.0,-433.0,-64.0,216.0,-169.0,991.0,-0.2,2.6,0.8,R
45,1783025,227991,-363.0,-432.0,-54.0,230.0,-170.0,983.0,0.7,0.7,0.1,R
46,1783086,227997,-360.0,-436.0,-55.0,248.0,-168.0,978.0,0.0,-0.7,0.7,R
47,1783146,228003,-355.0,-429.0,-55.0,251.0,-159.0,980.0,0.3,-0.9,2.8,R
48,1783237,228010,-354.0,-436.0,-57.0,216.0,-180.0,966.0,-1.6,0.4,2.6,R
49,1783258,228016,-354.0,-436.0,-57.0,232.0,-182.0,960.0,0.1,-0.6,2.6,R
50,1783297,228022,-354.0,-442.0,-61.0,226.0,-174.0,974.0,-0.4,0.2,2.7,R
51,1783326,228028,-361.0,-429.0,-58.0,224.0,-173.0,977.0,-0.4,0.2,3.1,R
52,1783386,228035,-361.0,-436.0,-49.0,223.0,-179.0,963.0,-1.1,-0.3,3.3,R
53,1783446,228041,-360.0,-444.0,-45.0,227.0,-182.0,949.0,-0.7,1.8,2.1,R
54,1783475,228047,-357.0,-436.0,-55.0,224.0,-172.0,965.0,1.0,2.1,2.5,R
55,1783538,228053,-354.0,-432.0,-54.0,233.0,-166.0,963.0,3.1,2.1,5.1,R
56,1783597,228060,-357.0,-433.0,-64.0,204.0,-173.0,955.0,1.6,5.6,3.9,R
57,1783626,228066,-348.0,-435.0,-61.0,207.0,-156.0,973.0,4.2,6.4,5.8,R
58,1783717,228072,-357.0,-433.0,-64.0,179.0,-163.0,966.0,9.8,2.6,5.7,R
59,1783745,228078,-358.0,-429.0,-60.0,224.0,-118.0,987.0,15.9,-5.6,7.0,R
60,1783776,228085,-361.0,-430.0,-52.0,146.0,-82.0,1035.0,7.0,-0.2,-7.7,R
0,1807548,231053,-249.0,-453.0,-69.0,7.0,-323.0,1062.0,-8.7,-6.7,4.9,R
1,1807626,231060,-244.0,-457.0,-66.0,-8.0,-434.0,1226.0,-15.8,-3.1,-15.3,R
2,1807646,231066,-265.0,-454.0,-60.0,-128.0,-364.0,1146.0,-5.8,-30.3,-46.4,R
3,1807687,231072,-280.0,-469.0,-48.0,79.0,-217.0,1145.0,-9.4,-56.8,-49.9,R
4,1807746,231078,-306.0,-457.0,-33.0,111.0,-77.0,1065.0,-36.3,-40.8,-66.1,R
5,1807775,231085,-325.0,-463.0,-30.0,122.0,-25.0,808.0,-36.7,-33.1,-66.2,R
6,1807837,231091,-345.0,-457.0,-21.0,228.0,112.0,854.0,-28.9,-28.4,-56.7,R
7,1807898,231097,-360.0,-448.0,-19.0,253.0,102.0,783.0,-25.8,-9.1,-48.2,R
8,1807925,231103,-376.0,-439.0,-24.0,305.0,94.0,840.0,-15.4,-9.3,-34.5,R
9,1807987,231110,-379.0,-438.0,-16.0,349.0,109.0,904.0,-6.6,-7.6,-19.1,R
10,1808047,231116,-382.0,-441.0,-15.0,362.0,78.0,935.0,-1.7,-1.9,-9.1,R
11,1808075,231122,-385.0,-438.0,-12.0,338.0,29.0,999.0,-1.9,6.6,-3.7,R
12,1808136,231128,-393.0,-432.0,-21.0,312.0,-29.0,999.0,2.3,2.9,1.6,R
13,1808197,231135,-391.0,-439.0,-21.0,317.0,-73.0,969.0,4.0,1.4,-0.7,R
14,1808226,231141,-388.0,-435.0,-18.0,301.0,-88.0,983.0,4.4,-2.9,2.8,R
15,1808286,231147,-397.0,-436.0,-19.0,320.0,-92.0,985.0,1.3,-1.4,3.5,R
16,1808346,231153,-397.0,-436.0,-19.0,311.0,-93.0,980.0,-2.3,-1.7,4.0,R
17,1808376,231160,-387.0,-439.0,-22.0,313.0,-124.0,919.0,-7.9,4.0,4.4,R
18,1808437,231166,-379.0,-445.0,-22.0,256.0,-138.0,925.0,-2.3,2.2,5.1,R
19,1808527,231172,-376.0,-445.0,-21.0,297.0,-109.0,946.0,1.8,1.4,4.8,R
20,1808550,231178,-385.0,-444.0,-25.0,279.0,-112.0,977.0,0.1,3.7,5.4,R
21,1808587,231185,-379.0,-436.0,-24.0,281.0,-84.0,1008.0,-0.8,-0.1,2.3,R
22,1808646,231191,-385.0,-438.0,-15.0,319.0,-119.0,958.0,-1.8,-2.1,3.4,R
