sr_no,HostTimestamp,NodeTimestamp,X_mg,Y_mg,Z_mg,X_mGa,Y_mGa,Z_mGa,X_dps,Y (dps),Z_dps,move_type
1,19020,10674,-72,-876,30,244.0,-178.0,-313.0,8.8,1.5,8.6,S
2,19080,10680,64,-901,135,234.0,-169.0,-322.0,16.5,7.1,19.8,S
3,19141,10686,326,-1037,127,229.0,-166.0,-328.0,21.3,-11.4,10.5,S
4,19170,10693,200,-1185,86,226.0,-169.0,-342.0,11.7,-67.4,28.0,S
5,19231,10699,-152,-1359,262,213.0,-172.0,-364.0,5.5,-59.0,66.8,S
6,19291,10705,-482,-1431,219,210.0,-174.0,-369.0,-17.1,-39.9,26.0,S
7,19320,10711,-542,-1291,151,211.0,-177.0,-364.0,-39.3,-39.8,21.1,S
8,19381,10718,-658,-1202,277,228.0,-172.0,-352.0,-35.5,-2.3,9.0,S
9,19440,10724,-511,-1040,199,246.0,-175.0,-336.0,-49.9,15.5,1.1,S
10,19470,10730,-602,-921,-48,261.0,-169.0,-304.0,-45.0,38.9,24.7,S
11,19530,10736,-658,-944,153,271.0,-150.0,-291.0,-46.4,44.2,16.7,S
12,19590,10743,-600,-792,30,271.0,-141.0,-271.0,-38.7,53.7,12.8,S
13,19620,10749,-696,-758,80,285.0,-135.0,-247.0,-19.0,57.5,-4.0,S
14,19680,10755,-555,-565,81,285.0,-121.0,-238.0,-15.8,86.7,-18.0,S
15,19740,10761,-342,-352,-124,285.0,-121.0,-238.0,7.2,73.2,-37.7,S
16,19770,10768,-120,-303,-118,291.0,-118.0,-199.0,39.6,89.3,-17.6,S
17,19831,10774,62,-309,-155,303.0,-123.0,-205.0,81.3,69.0,-30.0,S
18,19891,10780,77,-483,10,283.0,-118.0,-229.0,99.1,45.5,-21.0,S
19,19920,10786,370,-608,259,258.0,-118.0,-264.0,125.2,29.4,-14.0,S
20,19980,10793,482,-825,510,232.0,-124.0,-297.0,141.2,-7.9,0.2,S
21,20041,10799,659,-1074,778,195.0,-126.0,-348.0,123.4,-47.6,11.6,S
22,20070,10805,564,-1271,744,157.0,-135.0,-384.0,67.0,-95.4,20.5,S
23,20130,10811,267,-1358,610,157.0,-135.0,-384.0,67.0,-95.4,20.5,S
24,20190,10818,-27,-1404,577,129.0,-162.0,-411.0,-16.0,-69.0,48.7,S
25,20220,10824,-540,-1458,533,135.0,-169.0,-438.0,-34.0,-82.5,49.0,S
26,20281,10830,-869,-1342,578,141.0,-171.0,-421.0,-67.6,-51.8,54.0,S
27,20341,10836,-1009,-1186,612,166.0,-183.0,-409.0,-91.5,-34.9,-3.1,S
28,20370,10843,-742,-855,306,202.0,-198.0,-396.0,-90.3,18.5,-20.3,S
29,20431,10849,-437,-620,195,225.0,-186.0,-369.0,-63.7,54.4,-31.1,S
30,20490,10855,-139,-538,120,246.0,-189.0,-342.0,-37.2,59.9,-31.8,S
31,20520,10861,99,-562,23,247.0,-175.0,-337.0,-10.5,42.5,-15.1,S
32,20581,10868,132,-798,66,256.0,-175.0,-321.0,7.2,29.0,-5.4,S
33,20641,10874,175,-985,119,246.0,-171.0,-324.0,20.1,18.4,-6.0,S
34,20670,10880,20,-1089,216,238.0,-174.0,-328.0,15.2,5.7,0.4,S
35,20731,10886,-105,-1085,170,246.0,-172.0,-331.0,6.2,2.7,-1.3,S
36,20791,10893,-69,-1031,172,241.0,-174.0,-336.0,0.0,-7.4,-1.0,S
37,20820,10899,-114,-999,187,240.0,-180.0,-330.0,-5.3,-9.8,5.1,S
38,20902,10905,-117,-982,154,240.0,-174.0,-324.0,-7.2,-9.7,6.3,S
39,20940,10911,-137,-964,153,234.0,-172.0,-337.0,-4.6,-5.6,10.6,S
40,20970,10918,-147,-977,132,240.0,-175.0,-337.0,-5.4,-16.3,3.7,S
41,21030,10924,-161,-977,145,240.0,-181.0,-343.0,-2.3,-7.0,6.0,S
42,21090,10930,-131,-973,141,238.0,-189.0,-340.0,1.6,-7.9,-0.3,S
43,21120,10936,-148,-992,164,240.0,-186.0,-340.0,4.1,-2.5,1.2,S
44,21180,10943,-147,-1000,189,235.0,-186.0,-349.0,1.9,-3.5,-0.9,S
45,21241,10949,-130,-987,159,231.0,-186.0,-351.0,4.9,-2.5,1.5,S
46,21270,10955,-104,-995,174,231.0,-184.0,-351.0,2.5,-0.7,3.6,S
47,21330,10961,-134,-986,163,226.0,-184.0,-342.0,-3.0,-5.3,1.8,S
48,21391,10968,-145,-974,165,232.0,-186.0,-352.0,0.2,-2.8,3.4,S
49,21420,10974,-139,-984,213,222.0,-181.0,-348.0,1.5,-1.6,2.3,S
50,21480,10980,-159,-978,175,229.0,-181.0,-342.0,0.2,0.3,1.9,S
